course_id,hole_number,n_appearances,n_archetypes,stable
1,1,3,3,0
1,2,3,1,1
1,3,3,2,0
1,4,3,2,0
1,5,3,1,1
1,6,3,1,1
1,7,3,1,1
1,8,3,2,0
1,9,3,1,1
1,10,3,2,0
1,11,3,1,1
1,12,3,2,0
1,13,3,1,1
1,14,3,2,0
1,15,3,1,1
1,16,3,1,1
1,17,3,2,0
1,18,3,2,0
2,1,3,1,1
2,2,3,2,0
2,3,3,3,0
2,4,3,1,1
2,5,3,2,0
2,6,3,1,1
2,7,3,1,1
2,8,3,1,1
2,9,3,3,0
2,10,3,2,0
2,11,3,1,1
2,12,3,2,0
2,13,3,2,0
2,14,3,2,0
2,15,3,2,0
2,16,3,1,1
2,17,3,1,1
2,18,3,2,0
3,1,3,2,0
3,2,3,1,1
3,3,3,1,1
3,4,3,3,0
3,5,3,1,1
3,6,3,1,1
3,7,3,2,0
3,8,3,1,1
3,9,3,1,1
3,10,3,2,0
3,11,3,1,1
3,12,3,1,1
3,13,3,2,0
3,14,3,3,0
3,15,3,1,1
3,16,3,2,0
3,17,3,1,1
3,18,3,2,0
4,1,3,1,1
4,2,3,2,0
4,3,3,2,0
4,4,3,2,0
4,5,3,1,1
4,6,3,2,0
4,7,3,1,1
4,8,3,1,1
4,9,3,1,1
4,10,3,1,1
4,11,3,1,1
4,12,3,2,0
4,13,3,2,0
4,14,3,2,0
4,15,3,2,0
4,16,3,2,0
4,17,3,2,0
4,18,3,1,1
5,1,4,2,0
5,2,4,3,0
5,3,4,3,0
5,4,4,1,1
5,5,4,1,1
5,6,4,3,0
5,7,4,2,0
5,8,4,2,0
5,9,4,2,0
5,10,4,2,0
5,11,4,2,0
5,12,4,2,0
5,13,4,2,0
5,14,4,1,1
5,15,4,1,1
5,16,4,2,0
5,17,4,2,0
5,18,4,3,0
6,1,4,2,0
6,2,4,3,0
6,3,4,2,0
6,4,4,3,0
6,5,4,2,0
6,6,4,1,1
6,7,4,2,0
6,8,4,1,1
6,9,4,3,0
6,10,4,2,0
6,11,4,3,0
6,12,4,1,1
6,13,4,3,0
6,14,4,2,0
6,15,4,1,1
6,16,4,3,0
6,17,4,2,0
6,18,4,1,1
7,1,4,2,0
7,2,4,1,1
7,3,4,3,0
7,4,4,2,0
7,5,4,3,0
7,6,4,2,0
7,7,4,2,0
7,8,4,2,0
7,9,4,2,0
7,10,4,2,0
7,11,4,2,0
7,12,4,3,0
7,13,4,3,0
7,14,4,2,0
7,15,4,2,0
7,16,4,1,1
7,17,4,2,0
7,18,4,2,0
8,1,3,2,0
8,2,3,2,0
8,3,3,1,1
8,4,3,2,0
8,5,3,1,1
8,6,3,2,0
8,7,3,2,0
8,8,3,2,0
8,9,3,1,1
8,10,3,1,1
8,11,3,2,0
8,12,3,2,0
8,13,3,1,1
8,14,3,1,1
8,15,3,2,0
8,16,3,1,1
