tournament_id,tournament_name,season,n_holes,n_archetypes,archetypes
1,The Sentry,2024,18,7,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P5_A"
2,Sony Open in Hawaii,2024,18,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A"
3,The American Express,2024,54,9,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P5_A,P5_B,P5_C"
4,Farmers Insurance Open,2024,36,10,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
5,AT&T Pebble Beach Pro-Am,2024,36,11,"P3_A,P3_B,P3_C,P4_A,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
6,The Sentry,2025,18,8,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B"
46,Sony Open in Hawaii,2025,18,7,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P5_A"
47,The American Express,2025,54,10,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
48,Farmers Insurance Open,2025,36,9,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
49,AT&T Pebble Beach Pro-Am,2025,36,10,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
50,WM Phoenix Open,2025,18,8,"P3_A,P3_B,P4_A,P4_C,P4_D,P4_E,P5_A,P5_B"
51,The Genesis Invitational,2025,18,8,"P3_A,P3_C,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
52,Mexico Open at VidantaWorld,2025,18,9,"P3_A,P3_B,P3_C,P4_A,P4_C,P4_D,P4_E,P5_A,P5_B"
53,Cognizant Classic in The Palm Beaches,2025,18,8,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A"
54,Arnold Palmer Invitational presented by Mastercard,2025,18,8,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
55,Puerto Rico Open,2025,18,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P5_A,P5_B"
56,THE PLAYERS Championship,2025,18,8,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B,P5_C"
57,Valspar Championship,2025,18,7,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_B,P5_C"
58,Texas Children's Houston Open,2025,18,9,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
59,Valero Texas Open,2025,18,9,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B,P5_C"
60,Masters Tournament,2025,18,8,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B,P5_C"
61,RBC Heritage,2025,18,7,"P3_B,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B"
62,Corales Puntacana Championship,2025,18,6,"P3_A,P3_C,P4_C,P4_D,P5_A,P5_B"
63,Zurich Classic of New Orleans,2025,18,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P5_A,P5_B"
64,THE CJ CUP Byron Nelson,2025,18,9,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
65,Truist Championship,2025,18,8,"P3_A,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
66,ONEflight Myrtle Beach Classic,2025,18,9,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
67,PGA Championship,2025,18,6,"P3_B,P3_C,P4_A,P4_D,P4_E,P5_B"
68,Charles Schwab Challenge,2025,18,8,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B"
69,the Memorial Tournament presented by Workday,2025,18,7,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_B,P5_C"
70,RBC Canadian Open,2025,18,8,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
71,U.S. Open,2025,18,7,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_C"
72,Travelers Championship,2025,18,8,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P4_E,P5_B"
73,Rocket Classic,2025,18,8,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P5_A,P5_B"
74,John Deere Classic,2025,18,7,"P3_B,P4_A,P4_B,P4_C,P4_E,P5_A,P5_B"
75,Genesis Scottish Open,2025,18,8,"P3_A,P3_B,P3_C,P4_A,P4_C,P4_D,P4_E,P5_B"
76,ISCO Championship,2025,18,7,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B"
77,The Open Championship,2025,18,8,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
78,Barracuda Championship,2025,18,8,"P3_A,P3_B,P3_C,P4_A,P4_C,P4_D,P4_E,P5_B"
79,3M Open,2025,18,8,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
80,Wyndham Championship,2025,18,8,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
81,FedEx St. Jude Championship,2025,18,9,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
82,BMW Championship,2025,18,7,"P3_B,P3_C,P4_B,P4_C,P4_D,P5_B,P5_C"
83,TOUR Championship,2025,18,8,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P4_E,P5_C"
84,Procore Championship,2025,18,7,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_B,P5_C"
85,Ryder Cup,2025,18,8,"P3_A,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B,P5_C"
86,Sanderson Farms Championship,2025,18,8,"P3_A,P3_B,P3_C,P4_A,P4_B,P4_C,P4_D,P5_B"
87,Baycurrent Classic,2025,18,9,"P3_A,P3_B,P3_C,P4_A,P4_B,P4_C,P4_D,P4_E,P5_A"
88,Bank of Utah Championship,2025,18,8,"P3_A,P3_B,P4_A,P4_C,P4_D,P4_E,P5_B,P5_C"
89,World Wide Technology Championship,2025,18,7,"P3_A,P3_B,P4_A,P4_C,P4_D,P5_A,P5_B"
90,Butterfield Bermuda Championship,2025,18,7,"P3_A,P3_C,P4_B,P4_C,P4_E,P5_A,P5_C"
91,The RSM Classic,2025,36,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P5_A,P5_B"
