label,N,N_players,mean_cov,sim_r,mkt_r,edge_r,top_dec,bot_dec,diff_pp
31-60_cov0,1496,29,4162.3168449197865,0.16942987046019273,0.1802467021361531,-0.04033974132715072,0.24666666666666667,0.34,-9.333333333333336
31-60_cov100,1496,29,4162.3168449197865,0.16942987046019273,0.1802467021361531,-0.04033974132715072,0.24666666666666667,0.34,-9.333333333333336
31-60_cov200,1494,28,4167.696117804551,0.17082220387034872,0.1814365212591018,-0.04039622112285771,0.25333333333333335,0.34,-8.666666666666668
31-60_cov300,1489,27,4180.7239758227,0.1690863666091523,0.18100267789085672,-0.04281749153098496,0.2483221476510067,0.3422818791946309,-9.395973154362416
31-60_cov500,1470,24,4229.201360544218,0.16156311613671462,0.1745914626194184,-0.04425072147022457,0.25170068027210885,0.3469387755102041,-9.523809523809524
16-60_cov0,2322,43,4129.602928509905,0.2026119477106113,0.237638243922915,-0.12031567599729144,0.2446351931330472,0.43776824034334766,-19.313304721030043
16-60_cov100,2322,43,4129.602928509905,0.2026119477106113,0.237638243922915,-0.12031567599729144,0.2446351931330472,0.43776824034334766,-19.313304721030043
16-60_cov200,2320,42,4133.038793103448,0.20340208023187376,0.23833559237531202,-0.12044832512531381,0.24568965517241378,0.4396551724137931,-19.396551724137932
16-60_cov300,2310,40,4149.683982683982,0.20210243589788165,0.2379511529715556,-0.1215354023992275,0.24675324675324675,0.44155844155844154,-19.48051948051948
16-60_cov500,2291,37,4180.53164556962,0.19689106971933756,0.23368415368963655,-0.12189166399444964,0.2445414847161572,0.4391304347826087,-19.458895006645154
ALL_cov0,13366,495,3507.0793057010324,0.31052174196036963,0.30467964949864984,-0.14350454394489626,0.20643231114435304,0.40014958863126404,-19.3717277486911
ALL_cov100,13296,431,3525.254061371841,0.30947291060991095,0.30275941791703154,-0.14141970547097274,0.20827067669172933,0.40075187969924814,-19.248120300751882
ALL_cov200,13168,373,3558.0817132442285,0.3071898908219294,0.3017881159338807,-0.1414360283287611,0.20804859529233105,0.40167046317388005,-19.3621867881549
ALL_cov300,12874,301,3633.829268292683,0.30430448645279856,0.2994903777433487,-0.14090797987626597,0.21040372670807453,0.406055900621118,-19.565217391304348
ALL_cov500,12683,262,3682.7324765434046,0.3039182176812393,0.2997478921170703,-0.14200117494794612,0.21040189125295508,0.4074074074074074,-19.70055161544523
