event_id,calendar_year,event_name,is_major,course_name,start_date,end_date,city,state_or_country,latitude,longitude,timezone,confidence,date_confidence_note
2,2019,Desert Classic,False,Nicklaus Tournament Course,2019-01-18,2019-01-21,La Quinta,CA,33.643,-116.267,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
2,2020,The American Express,False,Stadium Course,2020-01-18,2020-01-21,La Quinta,CA,33.643,-116.267,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
2,2021,The American Express,False,Stadium Course,2021-01-18,2021-01-21,La Quinta,CA,33.643,-116.267,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
2,2022,The American Express,False,La Quinta Country Club,2022-01-18,2022-01-21,La Quinta,CA,33.643,-116.267,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
2,2023,The American Express,False,La Quinta Country Club,2023-01-18,2023-01-21,La Quinta,CA,33.643,-116.267,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
3,2019,Waste Management Phoenix Open,False,TPC Scottsdale,2019-02-08,2019-02-11,Scottsdale,AZ,33.64,-111.91,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
3,2020,Waste Management Phoenix Open,False,TPC Scottsdale,2020-02-08,2020-02-11,Scottsdale,AZ,33.64,-111.91,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
3,2021,Waste Management Phoenix Open,False,TPC Scottsdale,2021-02-08,2021-02-11,Scottsdale,AZ,33.64,-111.91,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
3,2022,WM Phoenix Open,False,TPC Scottsdale,2022-02-08,2022-02-11,Scottsdale,AZ,33.643,-111.924,America/Phoenix,MEDIUM,±7 days — acceptable for weather archive pull
3,2023,WM Phoenix Open,False,TPC Scottsdale (Stadium Course),2023-02-08,2023-02-11,Scottsdale,AZ,33.643,-111.924,America/Phoenix,MEDIUM,±7 days — acceptable for weather archive pull
4,2019,Farmers Insurance Open,False,Torrey Pines GC (North),2019-01-24,2019-01-27,San Diego,CA,32.905,-117.245,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
4,2020,Farmers Insurance Open,False,Torrey Pines GC (North),2020-01-24,2020-01-27,San Diego,CA,32.905,-117.245,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
4,2021,Farmers Insurance Open,False,Torrey Pines GC (North),2021-01-24,2021-01-27,San Diego,CA,32.905,-117.245,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
4,2022,Farmers Insurance Open,False,Torrey Pines (South),2022-01-24,2022-01-27,San Diego,CA,32.905,-117.245,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
4,2023,Farmers Insurance Open,False,Torrey Pines Golf Course (North Course),2023-01-24,2023-01-27,San Diego,CA,32.905,-117.245,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
5,2019,AT&T Pebble Beach Pro-Am,False,Monterey Peninsula CC,2019-02-01,2019-02-04,Pebble Beach,CA,36.569,-121.949,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
5,2020,AT&T Pebble Beach Pro-Am,False,Monterey Peninsula CC,2020-02-01,2020-02-04,Pebble Beach,CA,36.569,-121.949,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
5,2021,AT&T Pebble Beach Pro-Am,False,Spyglass Hill Golf Course,2021-02-01,2021-02-04,Pebble Beach,CA,36.569,-121.949,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
5,2022,AT&T Pebble Beach Pro-Am,False,Pebble Beach Golf Links,2022-02-01,2022-02-04,Pebble Beach,CA,36.569,-121.949,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
5,2023,AT&T Pebble Beach Pro-Am,False,Pebble Beach Golf Links,2023-02-01,2023-02-04,Pebble Beach,CA,36.569,-121.949,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
6,2019,Sony Open in Hawaii,False,Waialae Country Club,2019-01-11,2019-01-14,Honolulu,HI,21.272,-157.775,Pacific/Honolulu,MEDIUM,±7 days — acceptable for weather archive pull
6,2020,Sony Open in Hawaii,False,Waialae Country Club,2020-01-11,2020-01-14,Honolulu,HI,21.272,-157.775,Pacific/Honolulu,MEDIUM,±7 days — acceptable for weather archive pull
6,2021,Sony Open in Hawaii,False,Waialae Country Club,2021-01-11,2021-01-14,Honolulu,HI,21.272,-157.775,Pacific/Honolulu,MEDIUM,±7 days — acceptable for weather archive pull
6,2022,Sony Open in Hawaii,False,Waialae Country Club,2022-01-11,2022-01-14,Honolulu,HI,21.272,-157.775,Pacific/Honolulu,MEDIUM,±7 days — acceptable for weather archive pull
6,2023,Sony Open in Hawaii,False,Waialae Country Club,2023-01-11,2023-01-14,Honolulu,HI,21.272,-157.775,Pacific/Honolulu,MEDIUM,±7 days — acceptable for weather archive pull
7,2019,Genesis Open,False,Riviera Country Club,2019-02-14,2019-02-17,Pacific Palisades,CA,34.025,-118.555,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
7,2020,The Genesis Invitational,False,Riviera Country Club,2020-02-15,2020-02-18,Pacific Palisades,CA,34.025,-118.555,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
7,2021,The Genesis Invitational,False,The Riviera Country Club,2021-02-15,2021-02-18,Pacific Palisades,CA,34.025,-118.555,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
7,2022,The Genesis Invitational,False,The Riviera Country Club,2022-02-15,2022-02-18,Pacific Palisades,CA,34.025,-118.555,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
7,2023,The Genesis Invitational,False,The Riviera Country Club,2023-02-15,2023-02-18,Pacific Palisades,CA,34.025,-118.555,America/Los_Angeles,MEDIUM,±7 days — acceptable for weather archive pull
9,2019,Arnold Palmer Invitational presented by Mastercard,False,Bay Hill Club & Lodge,2019-03-05,2019-03-08,Orlando,FL,28.458,-81.509,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
9,2020,Arnold Palmer Invitational presented by Mastercard,False,Bay Hill Club & Lodge,2020-03-05,2020-03-08,Orlando,FL,28.458,-81.509,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
9,2021,Arnold Palmer Invitational presented by Mastercard,False,Bay Hill Club & Lodge,2021-03-05,2021-03-08,Orlando,FL,28.458,-81.509,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
9,2022,Arnold Palmer Invitational presented by Mastercard,False,Bay Hill Club & Lodge,2022-03-05,2022-03-08,Orlando,FL,28.458,-81.509,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
9,2023,Arnold Palmer Invitational presented by Mastercard,False,Arnold Palmer's Bay Hill Club & Lodge,2023-03-05,2023-03-08,Orlando,FL,28.458,-81.509,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
10,2019,The Honda Classic,False,PGA National (Champion),2019-02-27,2019-03-02,Palm Beach Gardens,FL,26.844,-80.067,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
10,2020,The Honda Classic,False,PGA National (Champion),2020-02-27,2020-03-01,Palm Beach Gardens,FL,26.844,-80.067,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
10,2021,The Honda Classic,False,PGA National (Champion),2021-02-27,2021-03-02,Palm Beach Gardens,FL,26.844,-80.067,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
10,2022,The Honda Classic,False,PGA National (Champion),2022-02-27,2022-03-02,Palm Beach Gardens,FL,26.844,-80.067,America/New_York,MEDIUM,±7 days — acceptable for weather archive pull
