feature,model_form_used,raw_corr,residual_corr,excluded_flag,reason
sg_ott_share_abs,raw,-0.10000305074220928,-0.10000305074220928,0,low skill corr
sg_app_share_abs,raw,0.006255873158813379,0.006255873158813379,0,low skill corr
sg_putt_share_abs,raw,0.041487279306356706,0.041487279306356706,0,low skill corr
sg_arg_share_abs,raw,0.08760610140553268,0.08760610140553268,0,low skill corr
t2g_vs_putt_balance,quadratic,0.6214391214996258,9.275843373243534e-17,0,
ott_vs_app_balance,raw,-0.09284314073543992,-0.09284314073543992,0,low skill corr
score_sd,raw,-0.10326497794460165,-0.10326497794460165,0,low skill corr
score_skew,raw,-0.10837389684548455,-0.10837389684548455,0,low skill corr
round_delta_sd,raw,-0.17877114877725606,-0.17877114877725606,0,low skill corr
birdie_rate,quadratic,0.7393226352180376,6.174785897459266e-16,0,
bogey_rate,quadratic,-0.7365830925316821,-5.807921797137116e-16,0,
aggression_index,quadratic,0.8263180558257546,1.478098996713808e-16,0,
cut_made_rate,quadratic,0.8368090540412434,4.155658326480376e-16,0,
