market,archetype,threshold,N,dg_resid_pp,p_value
make_cut,STYLE_04,0.4,4954,3.537865399735982,1.777442491189563e-07
make_cut,STYLE_04,0.6,4658,3.597981470650936,2.793102245363162e-07
top_20,STYLE_01,0.4,3220,5.407511890720418,1.5235993733755329e-19
top_20,STYLE_01,0.6,3164,5.237240811342048,1.972589834420455e-18
top_20,STYLE_02,0.4,1401,3.645817952156802,0.00012115818519101012
top_20,STYLE_02,0.6,1101,2.2494887830991726,0.029443434223143883
top_20,STYLE_03,0.4,18808,10.744469815646635,1.3832881668283091e-239
top_20,STYLE_03,0.6,18003,10.80567185786029,5.347433714587976e-232
top_20,STYLE_04,0.4,4931,7.562465434914454,6.541438536840201e-38
top_20,STYLE_04,0.6,4635,7.057580831474285,3.3266115993777253e-32
top_10,STYLE_01,0.4,3220,3.359741029217626,1.2974404101904028e-13
top_10,STYLE_01,0.6,3164,3.217911112727863,9.979948077907049e-13
top_10,STYLE_03,0.4,18808,5.064549953173945,4.0462413053278935e-89
top_10,STYLE_03,0.6,18003,5.214892484911842,6.635085356568571e-91
top_10,STYLE_04,0.4,4931,3.462720202874729,1.8735349144799322e-15
top_10,STYLE_04,0.6,4635,2.986519517057031,6.661046187033019e-12
