market,archetype,N,mean_dg_resid_pp,sd_dg_resid,t_dg,p_dg,mean_book_vs_dg_pp,p_book_vs_dg,mean_book_resid_pp,p_book_resid,interpretation,signal_flag
make_cut,ALL,28476,2.7405650284229073,47.322595343622496,9.77262082853521,1.6012651530354067e-22,6.341844395982957,0.0,-2.086294263525301,3.9939603036369465e-07,Both DG and market misprice,
make_cut,STYLE_01,3247,1.851632598214228,47.23282880932011,2.2338397037577016,0.025561479672227296,8.460740560376905,9.704014998964674e-67,-4.439111059290387,0.010138207633454488,Both DG and market misprice,NULL
make_cut,STYLE_02,1403,-0.09678986661563475,48.074436106916,-0.07541270658556064,0.9398971084499985,6.703597638322026,3.5799826331576723e-50,-4.389906642157426,0.04227522900306731,Market shades from DG (CLV source?),NULL
make_cut,STYLE_03,18872,2.895151001247285,47.19613962625162,8.42701382936239,3.797425088238104e-17,6.06034436950064,0.0,-1.8548614669006591,0.00011313456583014816,Both DG and market misprice,WATCH
make_cut,STYLE_04,4954,3.537865399735982,47.62413909837366,5.228681271084768,1.777442491189563e-07,6.711286228973133,4.1528169667016596e-156,-1.694917862640451,0.08592715808014773,Both DG and market misprice,CANDIDATE
top_20,ALL,28360,9.23457279941243,42.03653637650934,36.99499710739597,1.253881863978974e-292,2.899593418777731,0.0,6.4395457175236395,6.741989964681966e-137,Both DG and market misprice,
top_20,STYLE_01,3220,5.407511890720418,33.714157091304266,9.101502922170607,1.5235993733755329e-19,4.588980316636798,6.058616735044079e-241,0.9018565734941558,0.13983312899245037,Both DG and market misprice,CANDIDATE
top_20,STYLE_02,1401,3.645817952156802,35.40233108342542,3.8546254761740926,0.00012115818519101012,4.723662262318856,2.2324853682404918e-90,-1.0670506271909301,0.2749227266860326,Both DG and market misprice,CANDIDATE
top_20,STYLE_03,18808,10.744469815646635,43.933367723677804,33.539903035414,1.3832881668283091e-239,2.4659628236833133,7.031823737263744e-214,8.399279575760323,9.959097546266264e-141,Both DG and market misprice,CANDIDATE
top_20,STYLE_04,4931,7.562465434914454,40.91026218342606,12.980715787379168,6.541438536840201e-38,2.961124756340714,8.4259864622182505e-109,4.603657331528586,1.2468426461157365e-14,Both DG and market misprice,CANDIDATE
top_10,ALL,28360,4.4067125671239635,32.52229524826519,22.818476723454626,3.2162184223151353e-114,2.0778309571143905,0.0,2.3426358198269144,7.64210878747396e-33,Both DG and market misprice,
top_10,STYLE_01,3220,3.359741029217626,25.629372358808105,7.438678142913418,1.2974404101904028e-13,2.383538545020889,1.5449434142187721e-183,0.8862087011553589,0.04821289048619099,Both DG and market misprice,CANDIDATE
top_10,STYLE_02,1401,1.3042637044139718,24.818567136944644,1.967015453209408,0.049378653892877045,2.299653704030459,2.0895308502416227e-90,-0.9325015983910266,0.17112906891073085,Both DG and market misprice,NULL
top_10,STYLE_03,18808,5.064549953173945,34.516428595291046,20.12270285101702,4.0462413053278935e-89,1.991456270270385,0.0,3.09743308725973,1.5612219669222626e-33,Both DG and market misprice,CANDIDATE
top_10,STYLE_04,4931,3.462720202874729,30.488279286241358,7.975391074646018,1.8735349144799322e-15,2.1479046731442186,8.964882509730825e-150,1.316557753928852,0.002490593479084362,Both DG and market misprice,CANDIDATE
top_5,ALL,28360,2.361665083463477,24.407827704312282,16.294547066030315,2.0103349144187313e-59,1.255659538176852,0.0,1.1319544753299597,2.07376205950688e-14,Both DG and market misprice,
top_5,STYLE_01,3220,1.7002883515227014,18.679403431938383,5.16520441315504,2.54784279111546e-07,1.5520488690212109,2.9572721254523373e-199,0.25015419781805803,0.4587722603008009,Both DG and market misprice,NULL
top_5,STYLE_02,1401,1.5214741125766793,19.498483227203575,2.9206721251697525,0.0035487186293014852,1.794259860031469,5.74550329691609e-85,-0.22024571219998648,0.6838195611724018,Both DG and market misprice,NULL
top_5,STYLE_03,18808,2.7547077458107174,26.150024352428737,14.446902459897847,4.684731800271854e-47,1.1284222209858108,1.927791248626521e-215,1.6496542120224205,2.4892724631368496e-17,Both DG and market misprice,WATCH
top_5,STYLE_04,4931,1.5331098682200794,21.924848615791703,4.9102564746509225,9.389481629113957e-07,1.4030996425106685,2.3965227523050918e-119,0.08962771059663734,0.7747305684654023,Both DG and market misprice,NULL
