market,course_type,N,raw_resid_pp,relative_resid_pp,ACTUAL_ODDS_ROI,p_value
top_20,COURSE_A,3547,8.071224417906235,1.6458434675270108,44.89261303578982,0.02397466698167201
top_20,COURSE_B,5349,4.168852039236918,-2.2565289111423072,20.801325536543146,7.721655439030476e-05
top_20,COURSE_C,9110,7.137803670855544,0.7124227204763179,36.61863144136959,0.11183083217468699
top_20,COURSE_D,3988,6.360735860821198,-0.06464508955802518,32.34160362679537,0.9247925340985906
top_10,COURSE_A,3529,2.964520171602847,0.42279740045318215,29.604759790041047,0.4472954299446185
top_10,COURSE_B,5282,1.6122275808405848,-0.9294951903090799,15.129972489989019,0.03567461984066526
top_10,COURSE_C,8786,2.6077511731420326,0.06602840199236751,25.320071506279575,0.8492108562448926
top_10,COURSE_D,3898,3.2696386329014158,0.7279158617517512,30.893388116558373,0.1829686786388689
top_5,COURSE_A,3566,1.5267041940094341,0.32303929295163364,29.821948390306254,0.4322933762589031
top_5,COURSE_B,5349,1.3043497918730358,0.10068489081523528,23.7126031345519,0.7669654867484074
top_5,COURSE_C,9117,1.21711390800417,0.013449006946369376,22.41540749228004,0.9585372650757128
top_5,COURSE_D,3989,0.7491308835180008,-0.4545340175397998,13.637831792100318,0.23967312713813632
