market,season,N,hit_pct,implied_pct,baseline_resid_pp
top_20,2019,9346,29.338754547399958,20.555564426882043,8.783190120517917
top_20,2020,3380,24.08284023668639,17.71271817924389,6.370122057442501
top_20,2021,2650,23.924528301886795,19.11958363497237,4.804944666914427
top_20,2022,2527,23.941432528690147,18.111637597600517,5.82979493108963
top_20,2023,1901,22.882693319305627,18.657117694452147,4.225575624853481
top_20,2024,1398,23.605150214592275,20.349646453257517,3.2555037613347575
top_20,2025,792,15.530303030303031,18.49480742077608,-2.9645043904730493
top_10,2019,8690,14.533947065592635,11.581602584324708,2.952344481267927
top_10,2020,3397,12.09891080365028,9.287035188488975,2.811875615161305
top_10,2021,2670,12.284644194756554,10.123266663331863,2.161377531424691
top_10,2022,2538,13.435776201733649,9.447635316318772,3.988140885414876
top_10,2023,1973,11.150532184490624,9.499279824313648,1.651252360176976
top_10,2024,1408,10.866477272727272,10.047650653105961,0.8188266196213114
top_10,2025,819,7.814407814407814,8.885338710869457,-1.0709308964616429
top_5,2019,9346,6.837149582709181,5.872364627526668,0.9647849551825121
top_5,2020,3382,6.8598462448255475,4.626473901329841,2.2333723434957062
top_5,2021,2650,7.283018867924529,5.576898637024674,1.7061202308998553
top_5,2022,2532,6.31911532385466,5.318251559622941,1.0008637642317186
top_5,2023,1922,5.931321540062435,5.305088160948057,0.6262333791143777
top_5,2024,1398,6.509298998569385,4.811094970671501,1.6982040278978836
top_5,2025,791,3.4134007585335016,4.295014057171703,-0.8816132986382015
top_20,ALL,21994,25.83886514503956,19.41348419466033,6.425380950379226
top_10,ALL,21495,12.93324028843917,10.391517517289508,2.541722771149664
top_5,ALL,22021,6.611870487262158,5.408205586204358,1.2036649010578007
