market,arch_A,arch_B,residual_gap_pp,p_value,verdict,N_A,N_B
top_20,STYLE_03,STYLE_04,4.098224038215313,4.013648824869775e-10,SPREAD_CONFIRMED,19340,5165
top_20,STYLE_01,STYLE_04,-3.2376406598762815,6.973769540123487e-05,SPREAD_CONFIRMED,3404,5165
top_20,STYLE_01,STYLE_03,-7.335864698091594,4.803569857850819e-28,SPREAD_CONFIRMED,3404,19340
top_20,STYLE_02,STYLE_01,-1.9243031256271734,0.07997733825116721,NO_MEANINGFUL_SPREAD,1483,3404
top_20,STYLE_02,STYLE_03,-9.260167823718767,1.7734697210241335e-20,SPREAD_CONFIRMED,1483,19340
top_20,STYLE_02,STYLE_04,-5.161943785503455,2.42831134491197e-06,SPREAD_CONFIRMED,1483,5165
top_10,STYLE_03,STYLE_04,1.867135049610559,0.0001690717814102144,NO_MEANINGFUL_SPREAD,19148,5019
top_10,STYLE_01,STYLE_04,-0.3444202583998229,0.5734804773803343,NO_MEANINGFUL_SPREAD,3302,5019
top_10,STYLE_01,STYLE_03,-2.211555308010382,1.268458654289402e-05,SPREAD_CONFIRMED,3302,19148
top_10,STYLE_02,STYLE_01,-1.9168227987701407,0.015914497950040195,NO_MEANINGFUL_SPREAD,1434,3302
top_10,STYLE_02,STYLE_03,-4.128378106780523,6.927243840483293e-09,SPREAD_CONFIRMED,1434,19148
top_10,STYLE_02,STYLE_04,-2.2612430571699633,0.0041545457469008085,SPREAD_CONFIRMED,1434,5019
top_5,STYLE_03,STYLE_04,1.6408103518075239,3.2928442369256838e-06,NO_MEANINGFUL_SPREAD,19428,5179
top_5,STYLE_01,STYLE_04,0.3138079579926811,0.4731223680509652,NO_MEANINGFUL_SPREAD,3402,5179
top_5,STYLE_01,STYLE_03,-1.327002393814843,0.0003797473198055132,NO_MEANINGFUL_SPREAD,3402,19428
top_5,STYLE_02,STYLE_01,-0.4943573188081659,0.4159661880377147,NO_MEANINGFUL_SPREAD,1484,3402
top_5,STYLE_02,STYLE_03,-1.8213597126230088,0.0009394291908332716,NO_MEANINGFUL_SPREAD,1484,19428
top_5,STYLE_02,STYLE_04,-0.18054936081548487,0.7616443934120898,NO_MEANINGFUL_SPREAD,1484,5179
