market,archetype,rank_band,N,book_resid_pp,ACTUAL_ODDS_ROI
top_20,STYLE_01,ELITE,151,18.042852700275226,43.414199066994975
top_20,STYLE_01,MIDTIER,755,3.184167720550277,15.21938291759859
top_20,STYLE_01,FRINGE,2498,-1.1303673553473652,-11.062903647953725
top_20,STYLE_02,ELITE,142,3.4416393182496807,12.183440296760528
top_20,STYLE_02,MIDTIER,755,0.7346082965116927,4.251540834558942
top_20,STYLE_02,FRINGE,586,-4.9367565613316735,-39.131111591227295
top_20,STYLE_03,ELITE,5817,13.106848294053966,41.35581770871788
top_20,STYLE_03,MIDTIER,10482,6.890914453001115,38.102432182317344
top_20,STYLE_03,FRINGE,3041,2.136698397831252,16.83241620012339
top_20,STYLE_04,ELITE,1192,12.687362021419125,43.738561139835475
top_20,STYLE_04,MIDTIER,2661,3.7138821225889496,21.807626039521754
top_20,STYLE_04,FRINGE,1312,-3.6481121596031563,-29.75399106282347
top_10,STYLE_01,ELITE,149,13.215490103806637,44.44044307071624
top_10,STYLE_01,MIDTIER,739,1.2813004238795749,12.212904443551675
top_10,STYLE_01,FRINGE,2414,-0.13359967849358745,-3.0649496689601707
top_10,STYLE_02,ELITE,143,-0.03811353795167054,-0.24712577224839105
top_10,STYLE_02,MIDTIER,743,-0.24231849882006945,-2.961206937956684
top_10,STYLE_02,FRINGE,548,-2.622133082185494,-50.65086101840024
top_10,STYLE_03,ELITE,5807,4.912687031553316,25.341973936662686
top_10,STYLE_03,MIDTIER,10388,2.684943709879387,28.930132816118316
top_10,STYLE_03,FRINGE,2953,0.32747892202213186,5.7110248706935485
top_10,STYLE_04,ELITE,1194,7.387250922911861,44.146868375353264
top_10,STYLE_04,MIDTIER,2605,-0.08623611265732821,-0.9631232233747067
top_10,STYLE_04,FRINGE,1220,-2.3975655394315982,-44.82783951777199
top_5,STYLE_01,ELITE,153,10.641409449105375,71.66517854118027
top_5,STYLE_01,MIDTIER,754,0.5173220396349765,9.490671287355234
top_5,STYLE_01,FRINGE,2495,-0.5072474463235823,-20.864977170983135
top_5,STYLE_02,ELITE,142,6.041182173582186,75.10802152369264
top_5,STYLE_02,MIDTIER,754,0.374655116899586,8.265958393167727
top_5,STYLE_02,FRINGE,588,-2.6286790707712133,-79.44145827734035
top_5,STYLE_03,ELITE,5893,3.010189960617854,29.485985962965167
top_5,STYLE_03,MIDTIER,10492,1.2140234760329411,25.856469286031448
top_5,STYLE_03,FRINGE,3043,-0.13065529097096307,-4.230704916192529
top_5,STYLE_04,ELITE,1203,1.4849683123600244,15.790018606701594
top_5,STYLE_04,MIDTIER,2663,0.12465713155235558,2.9201339721991015
top_5,STYLE_04,FRINGE,1313,-1.9785650112576219,-68.40322423218254
