seg,cond,vn,vhr,vroi,on,ohr,oroi,label
H1: Line Level,HALF(0.5),17013,59.660259801328394,13.89685962071784,18044,59.094435823542455,12.816650208581045,PROMISING
H1: Line Level,FULL(1.5),1262,32.80507131537242,-37.372136579743554,1049,30.123927550047664,-42.490683768090825,FAIL
H2: Lineup,TOP(1-2),4326,58.57605177993528,11.827007943512795,4717,58.59656561373755,11.86617071713531,PROMISING
H2: Lineup,CORE(3-5),6890,59.143686502177076,12.910674231428947,7023,58.60743272105937,11.886917012931532,PROMISING
H2: Lineup,BOT(6-9),7067,55.9926418565162,6.8950435442582005,7357,55.729237460921574,6.392180607213906,PROMISING
H3: Contact,HI_CONTACT,4969,57.97947273093178,10.688084304506118,5482,58.37285662167092,11.439089914099034,PROMISING
H3: Contact,MED,6714,58.53440571939231,11.74750182793078,6800,57.85294117647059,10.446524064171118,PROMISING
H3: Contact,HI_K,6600,56.8939393939394,8.615702479338841,6815,56.43433602347763,7.738277863002729,PROMISING
H5: Variance,LOW_VAR,314,57.64331210191082,10.046323103647941,268,61.56716417910447,17.537313432835823,PROMISING
H5: Variance,MED_VAR,2347,60.67319982956967,15.830654220087537,2408,60.506644518272424,15.512684989429173,PROMISING
H5: Variance,HIGH_VAR,15622,57.361413391371144,9.50815283807218,16421,56.98800316667681,8.795278772746643,PROMISING
H5: Consistency,CONSISTENT,7056,57.993197278911566,10.714285714285714,7161,57.72936740678676,10.210610503865633,PROMISING
H5: Consistency,INCONSISTENT,11227,57.66455865324664,10.086884701652668,11936,57.3558981233244,9.497623689982934,PROMISING
