player_name,player_id,team,opponent,game_date,season,dataset_split,proj_ip,actual_ip,proj_tbf,actual_tbf,proj_k,actual_k,k_rate,bf_ip,statcast_available,csw_mod,whiff_mod,velo_mod,opp_k_mod,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,model_prob_over_analytical,implied_prob_over,implied_prob_under,actual_odds,bet_win,seg_A,seg_B,seg_D,seg_E,n_books
Dylan Cease,656302.0,SD,ARI,2024-05-03,2024,VALIDATION,6.28,6.2,24.8,22,8.01,8.0,0.3225,3.96,True,1.042,1.08,1.0,1.0,6.5,OVER,0.1718,5%+,0.6446,0.3554,0.6881,0.4728,0.5272,100.0,1.0,False,True,False,False,11
Slade Cecconi,677944.0,AZ,ARI,2024-05-03,2024,VALIDATION,5.0,4.1,21.0,20,5.32,4.0,0.2532,4.2,False,1.0,1.0,1.0,1.0,3.5,OVER,0.2399,5%+,0.7308,0.2692,0.7768,0.491,0.509,-110.0,1.0,False,False,False,False,11
Davis Martin,663436.0,CWS,KCR,2025-05-08,2025,OOS,5.18,4.1,23.5,21,3.16,2.0,0.1343,4.54,True,0.934,0.92,1.0,1.0,3.5,UNDER,0.0484,2-5%,0.3764,0.6236,0.388,0.4248,0.5752,-166.0,1.0,False,True,False,False,6
Kris Bubic,663460.0,KC,KCR,2025-05-08,2025,OOS,5.68,7.0,24.3,25,5.37,7.0,0.2211,4.27,True,1.019,1.036,1.0,1.0,5.5,UNDER,0.0576,5%+,0.432,0.568,0.4478,0.4896,0.5104,-590.0,0.0,False,True,False,False,6
Sonny Gray,543243.0,STL,LAA,2024-05-14,2024,VALIDATION,5.96,6.0,23.8,28,8.74,9.0,0.3678,3.98,True,1.097,1.08,1.0,1.043,6.5,OVER,0.2375,5%+,0.7172,0.2828,0.7681,0.4797,0.5203,-103.0,1.0,True,True,False,False,10
Reid Detmers,672282.0,LAA,STL,2024-05-14,2024,VALIDATION,5.33,5.0,23.4,25,5.16,7.0,0.2203,4.39,True,0.999,1.021,1.0,0.975,5.5,UNDER,0.079,5%+,0.4072,0.5928,0.4113,0.4862,0.5138,-250.0,0.0,False,True,False,False,10
Tyler Glasnow,607192.0,LAD,KCR,2024-06-16,2024,VALIDATION,6.25,7.0,25.4,24,10.64,9.0,0.4196,4.06,True,1.078,1.08,1.0,1.0,7.5,OVER,0.2666,5%+,0.7656,0.2344,0.8322,0.499,0.501,-114.0,1.0,True,True,False,False,9
Brady Singer,663903.0,KC,LAD,2024-06-16,2024,VALIDATION,4.82,6.0,23.0,24,3.98,4.0,0.1729,4.78,True,1.001,0.92,1.0,0.958,4.5,UNDER,0.1994,5%+,0.3464,0.6536,0.3674,0.5458,0.4542,100.0,1.0,False,False,False,False,9
Alec Marsh,679525.0,KC,KCR,2024-04-24,2024,VALIDATION,5.0,4.1,21.4,17,3.33,1.0,0.1552,4.29,True,0.975,0.92,1.0,1.0,4.5,UNDER,0.1862,5%+,0.2492,0.7508,0.2425,0.4355,0.5645,-150.0,1.0,False,False,False,False,10
Nick Lodolo,666157.0,CIN,CLE,2025-06-11,2025,OOS,5.63,3.1,23.9,17,4.91,,0.2054,4.25,True,0.965,0.965,1.0,0.97,5.5,UNDER,0.16,5%+,0.34,0.66,0.3686,0.5,0.5,-115.0,,False,True,False,False,1
