player_name,player_id,game_date,season,dataset_split,team,opponent,proj_ip,actual_ip,proj_tbf,actual_tbf,proj_k,actual_k,k_rate,k_rate_pre_shrink,bf_ip,csw_mod,whiff_mod,combined_sc,opp_k_mod,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,implied_prob_over,implied_prob_under,actual_odds,bet_win,odds_flag,k_tbf_capped,statcast_available,seg_A,seg_D,seg_E,n_books
Dylan Cease,656302.0,2024-05-03,2024,VALIDATION,SD,ARI,6.28,6.2,24.8,22,7.17,8.0,0.2886,0.3008,3.96,1.03,1.03,1.05,1.0,6.5,OVER,0.0608,5%+,0.5336,0.4664,0.4728,0.5272,100.0,1.0,False,False,True,False,False,False,11
Slade Cecconi,677944.0,2024-05-03,2024,VALIDATION,AZ,ARI,5.0,4.1,21.0,20,5.21,4.0,0.2482,0.2532,4.2,1.0,1.0,1.0,1.0,3.5,OVER,0.2324,5%+,0.7233,0.2767,0.491,0.509,-110.0,1.0,False,False,False,False,False,False,11
Davis Martin,663436.0,2025-05-08,2025,OOS,CWS,KCR,5.18,4.1,23.5,21,3.74,2.0,0.1591,0.1484,4.54,0.97,0.97,0.95,1.0,3.5,OVER,0.0688,5%+,0.4936,0.5064,0.4248,0.5752,-220.0,0.0,False,False,True,False,False,False,6
Kris Bubic,663460.0,2025-05-08,2025,OOS,KC,KCR,5.68,7.0,24.3,25,5.33,7.0,0.2197,0.2198,4.27,1.0192,1.03,1.0498,1.0,5.5,UNDER,0.0696,5%+,0.42,0.58,0.4896,0.5104,-590.0,0.0,False,False,True,False,False,False,6
Sonny Gray,543243.0,2024-05-14,2024,VALIDATION,STL,LAA,5.96,6.0,23.8,28,7.55,9.0,0.318,0.3354,3.98,1.03,1.03,1.05,1.042,6.5,OVER,0.1123,5%+,0.592,0.408,0.4797,0.5203,-103.0,1.0,False,False,True,True,False,False,10
Reid Detmers,672282.0,2024-05-14,2024,VALIDATION,LAA,STL,5.33,5.0,23.4,25,5.14,7.0,0.2198,0.2199,4.39,0.999,1.0204,1.0193,0.9739,5.5,UNDER,0.0876,5%+,0.3986,0.6014,0.4862,0.5138,-250.0,0.0,False,False,True,False,False,False,10
Tyler Glasnow,607192.0,2024-06-16,2024,VALIDATION,LAD,KCR,6.25,7.0,25.4,24,9.09,9.0,0.3586,0.3831,4.06,1.03,1.03,1.05,1.0,7.5,OVER,0.1296,5%+,0.6286,0.3714,0.499,0.501,-114.0,1.0,False,False,True,True,False,False,9
Brady Singer,663903.0,2024-06-16,2024,VALIDATION,KC,LAD,4.82,6.0,23.0,24,4.32,4.0,0.1877,0.1821,4.78,1.0013,0.97,0.9713,0.957,4.5,UNDER,0.1298,5%+,0.416,0.584,0.5458,0.4542,100.0,1.0,False,False,True,False,False,False,9
Alec Marsh,679525.0,2024-04-24,2024,VALIDATION,KC,KCR,5.0,4.1,21.7,17,3.74,1.0,0.1726,0.1643,4.33,0.9754,0.97,0.95,1.0,4.5,UNDER,0.1279,5%+,0.3076,0.6924,0.4355,0.5645,-150.0,1.0,False,False,True,False,False,False,10
Nick Lodolo,666157.0,2025-06-11,2025,OOS,CIN,CLE,5.63,3.1,23.9,17,5.04,,0.2108,0.2093,4.25,0.97,0.97,0.95,0.9686,5.5,UNDER,0.1314,5%+,0.3686,0.6314,0.5,0.5,-115.0,,False,False,True,False,False,False,1
Tanner Gordon,685299.0,2024-08-03,2024,VALIDATION,COL,SDP,5.0,6.0,25.2,20,4.28,4.0,0.1701,0.1614,5.03,0.9907,0.97,0.961,1.0,2.5,OVER,0.2015,5%+,0.7557,0.2443,0.5541,0.4459,-142.0,1.0,False,False,True,False,False,False,5
J.P. France,641585.0,2023-08-24,2023,TRAIN,HOU,BOS,6.7,2.1,27.5,20,5.27,,0.1914,0.186,4.11,0.9983,0.97,0.9684,0.9951,4.5,OVER,0.0091,0-2%,0.5774,0.4226,0.5683,0.4317,-375.0,,False,False,True,False,False,False,7
Jonathan France,641585.0,2023-08-24,2023,TRAIN,HOU,BOS,6.7,2.1,27.5,20,5.27,,0.1914,0.186,4.11,0.9983,0.97,0.9684,0.9951,4.5,OVER,0.0109,0-2%,0.564,0.436,0.5531,0.4469,-147.0,,False,False,True,False,False,False,2
Brayan Bello,678394.0,2023-08-24,2023,TRAIN,BOS,HOU,5.73,7.0,24.9,32,4.0,,0.1611,0.1503,4.34,0.9775,0.9875,0.9653,0.8855,4.5,UNDER,0.1236,5%+,0.3554,0.6446,0.479,0.521,-275.0,,False,False,True,False,False,False,9
Justin Verlander,434378.0,2025-04-09,2025,OOS,SF,SFG,3.55,5.2,14.9,26,2.84,9.0,0.1902,0.1851,4.2,1.0,1.0,1.0,1.0,4.5,UNDER,0.4167,5%+,0.187,0.813,0.6037,0.3963,-375.0,0.0,False,False,False,False,False,False,8
Hunter Brown,686613.0,2024-04-21,2024,VALIDATION,HOU,WSN,3.21,4.0,68.4,17,8.96,6.0,0.131,0.1154,21.33,0.97,0.97,0.95,1.0,4.5,UNDER,0.0167,0-2%,0.4706,0.5294,0.4873,0.5127,-124.0,0.0,False,False,True,False,False,False,1
Andrew Abbott,671096.0,2025-08-23,2025,OOS,CIN,ARI,6.51,4.0,27.6,21,5.26,6.0,0.1906,0.1855,4.24,0.9746,0.9855,0.9605,1.0,4.5,OVER,0.1394,5%+,0.5642,0.4358,0.4248,0.5752,-220.0,1.0,False,False,True,False,False,False,8
Sandy Alcantara,645261.0,2023-07-19,2023,TRAIN,MIA,STL,6.03,6.0,26.1,27,5.15,7.0,0.1975,0.1931,4.33,1.0154,1.0089,1.0244,0.9497,5.5,UNDER,0.0198,0-2%,0.405,0.595,0.4248,0.5752,-315.0,0.0,False,False,True,False,False,False,10
Lance McCullers Jr.,621121.0,2025-06-10,2025,OOS,HOU,CHW,4.62,5.0,84.0,23,25.26,,0.3006,0.3149,18.19,1.03,1.03,1.05,1.0,6.5,OVER,0.452,5%+,0.8757,0.1243,0.4237,0.5763,-150.0,,False,False,True,True,False,False,7
Shane Smith,681343.0,2025-06-10,2025,OOS,CWS,HOU,4.82,6.0,21.6,24,5.52,,0.2555,0.2619,4.48,1.03,1.03,1.05,0.9405,4.5,OVER,0.0342,2-5%,0.6058,0.3942,0.5716,0.4284,-305.0,,False,False,True,False,False,False,7
Michael Wacha,608379.0,2025-05-02,2025,OOS,KC,BAL,5.41,6.1,23.9,25,5.14,,0.215,0.2142,4.42,0.9877,0.9971,0.9848,1.0845,4.5,OVER,0.0682,5%+,0.5642,0.4358,0.496,0.504,-113.0,,False,False,True,False,True,False,6
Dean Kremer,665152.0,2025-05-02,2025,OOS,BAL,KCR,4.92,7.0,24.3,25,3.31,,0.1364,0.1218,4.93,0.97,0.97,0.95,1.0,3.5,UNDER,0.1289,5%+,0.4108,0.5892,0.5397,0.4603,-250.0,,False,False,True,False,False,False,7
Jesus Luzardo,666200.0,2025-07-18,2025,OOS,PHI,LAA,5.01,4.2,24.8,22,8.04,,0.3246,0.3432,4.95,1.03,1.03,1.05,1.18,6.5,OVER,0.0699,5%+,0.603,0.397,0.5331,0.4669,-130.0,,False,False,True,False,True,False,7
Brandon Williamson,682227.0,2023-07-22,2023,TRAIN,CIN,ARI,4.5,6.0,20.0,21,4.29,5.0,0.2148,0.2134,4.44,0.9739,0.97,0.95,1.0,3.5,OVER,0.0263,2-5%,0.5648,0.4352,0.5385,0.4615,-350.0,1.0,False,False,True,False,False,False,8
Brandon Pfaadt,694297.0,2023-07-22,2023,TRAIN,AZ,CIN,3.89,6.0,20.6,24,4.16,6.0,0.2021,0.1985,5.29,0.9905,1.0098,1.0002,1.0946,4.5,UNDER,0.0897,5%+,0.39,0.61,0.4797,0.5203,-285.0,0.0,False,False,True,False,True,False,6
Chris Bassitt,605135.0,2024-04-21,2024,VALIDATION,TOR,SDP,5.0,5.1,23.5,23,5.12,4.0,0.2181,0.2179,4.69,1.0259,0.97,0.9951,1.0,4.5,OVER,0.0091,0-2%,0.543,0.457,0.5339,0.4661,-315.0,0.0,False,False,True,False,False,False,10
Joe Musgrove,605397.0,2024-04-21,2024,VALIDATION,SD,SDP,5.04,7.0,26.2,25,5.44,3.0,0.2078,0.2058,5.2,1.03,1.03,1.05,1.0,4.5,OVER,0.0354,2-5%,0.5758,0.4242,0.5404,0.4596,-140.0,0.0,False,False,True,False,False,False,10
Aaron Civale,650644.0,2024-04-09,2024,VALIDATION,TB,LAA,5.0,5.0,21.0,21,6.46,4.0,0.3078,0.3233,4.2,1.0,1.0,1.0,1.042,5.5,OVER,0.077,5%+,0.5822,0.4178,0.5052,0.4948,-115.0,0.0,False,False,False,False,False,False,10
Patrick Sandoval,663776.0,2024-04-09,2024,VALIDATION,LAA,TBR,3.26,5.0,13.7,24,3.06,6.0,0.223,0.2236,4.2,1.0,1.0,1.0,1.0,5.5,UNDER,0.3912,5%+,0.1264,0.8736,0.5176,0.4824,-215.0,0.0,False,False,False,False,False,False,10
David Peterson,656849.0,2025-05-24,2025,OOS,NYM,LAD,5.85,7.2,26.1,28,5.3,7.0,0.2033,0.2005,4.46,1.0214,1.0184,1.0401,0.9743,4.5,OVER,0.0888,5%+,0.5984,0.4016,0.5096,0.4904,-110.0,1.0,False,False,True,False,False,False,7
Tony Gonsolin,664062.0,2025-05-24,2025,OOS,LAD,NYM,4.96,5.0,21.2,24,5.59,4.0,0.2644,0.2724,4.26,1.03,1.03,1.05,0.9562,4.5,OVER,0.0879,5%+,0.6198,0.3802,0.5319,0.4681,-130.0,0.0,False,False,True,True,False,False,7
Jack Flaherty,656427.0,2024-08-03,2024,VALIDATION,LAD,OAK,5.75,6.0,23.4,25,7.62,7.0,0.3254,0.344,4.07,1.03,1.03,1.05,1.1179,6.5,OVER,0.0487,2-5%,0.6062,0.3938,0.5575,0.4425,-159.0,1.0,False,False,True,False,True,False,7
Mitch Spence,687765.0,2024-08-03,2024,VALIDATION,OAK,LAD,5.14,5.2,24.1,24,4.22,6.0,0.1752,0.1674,4.69,0.97,0.97,0.95,0.957,4.5,UNDER,0.138,5%+,0.402,0.598,0.54,0.46,-108.0,0.0,False,False,True,False,False,False,8
Michael Soroka,647336.0,2024-04-09,2024,VALIDATION,CWS,CLE,5.0,3.2,21.0,18,1.4,4.0,0.0668,0.0398,4.2,1.0,1.0,1.0,0.8759,2.5,UNDER,0.3791,5%+,0.1796,0.8204,0.5587,0.4413,-5000.0,0.0,False,False,False,False,False,False,10
Drew Smyly,592767.0,2023-06-28,2023,TRAIN,CHC,PHI,5.56,3.2,25.6,22,4.49,2.0,0.1751,0.1668,4.61,0.97,0.9894,0.9597,1.0572,4.5,UNDER,0.0998,5%+,0.4526,0.5474,0.5524,0.4476,105.0,1.0,False,False,True,False,True,False,11
Aaron Nola,605400.0,2023-06-28,2023,TRAIN,PHI,CHC,6.33,5.0,25.9,24,7.21,4.0,0.2788,0.2888,4.09,1.03,1.03,1.05,0.9891,5.5,OVER,0.1041,5%+,0.6876,0.3124,0.5835,0.4165,-165.0,0.0,False,False,True,True,False,False,11
Joe Ryan,657746.0,2023-06-16,2023,TRAIN,MIN,DET,5.66,7.0,23.7,28,5.75,7.0,0.2428,0.2464,4.18,0.97,0.9768,0.95,1.0934,7.5,UNDER,0.1973,5%+,0.2347,0.7653,0.432,0.568,-155.0,1.0,False,False,True,False,True,False,4
Frankie Montas,593423.0,2024-05-23,2024,VALIDATION,CIN,SDP,4.42,6.0,28.7,27,4.07,3.0,0.1415,0.1277,6.5,0.97,0.97,0.95,1.0,1.5,OVER,0.2982,5%+,0.7881,0.2119,0.4899,0.5101,-110.0,1.0,False,False,True,False,False,False,1
Matt Waldron,663362.0,2024-05-23,2024,VALIDATION,SD,CIN,4.84,5.0,22.5,22,5.94,7.0,0.264,0.2719,4.65,1.0222,0.9867,1.0086,1.0815,5.5,OVER,0.0243,2-5%,0.504,0.496,0.4797,0.5203,-105.0,1.0,False,False,True,False,True,False,1
Jack Flaherty,656427.0,2023-07-26,2023,TRAIN,STL,ARI,5.92,5.0,26.8,25,5.56,4.0,0.2078,0.2053,4.52,0.9776,0.97,0.95,1.0,5.5,OVER,0.0542,5%+,0.4688,0.5312,0.4146,0.5854,-165.0,0.0,False,False,True,False,False,False,9
Zac Gallen,668678.0,2023-07-26,2023,TRAIN,AZ,ARI,6.45,6.1,26.2,27,6.29,8.0,0.2403,0.2435,4.06,1.03,1.0199,1.05,1.0,6.5,UNDER,0.0337,2-5%,0.4228,0.5772,0.4565,0.5435,-145.0,0.0,False,False,True,False,False,False,9
Domingo Germán,593334.0,2023-06-10,2023,TRAIN,NYY,BOS,5.3,6.0,21.8,26,4.67,,0.2149,0.2135,4.1,1.0034,1.0148,1.0182,0.9951,5.5,UNDER,0.1068,5%+,0.3164,0.6836,0.4232,0.5768,-159.0,,False,False,True,False,False,False,1
