engine,player_name,player_id,game_date,season,dataset_split,team,opponent,p_k,bf_mean,bf_std,beta_concentration,proj_k,actual_bf,actual_k,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,implied_prob_over,implied_prob_under,actual_odds,bet_win,odds_flag,statcast_available,seg_A,seg_D,seg_E,n_books
BetaBinomial,Dylan Cease,656302.0,2024-05-03,2024,VALIDATION,SD,ARI,0.2886,24.8,3.6,58.5,7.17,22,8.0,6.5,OVER,0.0966,5%+,0.5694,0.4306,0.4728,0.5272,100.0,1.0,False,True,False,False,False,11
BetaBinomial,Slade Cecconi,677944.0,2024-05-03,2024,VALIDATION,AZ,ARI,0.2482,21.0,4.2,50.0,5.21,20,4.0,3.5,OVER,0.2413,5%+,0.7323,0.2677,0.491,0.509,-110.0,1.0,False,False,False,False,False,11
BetaBinomial,Davis Martin,663436.0,2025-05-08,2025,OOS,CWS,KCR,0.1591,23.5,2.29,26.4,3.74,21,2.0,3.5,OVER,0.0566,5%+,0.4814,0.5186,0.4248,0.5752,-220.0,0.0,False,True,False,False,False,6
BetaBinomial,Kris Bubic,663460.0,2025-05-08,2025,OOS,KC,KCR,0.2197,24.3,3.23,33.9,5.33,25,7.0,5.5,UNDER,0.0388,2-5%,0.4508,0.5492,0.4896,0.5104,-590.0,0.0,False,True,False,False,False,6
BetaBinomial,Sonny Gray,543243.0,2024-05-14,2024,VALIDATION,STL,LAA,0.318,23.8,3.02,25.2,7.55,28,9.0,6.5,OVER,0.1349,5%+,0.6146,0.3854,0.4797,0.5203,-103.0,1.0,False,True,True,False,False,10
BetaBinomial,Reid Detmers,672282.0,2024-05-14,2024,VALIDATION,LAA,STL,0.2198,23.4,3.25,7.2,5.14,25,7.0,5.5,UNDER,0.1022,5%+,0.384,0.616,0.4862,0.5138,-250.0,0.0,False,True,False,False,False,10
BetaBinomial,Tyler Glasnow,607192.0,2024-06-16,2024,VALIDATION,LAD,KCR,0.3586,25.4,4.19,17.2,9.09,24,9.0,7.5,OVER,0.1292,5%+,0.6282,0.3718,0.499,0.501,-114.0,1.0,False,True,True,False,False,9
BetaBinomial,Brady Singer,663903.0,2024-06-16,2024,VALIDATION,KC,LAD,0.1877,23.0,3.92,20.0,4.32,24,4.0,4.5,UNDER,0.1334,5%+,0.4124,0.5876,0.5458,0.4542,100.0,1.0,False,True,False,False,False,9
BetaBinomial,Alec Marsh,679525.0,2024-04-24,2024,VALIDATION,KC,KCR,0.1726,21.7,5.12,50.0,3.74,17,1.0,4.5,UNDER,0.1143,5%+,0.3212,0.6788,0.4355,0.5645,-150.0,1.0,False,True,False,False,False,10
BetaBinomial,Nick Lodolo,666157.0,2025-06-11,2025,OOS,CIN,CLE,0.2108,23.9,3.34,20.0,5.04,17,,5.5,UNDER,0.116,5%+,0.384,0.616,0.5,0.5,-115.0,,False,True,False,False,False,1
BetaBinomial,Tanner Gordon,685299.0,2024-08-03,2024,VALIDATION,COL,SDP,0.1701,25.2,5.03,50.0,4.28,20,4.0,2.5,OVER,0.1854,5%+,0.7395,0.2605,0.5541,0.4459,-142.0,1.0,False,True,False,False,False,5
BetaBinomial,J.P. France,641585.0,2023-08-24,2023,TRAIN,HOU,BOS,0.1914,27.5,3.76,24.1,5.27,20,,4.5,UNDER,0.0215,2-5%,0.5468,0.4532,0.5683,0.4317,105.0,,False,True,False,False,False,7
BetaBinomial,Jonathan France,641585.0,2023-08-24,2023,TRAIN,HOU,BOS,0.1914,27.5,3.76,24.1,5.27,20,,4.5,UNDER,0.0067,0-2%,0.5464,0.4536,0.5531,0.4469,107.0,,False,True,False,False,False,2
BetaBinomial,Brayan Bello,678394.0,2023-08-24,2023,TRAIN,BOS,HOU,0.1611,24.9,4.37,40.8,4.0,32,,4.5,UNDER,0.1134,5%+,0.3656,0.6344,0.479,0.521,-275.0,,False,True,False,False,False,9
BetaBinomial,Justin Verlander,434378.0,2025-04-09,2025,OOS,SF,SFG,0.1902,14.9,4.2,50.0,2.84,26,9.0,4.5,UNDER,0.4061,5%+,0.1977,0.8023,0.6037,0.3963,-375.0,0.0,False,False,False,False,False,8
BetaBinomial,Hunter Brown,686613.0,2024-04-21,2024,VALIDATION,HOU,WSN,0.131,68.4,51.5,50.0,8.96,17,6.0,4.5,OVER,0.1863,5%+,0.6736,0.3264,0.4873,0.5127,-111.0,1.0,False,True,False,False,False,1
BetaBinomial,Andrew Abbott,671096.0,2025-08-23,2025,OOS,CIN,ARI,0.1906,27.6,5.5,19.7,5.26,21,6.0,4.5,OVER,0.1234,5%+,0.5482,0.4518,0.4248,0.5752,-220.0,1.0,False,True,False,False,False,8
BetaBinomial,Sandy Alcantara,645261.0,2023-07-19,2023,TRAIN,MIA,STL,0.1975,26.1,3.31,30.7,5.15,27,7.0,5.5,UNDER,0.027,2-5%,0.3978,0.6022,0.4248,0.5752,-315.0,0.0,False,True,False,False,False,10
BetaBinomial,Lance McCullers Jr.,621121.0,2025-06-10,2025,OOS,HOU,CHW,0.3006,84.0,39.69,5.5,25.26,23,,6.5,OVER,0.3865,5%+,0.8103,0.1897,0.4237,0.5763,-150.0,,False,True,True,False,False,7
BetaBinomial,Shane Smith,681343.0,2025-06-10,2025,OOS,CWS,HOU,0.2555,21.6,3.62,27.2,5.52,24,,4.5,OVER,0.0376,2-5%,0.6092,0.3908,0.5716,0.4284,-305.0,,False,True,False,False,False,7
BetaBinomial,Michael Wacha,608379.0,2025-05-02,2025,OOS,KC,BAL,0.215,23.9,2.82,72.3,5.14,25,,4.5,OVER,0.063,5%+,0.559,0.441,0.496,0.504,-113.0,,False,True,False,True,False,6
BetaBinomial,Dean Kremer,665152.0,2025-05-02,2025,OOS,BAL,KCR,0.1364,24.3,2.5,21.1,3.31,25,,3.5,UNDER,0.1499,5%+,0.3898,0.6102,0.5397,0.4603,-250.0,,False,True,False,False,False,7
BetaBinomial,Jesus Luzardo,666200.0,2025-07-18,2025,OOS,PHI,LAA,0.3246,24.8,9.39,24.8,8.04,22,,6.5,OVER,0.0565,5%+,0.5896,0.4104,0.5331,0.4669,-130.0,,False,True,False,True,False,7
BetaBinomial,Brandon Williamson,682227.0,2023-07-22,2023,TRAIN,CIN,ARI,0.2148,20.0,5.76,18.1,4.29,21,5.0,3.5,OVER,0.0125,0-2%,0.551,0.449,0.5385,0.4615,-350.0,1.0,False,True,False,False,False,8
