game_id,game_date,home_team,away_team,closing_line,model_projection,venue_signal,ref_signal,game_spread,away_b2b,home_b2b,days_rest_away,days_rest_home,predicted_side,actual_total,market_error,went_ot,result
0022501052,2026-03-25,IND,LAL,239.0,234.69,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501053,2026-03-25,PHI,CHI,238.5,238.51,False,REF_OVER,,0,0,,,UNDER,,,,
0022501055,2026-03-25,MIA,CLE,243.0,234.87,False,NONE,,1,0,,,UNDER,,,,
0022501057,2026-03-25,UTA,WAS,240.5,228.55,False,NONE,,0,0,,,UNDER,,,,
0022501066,2026-03-27,LAC,IND,238.0,234.32,False,NONE,,0,0,,,UNDER,,,,
0022501068,2026-03-27,MIA,CLE,242.5,234.1,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501070,2026-03-27,CHI,OKC,236.5,230.47,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501072,2026-03-27,UTA,DEN,248.5,225.18,False,NONE,,0,0,,,UNDER,,,,
0022501074,2026-03-27,DAL,POR,239.5,211.63,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501078,2026-03-28,SAC,ATL,237.0,234.81,False,NONE,,1,0,,,UNDER,,,,
0022501079,2026-03-28,CHI,MEM,245.0,241.21,False,REF_OVER,,1,0,,,UNDER,,,,
0022501083,2026-03-29,MIA,IND,245.5,240.63,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501087,2026-03-29,WAS,POR,238.5,220.0,False,NONE,,0,0,,,UNDER,,,,
0022501090,2026-03-29,GSW,DEN,239.0,218.97,False,NONE,,0,0,,,UNDER,,,,
0022501091,2026-03-30,PHI,MIA,246.5,241.23,False,UNKNOWN,,1,0,,,UNDER,,,,
0022501094,2026-03-30,CHI,SAS,243.5,238.66,False,UNKNOWN,,0,0,,,UNDER,,,,
0022501095,2026-03-30,MIN,DAL,236.0,219.05,False,UNKNOWN,,0,0,,,UNDER,,,,
0022501096,2026-03-30,CLE,UTA,243.5,208.55,False,UNKNOWN,,0,0,,,UNDER,,,,
0022501098,2026-03-30,WAS,LAL,235.5,238.37,False,UNKNOWN,,0,0,,,UNDER,,,,
0022501103,2026-03-31,CLE,LAL,237.5,228.91,False,NONE,,1,0,,,UNDER,,,,
0022501134,2026-04-05,PHX,CHI,240.5,227.87,False,REF_OVER,,0,0,,,UNDER,,,,
0022501136,2026-04-05,IND,CLE,239.0,232.26,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501138,2026-04-05,ORL,NOP,236.0,231.37,False,NONE,,0,0,,,UNDER,,,,
0022501139,2026-04-05,UTA,OKC,239.5,215.82,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501145,2026-04-06,MEM,CLE,237.5,234.84,False,UNKNOWN,,1,0,,,UNDER,,,,
0022501147,2026-04-06,DEN,POR,240.0,217.93,False,UNKNOWN,,0,0,,,UNDER,,,,
0022501148,2026-04-07,WAS,CHI,249.5,243.51,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501151,2026-04-07,TOR,MIA,239.5,233.77,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501153,2026-04-07,NOP,UTA,242.0,214.81,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501154,2026-04-07,GSW,SAC,235.0,215.93,False,NONE,,0,0,,,UNDER,,,,
0022501156,2026-04-07,LAC,DAL,237.5,230.03,False,REF_UNDER,,0,0,,,UNDER,,,,
0022501158,2026-04-08,CLE,ATL,236.5,230.31,False,UNKNOWN,,0,0,,,UNDER,,,,
0022501162,2026-04-08,DEN,MEM,246.5,242.2,False,UNKNOWN,,0,0,,,UNDER,,,,
0022501165,2026-04-09,TOR,MIA,239.0,233.77,False,UNKNOWN,None,0,0,None,None,UNDER,None,None,None,None
0022501166,2026-04-09,WAS,CHI,247.5,243.51,False,UNKNOWN,None,0,0,None,None,UNDER,None,None,None,None
