id,name,label,direction,N_disc,roi_disc,roi_oos,avg_clv_disc,pct_pos_clv_disc,delta_vs_baseline,gates_failed
MV1,Stable Line + Model Lean,FAIL,model direction,690,0.71,4.92,-0.02,29.1,0.0,disc_ROI=0.7%<3.0%|ROI_2023-24=-0.5%<=0|delta=0.0pp<2.0pp|CLV_negative=-0.02_with_pos_ROI
MV2_SMALL,Confirms SMALL,FAIL,model direction,159,-1.54,-2.38,1.0,100.0,-2.25,disc_ROI=-1.5%<3.0%|ROI_2023-24=-10.2%<=0|delta=-2.3pp<2.0pp|OOS_ROI=-2.4%<0%
MV2_MEDIUM,Confirms MEDIUM,FAIL,model direction,240,-9.32,-9.85,1.71,100.0,-10.03,disc_ROI=-9.3%<3.0%|ROI_2022-23=-8.1%<=0|ROI_2023-24=-10.2%<=0|delta=-10.0pp<2.0pp|OOS_ROI=-9.8%<0%
MV3_SMALL,Contradicts SMALL (fade movement),FAIL,model direction (fade),221,-11.89,-12.21,-1.0,0.0,-12.6,disc_ROI=-11.9%<3.0%|ROI_2022-23=-7.8%<=0|ROI_2023-24=-14.7%<=0|delta=-12.6pp<2.0pp|OOS_ROI=-12.2%<0%
MV3_MEDIUM,Contradicts MEDIUM (fade movement),FAIL,model direction (fade),341,8.05,-0.61,-1.7,0.0,7.34,OOS_ROI=-0.6%<0%|CLV_negative=-1.70_with_pos_ROI
MV4_model,Large Confirm (model dir),FAIL,model direction,168,-10.23,-1.25,3.48,100.0,-10.94,disc_ROI=-10.2%<3.0%|ROI_2022-23=-10.8%<=0|ROI_2023-24=-9.6%<=0|delta=-10.9pp<2.0pp|OOS_ROI=-1.3%<0%
MV4_fade,Large Confirm (fade),FAIL,fade model (against movement),168,-1.14,-10.03,3.48,100.0,-1.85,disc_ROI=-1.1%<3.0%|ROI_2022-23=-0.4%<=0|ROI_2023-24=-2.0%<=0|delta=-1.8pp<2.0pp|OOS_ROI=-10.0%<0%
MV5_model,Large Contradict (model dir),FAIL,model direction (fade large move),460,-5.79,-13.62,-4.0,0.0,-6.5,disc_ROI=-5.8%<3.0%|ROI_2022-23=-2.7%<=0|ROI_2023-24=-9.8%<=0|delta=-6.5pp<2.0pp|OOS_ROI=-13.6%<0%
MV5_follow,Large Contradict (follow move),FAIL,follow movement (against model),460,-7.04,3.08,-4.0,0.0,-7.75,disc_ROI=-7.0%<3.0%|ROI_2022-23=-7.1%<=0|ROI_2023-24=-6.9%<=0|delta=-7.7pp<2.0pp
MV6,Reverse Line Movement,SKIPPED,N/A,0,,,,,,no_public_betting_data
MV7,Stable + High Edge (>2.0),FAIL,model direction,488,2.11,1.65,-0.01,29.7,1.4,disc_ROI=2.1%<3.0%|ROI_2023-24=-0.8%<=0|delta=1.4pp<2.0pp|CLV_negative=-0.01_with_pos_ROI
MV8,Movement Then Reversal,SKIPPED,N/A,0,,,,,,no_intraday_snapshot_data
MV9,Mid-Range Band + Stable,FAIL,model direction,385,2.64,4.78,-0.03,26.5,1.93,disc_ROI=2.6%<3.0%|delta=1.9pp<2.0pp|CLV_negative=-0.03_with_pos_ROI
MV10a,Pure Follow Movement,FAIL,follow movement,862,-11.41,-0.45,3.36,,-12.12,standalone_test
MV10b,Pure Fade Movement,FAIL,fade movement,862,-0.56,-10.21,-3.36,,-1.27,standalone_test
