id,name,label,direction,N_disc,roi_disc,roi_oos,avg_clv_disc,pct_pos_clv_disc,delta_vs_baseline,gates_failed,N_2022-23,roi_2022-23,N_2023-24,roi_2023-24
V1,High 3PT Variance → OVER,FAIL,OVER,340,1.07,-3.48,-0.01,42.9,3.54,ROI_2023-24=-0.3%<=0|disc_ROI=1.1%<3%|OOS=-3.5%<0|CLV=-0.01_neg,160,2.61,180,-0.3
V2,Turnover Chaos → OVER,FAIL,OVER,448,-4.12,-6.35,-0.0,44.4,-1.65,ROI_2022-23=-1.9%<=0|ROI_2023-24=-8.2%<=0|disc_ROI=-4.1%<3%|delta=-1.6pp<2pp|OOS=-6.3%<0,290,-1.91,158,-8.17
V3,Foul/FT Variance → OVER,FAIL,OVER,688,-3.44,-10.16,-0.08,43.3,-0.97,ROI_2022-23=-4.7%<=0|ROI_2023-24=-0.6%<=0|disc_ROI=-3.4%<3%|delta=-1.0pp<2pp|OOS=-10.2%<0,469,-4.75,219,-0.62
V4,Blowout Risk → UNDER,FAIL,UNDER,530,-12.83,-11.22,0.0,44.2,-10.36,ROI_2022-23=-11.2%<=0|ROI_2023-24=-14.3%<=0|disc_ROI=-12.8%<3%|delta=-10.4pp<2pp|OOS=-11.2%<0,245,-11.17,285,-14.26
V5,High Vol → Fade Model,FAIL,fade model,477,-5.15,-1.73,-0.67,35.6,-2.68,ROI_2022-23=-11.3%<=0|disc_ROI=-5.1%<3%|delta=-2.7pp<2pp|OOS=-1.7%<0,269,-11.29,208,2.8
V6,Low Vol → Follow Model,FAIL,model,673,0.99,-7.56,-0.7,32.2,3.46,ROI_2023-24=-0.1%<=0|disc_ROI=1.0%<3%|OOS=-7.6%<0|CLV=-0.70_neg,266,2.63,407,-0.09
V7_over,High Vol + Mid Band → OVER,FAIL,OVER,247,-8.8,0.34,-0.54,34.8,-6.33,ROI_2023-24=-26.9%<=0|disc_ROI=-8.8%<3%|delta=-6.3pp<2pp,153,2.32,94,-26.89
V7_under,High Vol + Mid Band → UNDER,FAIL,UNDER,247,-1.07,-12.09,0.54,52.6,1.4,ROI_2022-23=-11.4%<=0|disc_ROI=-1.1%<3%|delta=1.4pp<2pp|OOS=-12.1%<0,153,-11.41,94,15.76
V8_model,High Vol + Large Edge → Model,FAIL,model,325,-6.6,-12.75,-0.72,35.1,-4.13,ROI_2023-24=-15.6%<=0|disc_ROI=-6.6%<3%|delta=-4.1pp<2pp|OOS=-12.7%<0,169,1.67,156,-15.56
V8_fade,High Vol + Large Edge → Fade,FAIL,fade model,325,-4.84,0.67,-0.72,35.1,-2.37,ROI_2022-23=-10.8%<=0|disc_ROI=-4.8%<3%|delta=-2.4pp<2pp,169,-10.76,156,1.57
V9,Low Vol + Any Edge → Model,FAIL,model,673,0.99,-7.56,-0.7,32.2,3.46,ROI_2023-24=-0.1%<=0|disc_ROI=1.0%<3%|OOS=-7.6%<0|CLV=-0.70_neg,266,2.63,407,-0.09
V10_over,Recent Chaos → OVER,FAIL,OVER,571,-9.06,6.88,-0.09,42.9,-6.59,ROI_2022-23=-9.4%<=0|ROI_2023-24=-8.9%<=0|disc_ROI=-9.1%<3%|delta=-6.6pp<2pp,217,-9.38,354,-8.86
V10_under,Recent Chaos → UNDER,FAIL,UNDER,571,-3.71,-16.65,0.09,45.4,-1.24,ROI_2022-23=-2.3%<=0|ROI_2023-24=-4.5%<=0|disc_ROI=-3.7%<3%|delta=-1.2pp<2pp|OOS=-16.6%<0,217,-2.35,354,-4.55
