date,game_id,home_team,away_team,closing_total,model_projection,model_edge,bet_direction,both_fast_pace,overlay_applied,overlay_segment,original_tier,final_tier,result,roi_outcome
2025-10-29,0022500128,BOS,CLE,234.5,235.01,0.51,OVER,False,False,,LOW,LOW,LOSS,-1.0
2025-10-31,0022500023,CHI,NYK,235.5,235.04,-0.46,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2025-11-03,0022500158,BOS,UTA,233.5,233.48,-0.02,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-05,0022500174,BOS,WAS,232.5,233.1,0.6,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-05,0022500178,DEN,MIA,241.5,241.23,-0.27,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-07,0022500035,MIL,CHI,242.5,241.7,-0.8,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-09,0022500197,SAC,MIN,237.5,238.14,0.64,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-10,0022500202,CHI,SAS,236.5,236.46,-0.04,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2025-11-11,0022500211,UTA,IND,232.5,233.36,0.86,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-11-12,0022500214,DET,CHI,235.5,236.04,0.54,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-11-12,0022500218,HOU,WAS,235.5,235.64,0.14,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-12,0022500220,SAS,GSW,232.5,233.22,0.72,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-15,0022500230,IND,TOR,233.5,234.14,0.64,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-11-17,0022500248,DEN,CHI,239.5,239.86,0.36,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-11-21,0022500050,TOR,WAS,239.5,238.61,-0.89,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2025-11-21,0022500051,CHI,MIA,250.5,249.71,-0.79,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-21,0022500052,DAL,NOP,233.5,233.36,-0.14,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-22,0022500271,CHI,WAS,244.5,244.95,0.45,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-11-23,0022500281,PHX,SAS,235.5,236.31,0.81,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-11-24,0022500283,IND,DET,235.5,235.73,0.23,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-11-24,0022500287,MEM,DEN,232.5,232.52,0.02,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-11-25,0022500057,WAS,ATL,236.5,236.38,-0.12,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2025-11-26,0022500068,SAC,PHX,233.5,234.02,0.52,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-11-28,0022500073,IND,WAS,239.5,239.21,-0.29,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2025-11-29,0022500299,PHX,DEN,232.5,232.84,0.34,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-12-01,0022500315,DEN,DAL,233.5,234.16,0.66,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-03,0022500328,NYK,CHA,234.5,233.75,-0.75,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-03,0022500330,HOU,SAC,230.5,230.22,-0.28,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-04,0022500334,WAS,BOS,231.5,231.28,-0.22,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-05,0022500339,ORL,MIA,241.5,242.21,0.71,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-12-05,0022500341,CLE,SAS,238.5,238.99,0.49,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-12-05,0022500343,NYK,UTA,240.5,240.26,-0.24,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-05,0022500344,TOR,CHA,228.5,228.83,0.33,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-12-06,0022500354,MIA,SAC,239.5,239.59,0.09,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-12-07,0022500358,TOR,BOS,225.5,226.41,0.91,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-08,0022500364,IND,SAC,234.5,233.73,-0.77,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-09,0022501201,ORL,MIA,238.5,238.82,0.32,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-12-11,0022501206,MIL,BOS,226.5,226.17,-0.33,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-12,0022501211,PHI,IND,229.5,228.64,-0.86,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-12,0022501213,MEM,UTA,237.5,237.71,0.21,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2025-12-14,0022501228,PHX,LAL,229.5,228.97,-0.53,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-15,0022501227,MIA,TOR,233.5,234.39,0.89,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-12-18,0022500379,UTA,LAL,242.5,243.14,0.64,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-19,0022500382,NYK,PHI,228.5,228.48,-0.02,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-20,0022500388,TOR,BOS,224.5,224.82,0.32,OVER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-20,0022500392,GSW,PHX,227.5,227.28,-0.22,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2025-12-21,0022500400,MIN,MIL,226.5,226.92,0.42,OVER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-21,0022500401,SAC,HOU,222.5,223.25,0.75,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-22,0022500403,BOS,IND,225.5,225.8,0.3,OVER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-23,0022500416,MIN,NYK,229.5,229.55,0.05,OVER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-26,0022500426,IND,BOS,222.5,222.9,0.4,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-26,0022500427,CHI,PHI,240.5,240.6,0.1,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-12-26,0022500428,MEM,MIL,228.5,228.48,-0.02,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-27,0022500434,NOP,PHX,237.5,237.07,-0.43,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-27,0022500435,ATL,NYK,240.5,241.43,0.93,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-27,0022500436,MIA,IND,230.5,230.58,0.08,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2025-12-29,0022500448,WAS,PHX,232.5,233.49,0.99,OVER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-29,0022500456,SAS,CLE,242.5,243.42,0.92,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2025-12-30,0022500460,LAL,DET,233.5,232.7,-0.8,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2025-12-31,0022500462,CHA,GSW,234.5,234.36,-0.14,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2025-12-31,0022500464,IND,ORL,225.5,225.91,0.41,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-01,0022500471,BKN,HOU,218.5,218.92,0.42,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-01,0022500474,SAC,BOS,228.5,229.04,0.54,OVER,False,False,,LOW,LOW,LOSS,-1.0
