segment,condition,gate,val_n,val_hr,val_roi_b,oos_n,oos_roi_b
S1_LINE,line<=1.5,FAIL,3012,54.0,-4.1,3349,-4.2
S1_LINE,line=2.5,FAIL,1276,54.9,-3.9,1290,-6.4
S1_LINE,line=3.5,FAIL,481,57.6,0.0,249,-2.4
S1_LINE,line>=4.5,THIN,68,58.8,5.7,24,-1.5
S2_VOLUME,LOW (<3 3PA),NEAR-MISS,856,58.1,-1.6,964,1.6
S2_VOLUME,MED (3-6 3PA),FAIL,2477,54.2,-3.8,2850,-5.0
S2_VOLUME,HIGH (>6 3PA),FAIL,1504,53.5,-4.0,1098,-9.4
S3_MINVOL,LOW (std<4),FAIL,1267,54.3,-4.5,1224,-2.2
S3_MINVOL,MED (std 4-7),FAIL,2803,55.0,-2.7,2929,-5.9
S3_MINVOL,HIGH (std>7),FAIL,767,53.8,-4.4,759,-4.2
S4_ODDS,Juiced (<-120),FAIL,2818,59.9,-5.0,3544,-8.6
S4_ODDS,Near-even (-120 to -105),FAIL,635,52.8,-0.4,415,4.8
S4_ODDS,Plus-money (>-105),FAIL,1384,44.8,-1.9,953,5.6
S5_EDGE,Small edge (0-5%),FAIL,1131,52.5,-5.6,1031,-7.0
S5_EDGE,Medium edge (5-15%),FAIL,1932,55.4,-2.5,1880,-5.8
S5_EDGE,Large edge (15%+),FAIL,1774,55.2,-3.1,2001,-2.5
S6_DISP,LOW disp (range<=0.5),FAIL,4426,54.8,-2.1,3904,-0.0
S6_DISP,HIGH disp (range>0.5),FAIL,411,53.3,-18.2,1008,-22.7
