Engine commit: ae55ebe32
Games: 1087 total, 0 done, 1087 to run
Workers: 10 (cores=11, avail_mem=7.6GB, peak_rss=321MB)
  [1/1087] 2021_01_GB_NO: 33.5s, 2 iter
  [2/1087] 2021_01_DAL_TB: 33.6s, 2 iter
  [3/1087] 2021_01_CHI_LA: 33.8s, 2 iter
  [4/1087] 2021_01_LAC_WAS: 34.1s, 2 iter
  [5/1087] 2021_01_CLE_KC: 50.1s, 3 iter
  [6/1087] 2021_01_BAL_LV: 50.6s, 3 iter
  [7/1087] 2021_01_ARI_TEN: 50.6s, 3 iter
  [8/1087] 2021_01_PHI_ATL: 33.9s, 2 iter
  [9/1087] 2021_01_JAX_HOU: 67.9s, 4 iter
  [10/1087] 2021_01_DEN_NYG: 68.0s, 4 iter
  [11/1087] 2021_01_MIA_NE: 68.9s, 4 iter
  [12/1087] 2021_01_NYJ_CAR: 51.1s, 3 iter
  [13/1087] 2021_02_DEN_JAX: 29.5s, 2 iter
  [14/1087] 2021_01_SEA_IND: 50.8s, 3 iter
  [15/1087] 2021_01_SF_DET: 50.9s, 3 iter
  [16/1087] 2021_01_MIN_CIN: 68.5s, 4 iter
  [17/1087] 2021_01_PIT_BUF: 67.9s, 4 iter
  [18/1087] 2021_02_ATL_TB: 58.9s, 4 iter
  [19/1087] 2021_02_CIN_CHI: 50.5s, 4 iter
  [20/1087] 2021_02_BUF_MIA: 56.7s, 4 iter
  [21/1087] 2021_02_DAL_LAC: 84.9s, 6 iter
  [22/1087] 2021_02_DET_GB: 69.8s, 5 iter
  [23/1087] 2021_02_LV_PIT: 54.0s, 4 iter
  [24/1087] 2021_02_MIN_ARI: 57.4s, 4 iter
  [25/1087] 2021_02_NE_NYJ: 52.0s, 4 iter
  [26/1087] 2021_02_KC_BAL: 61.0s, 5 iter
  [27/1087] 2021_02_NYG_WAS: 38.2s, 3 iter
  [28/1087] 2021_02_LA_IND: 61.3s, 5 iter
  [29/1087] 2021_02_NO_CAR: 49.9s, 4 iter
  [30/1087] 2021_02_HOU_CLE: 77.4s, 6 iter
  [31/1087] 2021_03_ARI_JAX: 45.1s, 3 iter
  [32/1087] 2021_03_BAL_DET: 41.5s, 3 iter
  [33/1087] 2021_03_ATL_NYG: 44.1s, 3 iter
  [34/1087] 2021_03_CHI_CLE: 41.9s, 3 iter
  [35/1087] 2021_03_CAR_HOU: 42.8s, 3 iter
  [36/1087] 2021_02_SF_PHI: 56.3s, 4 iter
  [37/1087] 2021_02_TEN_SEA: 60.8s, 4 iter
  [38/1087] 2021_03_CIN_PIT: 55.8s, 4 iter
  [39/1087] 2021_03_GB_SF: 56.4s, 4 iter
  [40/1087] 2021_03_IND_TEN: 53.4s, 4 iter
  [41/1087] 2021_03_LAC_KC: 44.8s, 3 iter
  [42/1087] 2021_03_NO_NE: 43.1s, 3 iter
  [43/1087] 2021_03_MIA_LV: 46.3s, 3 iter
  [44/1087] 2021_03_WAS_BUF: 31.1s, 2 iter
  [45/1087] 2021_03_PHI_DAL: 48.8s, 3 iter
  [46/1087] 2021_03_NYJ_DEN: 54.5s, 4 iter
  [47/1087] 2021_03_SEA_MIN: 59.0s, 4 iter
  [48/1087] 2021_04_BAL_DEN: 42.9s, 3 iter
  [49/1087] 2021_03_TB_LA: 61.0s, 4 iter
  [50/1087] 2021_04_ARI_LA: 61.7s, 4 iter
  [51/1087] 2021_04_CLE_MIN: 43.1s, 3 iter
  [52/1087] 2021_04_DET_CHI: 44.6s, 3 iter
  [53/1087] 2021_04_IND_MIA: 45.1s, 3 iter
  [54/1087] 2021_04_JAX_CIN: 45.9s, 3 iter
  [55/1087] 2021_04_CAR_DAL: 60.4s, 4 iter
  [56/1087] 2021_04_HOU_BUF: 62.4s, 4 iter
  [57/1087] 2021_04_KC_PHI: 49.0s, 3 iter
  [58/1087] 2021_04_LV_LAC: 46.9s, 3 iter
  [59/1087] 2021_04_NYG_NO: 44.5s, 3 iter
  [60/1087] 2021_04_PIT_GB: 46.4s, 3 iter
  [61/1087] 2021_04_SEA_SF: 49.3s, 3 iter
  [62/1087] 2021_04_TB_NE: 53.4s, 3 iter
  [63/1087] 2021_04_WAS_ATL: 53.7s, 3 iter
  [64/1087] 2021_04_TEN_NYJ: 60.7s, 4 iter
  [65/1087] 2021_05_CLE_LAC: 50.4s, 3 iter
  [66/1087] 2021_05_DET_MIN: 49.8s, 3 iter
  [67/1087] 2021_05_BUF_KC: 67.9s, 4 iter
  [68/1087] 2021_05_CHI_LV: 68.0s, 4 iter
  [69/1087] 2021_05_DEN_PIT: 64.4s, 4 iter
  [70/1087] 2021_05_GB_CIN: 60.2s, 4 iter
  [71/1087] 2021_05_MIA_TB: 34.9s, 2 iter
  [72/1087] 2021_05_LA_SEA: 48.6s, 3 iter
  [73/1087] 2021_05_IND_BAL: 61.7s, 4 iter
  [74/1087] 2021_05_NO_WAS: 33.5s, 2 iter
  [75/1087] 2021_05_PHI_CAR: 33.4s, 2 iter
  [76/1087] 2021_05_NYG_DAL: 49.5s, 3 iter
  [77/1087] 2021_05_TEN_JAX: 31.6s, 2 iter
  [78/1087] 2021_06_ARI_CLE: 32.8s, 2 iter
  [79/1087] 2021_05_NE_HOU: 68.8s, 4 iter
  [80/1087] 2021_05_SF_ARI: 49.8s, 3 iter
  [81/1087] 2021_05_NYJ_ATL: 63.6s, 4 iter
  [82/1087] 2021_06_GB_CHI: 29.4s, 2 iter
  [83/1087] 2021_06_DAL_NE: 49.6s, 3 iter
  [84/1087] 2021_06_BUF_TEN: 61.2s, 4 iter
  [85/1087] 2021_06_CIN_DET: 58.0s, 4 iter
  [86/1087] 2021_06_LA_NYG: 31.0s, 2 iter
  [87/1087] 2021_06_HOU_IND: 45.0s, 3 iter
  [88/1087] 2021_06_MIA_JAX: 31.5s, 2 iter
  [89/1087] 2021_06_KC_WAS: 47.7s, 3 iter
  [90/1087] 2021_06_LAC_BAL: 46.7s, 3 iter
  [91/1087] 2021_06_MIN_CAR: 46.3s, 3 iter
  [92/1087] 2021_07_CAR_NYG: 32.3s, 2 iter
