flag,breakdown_type,bucket,N_flagged,residual_gap,over_rate_flagged,low_sample_flag,regime_reversal_flag
HANDOFF_COLLAPSE,month,4,0,,,True,False
HANDOFF_COLLAPSE,month,5,31,0.527,0.581,False,True
HANDOFF_COLLAPSE,month,6,21,-1.943,0.286,False,False
HANDOFF_COLLAPSE,month,7,25,0.354,0.48,False,True
HANDOFF_COLLAPSE,month,8,42,-0.739,0.381,False,False
HANDOFF_COLLAPSE,line_bucket,LOW,17,-2.163,0.353,False,False
HANDOFF_COLLAPSE,line_bucket,MID,87,0.241,0.483,False,True
HANDOFF_COLLAPSE,line_bucket,HIGH,15,-1.024,0.267,False,False
DEPTH_MISMATCH,month,4,0,,,True,False
DEPTH_MISMATCH,month,5,47,0.561,0.596,False,True
DEPTH_MISMATCH,month,6,17,-0.538,0.294,False,False
DEPTH_MISMATCH,month,7,31,-0.398,0.452,False,False
DEPTH_MISMATCH,month,8,28,-1.723,0.357,False,False
DEPTH_MISMATCH,line_bucket,LOW,22,0.62,0.636,False,True
DEPTH_MISMATCH,line_bucket,MID,74,-0.228,0.459,False,False
DEPTH_MISMATCH,line_bucket,HIGH,27,-1.084,0.333,False,False
PATH_ASYMMETRY,month,4,0,,,True,False
PATH_ASYMMETRY,month,5,54,-0.882,0.426,False,False
PATH_ASYMMETRY,month,6,68,0.463,0.5,False,True
PATH_ASYMMETRY,month,7,77,-0.373,0.442,False,False
PATH_ASYMMETRY,month,8,90,-0.208,0.467,False,False
PATH_ASYMMETRY,line_bucket,LOW,73,-0.165,0.479,False,False
PATH_ASYMMETRY,line_bucket,MID,193,-0.04,0.482,False,False
PATH_ASYMMETRY,line_bucket,HIGH,23,-1.924,0.217,False,False
