signal,family,bucket,window,N_flagged,N_nonflagged,over_rate_flagged,over_rate_nonflagged,over_rate_gap,break_even_gap,p_value,p_perm,direction_consistent,data_availability_clean,disposition
A1_CLUSTERED,A,LOW_TT,discovery,176,1804,0.5625,0.4956,0.0669,0.0387,0.106,0.1004,N/A,True,TESTED
A1_CLUSTERED,A,LOW_TT,validation,67,1315,0.6418,0.4738,0.168,0.118,0.0105,0.0074,YES,True,TESTED
A1_CLUSTERED,A,LOW_TT,oos,43,644,0.5349,0.5637,-0.0288,0.0111,0.834,0.7464,NO,True,TESTED
A1_CLUSTERED,A,MID_TT,discovery,161,1508,0.4969,0.4821,0.0148,-0.0269,0.7839,0.7426,N/A,True,TESTED
A1_CLUSTERED,A,MID_TT,validation,62,1360,0.4194,0.4449,-0.0255,-0.1044,0.7914,0.7055,NO,True,TESTED
A1_CLUSTERED,A,MID_TT,oos,52,680,0.3846,0.4632,-0.0786,-0.1392,0.3409,0.3074,NO,True,TESTED
A1_CLUSTERED,A,HIGH_TT,discovery,5,22,,,,,,,N/A,True,INSUFFICIENT
A1_CLUSTERED,A,HIGH_TT,validation,3,31,,,,,,,N/A,True,INSUFFICIENT
A1_CLUSTERED,A,HIGH_TT,oos,2,19,,,,,,,N/A,True,INSUFFICIENT
A2_VOLATILE,A,LOW_TT,discovery,832,1148,0.5132,0.493,0.0202,-0.0106,0.4002,0.3869,N/A,True,TESTED
A2_VOLATILE,A,LOW_TT,validation,568,814,0.463,0.4951,-0.0321,-0.0608,0.2632,0.251,NO,True,TESTED
A2_VOLATILE,A,LOW_TT,oos,218,469,0.5367,0.5736,-0.0369,0.0129,0.4101,0.4083,NO,True,TESTED
A2_VOLATILE,A,MID_TT,discovery,480,1189,0.4917,0.4802,0.0114,-0.0321,0.7122,0.7033,N/A,True,TESTED
A2_VOLATILE,A,MID_TT,validation,429,993,0.4336,0.4481,-0.0146,-0.0902,0.6531,0.6377,NO,True,TESTED
A2_VOLATILE,A,MID_TT,oos,213,519,0.5117,0.4355,0.0763,-0.0121,0.0719,0.0614,YES,True,TESTED
A2_VOLATILE,A,HIGH_TT,discovery,7,20,,,,,,,N/A,True,INSUFFICIENT
A2_VOLATILE,A,HIGH_TT,validation,12,22,0.5833,0.4091,0.1742,0.0595,0.5397,,NO,True,THIN
A2_VOLATILE,A,HIGH_TT,oos,4,17,,,,,,,N/A,True,INSUFFICIENT
A3_FRONT_LOADED,A,LOW_TT,discovery,555,1425,0.5117,0.4975,0.0142,-0.0121,0.6057,0.578,N/A,True,TESTED
A3_FRONT_LOADED,A,LOW_TT,validation,389,993,0.455,0.4924,-0.0374,-0.0688,0.233,0.221,NO,True,TESTED
A3_FRONT_LOADED,A,LOW_TT,oos,222,465,0.5766,0.5548,0.0217,0.0528,0.6492,0.6174,YES,True,TESTED
A3_FRONT_LOADED,A,MID_TT,discovery,503,1166,0.4831,0.4837,-0.0006,-0.0407,1.0,1.0,N/A,True,TESTED
A3_FRONT_LOADED,A,MID_TT,validation,410,1012,0.4512,0.4407,0.0105,-0.0726,0.7624,0.7179,NO,True,TESTED
A3_FRONT_LOADED,A,MID_TT,oos,234,498,0.4316,0.4699,-0.0383,-0.0922,0.3738,0.3384,YES,True,TESTED
A3_FRONT_LOADED,A,HIGH_TT,discovery,11,16,0.2727,0.3125,-0.0398,-0.2511,1.0,,N/A,True,THIN
A3_FRONT_LOADED,A,HIGH_TT,validation,10,24,0.5,0.4583,0.0417,-0.0238,1.0,,NO,True,THIN
