flag,bucket,window,N_flagged,N_nonflagged,over_rate_flagged,over_rate_nonflagged,over_rate_gap,break_even_gap,p_value,p_perm,direction_consistent,data_availability_clean,disposition
PATH_ASYMMETRY,LOW_LINE,discovery,26,99,0.4615,0.6061,-0.1445,-0.0623,0.2696,0.2607,N/A,True,TESTED
PATH_ASYMMETRY,LOW_LINE,validation,97,331,0.6082,0.4924,0.1158,0.0844,0.0585,0.049,NO,True,PROMISING
PATH_ASYMMETRY,LOW_LINE,oos,77,313,0.4416,0.4473,-0.0057,-0.0822,1.0,1.0,YES,True,TESTED
PATH_ASYMMETRY,MID_LINE,discovery,186,669,0.5054,0.4948,0.0106,-0.0184,0.8626,0.8054,N/A,True,TESTED
PATH_ASYMMETRY,MID_LINE,validation,337,1093,0.5252,0.4739,0.0513,0.0014,0.113,0.1018,YES,True,TESTED
PATH_ASYMMETRY,MID_LINE,oos,312,1129,0.4583,0.496,-0.0377,-0.0655,0.265,0.2511,NO,True,TESTED
PATH_ASYMMETRY,HIGH_LINE,discovery,68,246,0.3971,0.4878,-0.0907,-0.1267,0.234,0.2239,N/A,True,TESTED
PATH_ASYMMETRY,HIGH_LINE,validation,59,157,0.4576,0.535,-0.0774,-0.0662,0.389,0.3604,YES,True,TESTED
PATH_ASYMMETRY,HIGH_LINE,oos,69,252,0.4783,0.4563,0.0219,-0.0455,0.8515,0.7893,NO,True,TESTED
HANDOFF_COLLAPSE,LOW_LINE,discovery,8,117,,,,,,,N/A,True,INSUFFICIENT
HANDOFF_COLLAPSE,LOW_LINE,validation,47,381,0.4894,0.5223,-0.0329,-0.0344,0.7858,0.7612,NO,True,TESTED
HANDOFF_COLLAPSE,LOW_LINE,oos,19,371,0.3684,0.4501,-0.0817,-0.1554,0.6439,,NO,True,THIN
HANDOFF_COLLAPSE,MID_LINE,discovery,70,785,0.5143,0.4955,0.0187,-0.0095,0.8604,0.8045,N/A,True,TESTED
HANDOFF_COLLAPSE,MID_LINE,validation,140,1290,0.5357,0.4806,0.0551,0.0119,0.2502,0.2468,YES,True,TESTED
HANDOFF_COLLAPSE,MID_LINE,oos,122,1319,0.5656,0.4807,0.0849,0.0418,0.0891,0.0895,YES,True,PROMISING
HANDOFF_COLLAPSE,HIGH_LINE,discovery,36,278,0.3333,0.4856,-0.1523,-0.1905,0.1222,0.1113,N/A,True,TESTED
HANDOFF_COLLAPSE,HIGH_LINE,validation,25,191,0.4,0.5288,-0.1288,-0.1238,0.3179,0.2966,YES,True,TESTED
HANDOFF_COLLAPSE,HIGH_LINE,oos,24,297,0.5,0.4579,0.0421,-0.0238,0.8532,0.8323,NO,True,TESTED
DEPTH_MISMATCH,LOW_LINE,discovery,6,119,,,,,,,N/A,True,INSUFFICIENT
DEPTH_MISMATCH,LOW_LINE,validation,41,387,0.6341,0.5065,0.1277,0.1103,0.164,0.143,NO,True,PROMISING
DEPTH_MISMATCH,LOW_LINE,oos,30,360,0.4,0.45,-0.05,-0.1238,0.7352,0.7066,NO,True,TESTED
DEPTH_MISMATCH,MID_LINE,discovery,74,781,0.4865,0.4981,-0.0116,-0.0373,0.945,0.9053,N/A,True,TESTED
DEPTH_MISMATCH,MID_LINE,validation,130,1300,0.4692,0.4877,-0.0185,-0.0546,0.7569,0.7011,YES,True,TESTED
DEPTH_MISMATCH,MID_LINE,oos,150,1291,0.4733,0.4895,-0.0162,-0.0505,0.7721,0.7287,YES,True,TESTED
DEPTH_MISMATCH,HIGH_LINE,discovery,39,275,0.4103,0.4764,-0.0661,-0.1135,0.5466,0.4898,N/A,True,TESTED
DEPTH_MISMATCH,HIGH_LINE,validation,17,199,0.4118,0.5226,-0.1108,-0.112,0.532,,YES,True,THIN
DEPTH_MISMATCH,HIGH_LINE,oos,48,273,0.375,0.4762,-0.1012,-0.1488,0.2543,0.2111,YES,True,TESTED
