field_name,tier,window,pit_safe
game_pk,,identity,YES
team,,identity,YES
game_date,,identity,YES
season,,identity,YES
high_lev_k_rate_last_5,HIGH,last_5,YES
high_lev_k_rate_last_10,HIGH,last_10,YES
high_lev_bb_rate_last_5,HIGH,last_5,YES
high_lev_bb_rate_last_10,HIGH,last_10,YES
high_lev_hr_rate_last_5,HIGH,last_5,YES
high_lev_hr_rate_last_10,HIGH,last_10,YES
med_lev_k_rate_last_5,MED,last_5,YES
med_lev_k_rate_last_10,MED,last_10,YES
med_lev_bb_rate_last_5,MED,last_5,YES
med_lev_bb_rate_last_10,MED,last_10,YES
low_lev_k_rate_last_5,LOW,last_5,YES
low_lev_k_rate_last_10,LOW,last_10,YES
low_lev_bb_rate_last_5,LOW,last_5,YES
low_lev_bb_rate_last_10,LOW,last_10,YES
leverage_gap_k_last_5,derived,last_5,YES
leverage_gap_k_last_10,derived,last_10,YES
leverage_gap_bb_last_5,derived,last_5,YES
leverage_gap_bb_last_10,derived,last_10,YES
high_lev_k_rate_baseline,HIGH,expanding,YES
high_lev_k_rate_drift_last_5,HIGH,last_5,YES
high_lev_bb_rate_baseline,HIGH,expanding,YES
high_lev_bb_rate_drift_last_5,HIGH,last_5,YES
