field_name,slot_group,source,pit_safe
game_pk,identity,,YES
game_date,identity,,YES
season,identity,,YES
team,identity,,YES
team_type,identity,,YES
top_order_hard_hit_rate,top_order,hard_hit_rate,YES
top_order_barrel_rate,top_order,barrel_rate,YES
top_order_avg_exit_velo,top_order,avg_exit_velo,YES
top_order_xwoba_contact,top_order,xwoba_contact,YES
top_order_coverage,top_order,coverage,YES
middle_order_hard_hit_rate,middle_order,hard_hit_rate,YES
middle_order_barrel_rate,middle_order,barrel_rate,YES
middle_order_avg_exit_velo,middle_order,avg_exit_velo,YES
middle_order_xwoba_contact,middle_order,xwoba_contact,YES
middle_order_coverage,middle_order,coverage,YES
bottom_order_hard_hit_rate,bottom_order,hard_hit_rate,YES
bottom_order_barrel_rate,bottom_order,barrel_rate,YES
bottom_order_avg_exit_velo,bottom_order,avg_exit_velo,YES
bottom_order_xwoba_contact,bottom_order,xwoba_contact,YES
bottom_order_coverage,bottom_order,coverage,YES
lineup_depth_dropoff_hh,derived,,YES
lineup_depth_dropoff_ev,derived,,YES
lineup_quality_hh,derived,,YES
lineup_quality_ev,derived,,YES
lineup_quality_xwoba,derived,,YES
lineup_coverage_overall,derived,,YES
