TEAM_ID,TEAM_NAME,FTM,FTA,FT_PCT,PF,PFD,FTM_RANK,FTA_RANK,FT_PCT_RANK,PF_RANK,PFD_RANK,season,OPP_OPP_FTM,OPP_OPP_FTA,OPP_OPP_FT_PCT,OPP_OPP_PF,OPP_OPP_PFD,OPP_OPP_FTM_RANK,OPP_OPP_FTA_RANK,OPP_OPP_FT_PCT_RANK,OPP_OPP_PF_RANK,OPP_OPP_PFD_RANK
1610612737,Atlanta Hawks,18.5,22.6,0.818,18.8,19.7,16,20,3,6,19,2022-23,18.6,23.2,0.803,19.7,18.8,18,13,30,12,25
1610612738,Boston Celtics,17.5,21.6,0.812,18.8,19.1,24,28,4,7,25,2022-23,16.2,21.1,0.769,19.1,18.8,2,4,3,6,24
1610612751,Brooklyn Nets,17.7,22.1,0.8,21.1,18.5,19,25,7,25,28,2022-23,18.7,24.4,0.767,18.5,21.1,19,23,2,3,6
1610612766,Charlotte Hornets,17.6,23.6,0.749,20.3,20.3,20,17,27,17,13,2022-23,19.0,24.0,0.795,20.3,20.3,22,19,25,18,14
1610612741,Chicago Bulls,17.6,21.8,0.809,18.9,18.7,21,26,5,8,27,2022-23,17.1,22.0,0.779,18.7,18.9,5,6,13,4,23
1610612739,Cleveland Cavaliers,17.5,22.5,0.78,19.0,20.4,23,21,19,9,10,2022-23,17.5,22.4,0.782,20.4,19.0,8,8,19,20,22
1610612742,Dallas Mavericks,19.0,25.1,0.755,20.7,21.8,12,6,23,23,1,2022-23,19.5,25.0,0.781,21.8,20.7,25,24,15,30,8
1610612743,Denver Nuggets,16.8,22.4,0.751,18.6,19.5,27,24,26,4,23,2022-23,17.6,22.7,0.775,19.5,18.6,9,9,9,8,27
1610612765,Detroit Pistons,19.8,25.7,0.771,22.1,21.0,4,2,21,30,3,2022-23,20.4,26.2,0.777,21.0,22.1,29,30,12,28,1
1610612744,Golden State Warriors,16.0,20.2,0.794,21.4,18.4,29,30,9,28,30,2022-23,19.4,25.2,0.769,18.4,21.4,24,25,4,1,3
1610612745,Houston Rockets,19.1,25.3,0.754,20.5,20.6,10,4,25,21,6,2022-23,19.2,24.2,0.794,20.6,20.5,23,21,24,25,9
1610612754,Indiana Pacers,18.7,23.7,0.79,21.2,20.2,14,14,13,27,14,2022-23,20.5,25.6,0.8,20.2,21.2,30,27,29,17,4
1610612746,LA Clippers,18.7,23.9,0.781,19.5,19.6,15,11,18,10,21,2022-23,17.2,22.3,0.771,19.6,19.5,6,7,7,10,21
1610612747,Los Angeles Lakers,20.6,26.6,0.775,17.9,21.5,2,1,20,1,2,2022-23,16.1,20.8,0.773,21.5,17.9,1,1,8,29,30
1610612763,Memphis Grizzlies,17.5,23.8,0.733,20.0,20.0,25,13,30,14,16,2022-23,18.5,23.5,0.787,20.0,20.0,16,14,22,15,16
1610612748,Miami Heat,19.1,23.0,0.831,18.5,20.0,10,19,2,3,17,2022-23,16.5,21.1,0.781,20.0,18.5,4,3,16,14,28
1610612749,Milwaukee Bucks,16.6,22.4,0.743,18.1,19.0,28,23,29,2,26,2022-23,16.3,21.0,0.776,19.0,18.1,3,2,10,5,29
1610612750,Minnesota Timberwolves,17.9,23.7,0.755,21.6,20.2,18,16,24,29,15,2022-23,19.9,26.0,0.766,20.2,21.6,27,29,1,16,2
1610612740,New Orleans Pelicans,19.3,24.4,0.793,20.5,20.4,8,10,11,20,12,2022-23,18.4,23.6,0.779,20.4,20.5,13,15,14,19,11
1610612752,New York Knicks,19.4,25.5,0.761,20.3,20.7,7,3,22,18,5,2022-23,18.5,23.7,0.782,20.7,20.3,17,17,18,26,13
1610612760,Oklahoma City Thunder,19.2,23.7,0.809,21.0,20.4,9,14,6,24,10,2022-23,19.6,25.5,0.771,20.4,21.0,26,26,6,20,7
1610612753,Orlando Magic,19.6,25.0,0.784,20.1,20.5,6,8,16,16,7,2022-23,18.3,23.0,0.796,20.5,20.1,12,11,26,24,15
1610612755,Philadelphia 76ers,21.0,25.1,0.835,20.4,19.6,1,5,1,19,20,2022-23,18.5,23.7,0.781,19.6,20.4,15,17,17,11,12
1610612756,Phoenix Suns,17.2,21.7,0.793,21.2,19.9,26,27,10,26,18,2022-23,20.1,25.6,0.786,19.9,21.2,28,28,20,13,5
1610612757,Portland Trail Blazers,19.6,24.6,0.796,20.0,20.5,5,9,8,14,8,2022-23,19.0,24.1,0.787,20.5,20.0,21,20,21,22,16
1610612758,Sacramento Kings,19.8,25.1,0.79,19.7,20.9,3,7,12,11,4,2022-23,18.1,23.0,0.787,20.9,19.7,10,10,23,27,20
