TEAM_ID,TEAM_NAME,GP,season,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,82,2022-23,17.0,14.3,13.4,54.3,15.7,14.1,15.4,54.7,16,9,18,7,9,20,26,29
1610612738,Boston Celtics,82,2022-23,15.9,12.7,14.0,46.4,15.4,12.7,13.2,48.9,22,22,15,23,5,7,10,9
1610612751,Brooklyn Nets,82,2022-23,16.4,11.0,14.7,44.0,16.8,14.6,13.3,50.1,17,28,8,29,15,25,12,15
1610612766,Charlotte Hornets,82,2022-23,17.3,14.2,15.3,53.0,16.9,14.3,12.2,52.8,13,12,6,11,16,21,3,22
1610612741,Chicago Bulls,82,2022-23,18.3,10.6,14.0,48.4,15.6,11.9,12.9,46.9,4,30,15,19,7,2,7,4
1610612739,Cleveland Cavaliers,82,2022-23,19.4,12.5,12.7,52.8,15.5,12.1,12.7,46.3,3,23,24,13,6,4,6,3
1610612742,Dallas Mavericks,82,2022-23,16.0,10.9,11.0,42.8,15.0,14.5,13.3,51.1,20,29,29,30,3,23,11,18
1610612743,Denver Nuggets,82,2022-23,15.9,13.0,16.2,55.0,17.4,13.4,13.7,52.5,22,20,5,4,19,14,14,21
1610612765,Detroit Pistons,82,2022-23,16.0,14.9,11.7,46.5,18.1,14.8,13.5,54.0,21,7,27,22,23,27,13,28
1610612744,Golden State Warriors,82,2022-23,17.6,13.6,14.5,44.9,19.4,13.3,14.1,49.8,10,16,13,28,29,9,18,14
1610612745,Houston Rockets,82,2022-23,15.6,16.7,12.9,54.9,20.6,13.0,17.5,49.0,26,1,20,5,30,8,30,10
1610612754,Indiana Pacers,82,2022-23,17.2,13.7,18.1,49.6,18.4,15.4,15.0,53.7,14,15,1,18,26,29,22,27
1610612746,LA Clippers,82,2022-23,16.0,11.8,12.9,45.5,18.1,13.3,14.6,51.1,19,26,21,27,23,11,21,19
1610612747,Los Angeles Lakers,82,2022-23,14.0,13.5,16.7,54.5,17.0,13.9,15.4,52.8,29,17,4,6,17,19,27,23
1610612763,Memphis Grizzlies,82,2022-23,17.7,15.3,18.0,58.4,15.6,14.5,13.8,47.5,8,6,2,1,8,24,16,5
1610612748,Miami Heat,82,2022-23,18.2,12.9,11.5,46.4,15.9,12.0,12.5,46.2,6,21,28,24,10,3,4,2
1610612749,Milwaukee Bucks,82,2022-23,13.7,14.3,13.1,46.0,16.5,13.4,13.0,49.6,30,9,19,26,13,12,8,13
1610612750,Minnesota Timberwolves,82,2022-23,18.0,12.3,14.7,54.3,17.7,13.7,14.4,50.8,7,24,8,7,20,17,20,17
1610612740,New Orleans Pelicans,82,2022-23,18.2,13.8,14.7,53.4,18.0,13.4,13.9,49.5,5,14,11,9,22,13,17,12
1610612752,New York Knicks,82,2022-23,15.6,16.2,12.8,52.1,15.3,13.3,12.7,45.9,25,3,22,15,4,10,5,1
1610612760,Oklahoma City Thunder,82,2022-23,20.6,13.9,14.6,55.2,14.8,15.5,11.9,50.7,2,13,12,3,2,30,2,16
1610612753,Orlando Magic,82,2022-23,17.5,14.2,12.8,50.0,18.2,13.5,14.4,47.6,12,11,23,17,25,15,19,6
1610612755,Philadelphia 76ers,82,2022-23,17.7,11.3,14.7,47.9,16.5,12.7,15.5,48.1,9,27,8,20,14,5,28,7
1610612756,Phoenix Suns,82,2022-23,17.1,14.8,10.5,46.0,16.1,13.9,13.2,48.6,15,8,30,25,11,18,9,8
1610612757,Portland Trail Blazers,82,2022-23,16.3,11.8,14.2,47.7,17.8,13.6,15.3,53.3,18,25,14,21,21,16,24,25
1610612758,Sacramento Kings,82,2022-23,17.6,13.3,14.9,52.3,16.3,12.7,11.5,53.5,11,19,7,14,12,6,1,26
1610612759,San Antonio Spurs,82,2022-23,15.8,15.8,13.5,55.6,19.0,14.7,15.3,56.7,24,5,17,2,28,26,24,30
