team,season,second_chance_points,opp_second_chance_points_allowed
Atlanta Hawks,2022-23,14.3,14.1
Boston Celtics,2022-23,12.7,12.7
Brooklyn Nets,2022-23,11.0,14.6
Charlotte Hornets,2022-23,14.2,14.3
Chicago Bulls,2022-23,10.6,11.9
Cleveland Cavaliers,2022-23,12.5,12.1
Dallas Mavericks,2022-23,10.9,14.5
Denver Nuggets,2022-23,13.0,13.4
Detroit Pistons,2022-23,14.9,14.8
Golden State Warriors,2022-23,13.6,13.3
Houston Rockets,2022-23,16.7,13.0
Indiana Pacers,2022-23,13.7,15.4
LA Clippers,2022-23,11.8,13.3
Los Angeles Lakers,2022-23,13.5,13.9
Memphis Grizzlies,2022-23,15.3,14.5
Miami Heat,2022-23,12.9,12.0
Milwaukee Bucks,2022-23,14.3,13.4
Minnesota Timberwolves,2022-23,12.3,13.7
New Orleans Pelicans,2022-23,13.8,13.4
New York Knicks,2022-23,16.2,13.3
Oklahoma City Thunder,2022-23,13.9,15.5
Orlando Magic,2022-23,14.2,13.5
Philadelphia 76ers,2022-23,11.3,12.7
Phoenix Suns,2022-23,14.8,13.9
Portland Trail Blazers,2022-23,11.8,13.6
Sacramento Kings,2022-23,13.3,12.7
San Antonio Spurs,2022-23,15.8,14.7
Toronto Raptors,2022-23,16.4,11.4
Utah Jazz,2022-23,15.9,15.2
Washington Wizards,2022-23,13.4,14.3
Atlanta Hawks,2023-24,15.8,13.7
Boston Celtics,2023-24,14.5,13.6
Brooklyn Nets,2023-24,14.3,14.0
Charlotte Hornets,2023-24,12.1,14.1
Chicago Bulls,2023-24,13.6,13.8
Cleveland Cavaliers,2023-24,13.6,12.9
Dallas Mavericks,2023-24,13.4,14.3
Denver Nuggets,2023-24,13.6,13.2
Detroit Pistons,2023-24,13.2,13.9
Golden State Warriors,2023-24,15.7,13.4
Houston Rockets,2023-24,14.6,13.8
Indiana Pacers,2023-24,14.9,14.8
LA Clippers,2023-24,12.7,14.0
Los Angeles Lakers,2023-24,10.5,14.9
Memphis Grizzlies,2023-24,13.4,14.0
Miami Heat,2023-24,11.5,13.2
Milwaukee Bucks,2023-24,13.1,13.7
Minnesota Timberwolves,2023-24,13.5,12.7
New Orleans Pelicans,2023-24,14.0,12.8
New York Knicks,2023-24,16.3,12.3
Oklahoma City Thunder,2023-24,11.8,15.3
Orlando Magic,2023-24,14.4,12.1
Philadelphia 76ers,2023-24,15.0,13.6
Phoenix Suns,2023-24,12.9,14.0
Portland Trail Blazers,2023-24,16.1,14.2
Sacramento Kings,2023-24,14.6,10.9
San Antonio Spurs,2023-24,12.7,14.2
Toronto Raptors,2023-24,13.9,15.6
Utah Jazz,2023-24,16.5,14.4
Washington Wizards,2023-24,11.4,16.4
Atlanta Hawks,2024-25,14.6,13.7
Boston Celtics,2024-25,14.2,12.8
Brooklyn Nets,2024-25,13.0,13.3
Charlotte Hornets,2024-25,16.3,13.6
Chicago Bulls,2024-25,13.0,14.9
Cleveland Cavaliers,2024-25,13.9,14.0
Dallas Mavericks,2024-25,13.8,15.3
Denver Nuggets,2024-25,14.4,14.8
Detroit Pistons,2024-25,14.9,14.5
Golden State Warriors,2024-25,15.6,12.8
Houston Rockets,2024-25,18.1,13.7
Indiana Pacers,2024-25,11.2,13.8
LA Clippers,2024-25,12.9,12.3
Los Angeles Lakers,2024-25,12.3,14.5
Memphis Grizzlies,2024-25,16.3,14.9
Miami Heat,2024-25,12.0,12.9
Milwaukee Bucks,2024-25,11.5,13.6
Minnesota Timberwolves,2024-25,15.1,13.5
New Orleans Pelicans,2024-25,15.6,16.2
New York Knicks,2024-25,14.3,12.8
Oklahoma City Thunder,2024-25,14.8,15.0
Orlando Magic,2024-25,14.0,11.9
Philadelphia 76ers,2024-25,13.0,15.1
Phoenix Suns,2024-25,12.4,14.0
Portland Trail Blazers,2024-25,16.6,14.7
Sacramento Kings,2024-25,14.4,13.1
San Antonio Spurs,2024-25,12.6,15.8
Toronto Raptors,2024-25,15.6,14.7
Utah Jazz,2024-25,14.9,15.7
Washington Wizards,2024-25,12.9,16.3
