team,season,fastbreak_points,opp_fastbreak_points_allowed,pts_off_turnovers,opp_pts_off_turnovers,paint_points,opp_paint_points_allowed,net_transition_points
Atlanta Hawks,2022-23,13.4,15.4,17.0,15.7,54.3,54.7,-2.0
Boston Celtics,2022-23,14.0,13.2,15.9,15.4,46.4,48.9,0.8000000000000007
Brooklyn Nets,2022-23,14.7,13.3,16.4,16.8,44.0,50.1,1.3999999999999986
Charlotte Hornets,2022-23,15.3,12.2,17.3,16.9,53.0,52.8,3.1000000000000014
Chicago Bulls,2022-23,14.0,12.9,18.3,15.6,48.4,46.9,1.0999999999999996
Cleveland Cavaliers,2022-23,12.7,12.7,19.4,15.5,52.8,46.3,0.0
Dallas Mavericks,2022-23,11.0,13.3,16.0,15.0,42.8,51.1,-2.3000000000000007
Denver Nuggets,2022-23,16.2,13.7,15.9,17.4,55.0,52.5,2.5
Detroit Pistons,2022-23,11.7,13.5,16.0,18.1,46.5,54.0,-1.8000000000000007
Golden State Warriors,2022-23,14.5,14.1,17.6,19.4,44.9,49.8,0.40000000000000036
Houston Rockets,2022-23,12.9,17.5,15.6,20.6,54.9,49.0,-4.6
Indiana Pacers,2022-23,18.1,15.0,17.2,18.4,49.6,53.7,3.1000000000000014
LA Clippers,2022-23,12.9,14.6,16.0,18.1,45.5,51.1,-1.6999999999999993
Los Angeles Lakers,2022-23,16.7,15.4,14.0,17.0,54.5,52.8,1.299999999999999
Memphis Grizzlies,2022-23,18.0,13.8,17.7,15.6,58.4,47.5,4.199999999999999
Miami Heat,2022-23,11.5,12.5,18.2,15.9,46.4,46.2,-1.0
Milwaukee Bucks,2022-23,13.1,13.0,13.7,16.5,46.0,49.6,0.09999999999999964
Minnesota Timberwolves,2022-23,14.7,14.4,18.0,17.7,54.3,50.8,0.29999999999999893
New Orleans Pelicans,2022-23,14.7,13.9,18.2,18.0,53.4,49.5,0.7999999999999989
New York Knicks,2022-23,12.8,12.7,15.6,15.3,52.1,45.9,0.10000000000000142
Oklahoma City Thunder,2022-23,14.6,11.9,20.6,14.8,55.2,50.7,2.6999999999999993
Orlando Magic,2022-23,12.8,14.4,17.5,18.2,50.0,47.6,-1.5999999999999996
Philadelphia 76ers,2022-23,14.7,15.5,17.7,16.5,47.9,48.1,-0.8000000000000007
Phoenix Suns,2022-23,10.5,13.2,17.1,16.1,46.0,48.6,-2.6999999999999993
Portland Trail Blazers,2022-23,14.2,15.3,16.3,17.8,47.7,53.3,-1.1000000000000014
Sacramento Kings,2022-23,14.9,11.5,17.6,16.3,52.3,53.5,3.4000000000000004
San Antonio Spurs,2022-23,13.5,15.3,15.8,19.0,55.6,56.7,-1.8000000000000007
Toronto Raptors,2022-23,17.8,15.1,21.0,14.5,52.9,49.1,2.700000000000001
Utah Jazz,2022-23,12.0,16.8,15.3,18.7,53.1,53.0,-4.800000000000001
Washington Wizards,2022-23,11.9,13.7,14.8,17.0,51.2,51.5,-1.799999999999999
Atlanta Hawks,2023-24,13.4,16.6,17.1,16.7,50.2,53.7,-3.200000000000001
Boston Celtics,2023-24,15.3,13.0,15.5,13.3,47.0,47.7,2.3000000000000007
Brooklyn Nets,2023-24,13.3,15.6,14.9,15.4,47.6,48.3,-2.299999999999999
Charlotte Hornets,2023-24,12.5,13.8,15.2,17.1,47.9,52.5,-1.3000000000000007
Chicago Bulls,2023-24,12.5,13.3,17.2,15.2,48.4,45.4,-0.8000000000000007
Cleveland Cavaliers,2023-24,14.8,14.3,16.6,17.4,50.1,46.5,0.5
Dallas Mavericks,2023-24,15.8,15.7,16.5,15.1,47.4,51.0,0.10000000000000142
Denver Nuggets,2023-24,14.3,13.5,15.5,15.9,53.5,50.3,0.8000000000000007
Detroit Pistons,2023-24,14.3,14.2,14.5,19.6,50.0,54.5,0.10000000000000142
Golden State Warriors,2023-24,12.4,14.9,16.1,17.2,48.6,49.7,-2.5
Houston Rockets,2023-24,15.8,11.7,16.4,14.9,50.0,48.7,4.100000000000001
Indiana Pacers,2023-24,16.6,13.7,17.7,15.8,57.9,58.4,2.900000000000002
LA Clippers,2023-24,14.8,14.9,16.2,15.7,50.4,49.7,-0.09999999999999964
Los Angeles Lakers,2023-24,17.0,16.2,16.3,17.0,55.6,51.3,0.8000000000000007
Memphis Grizzlies,2023-24,11.6,15.1,17.4,18.5,46.0,48.1,-3.5
Miami Heat,2023-24,12.8,13.0,16.5,15.8,47.2,46.4,-0.1999999999999993
Milwaukee Bucks,2023-24,12.7,13.6,14.5,15.0,47.2,51.0,-0.9000000000000004
Minnesota Timberwolves,2023-24,12.4,13.2,17.0,16.3,50.8,46.1,-0.7999999999999989
New Orleans Pelicans,2023-24,15.1,13.6,17.6,15.6,51.3,46.6,1.5
New York Knicks,2023-24,14.7,13.8,16.7,14.9,48.9,46.9,0.8999999999999986
Oklahoma City Thunder,2023-24,15.8,12.5,20.5,14.8,52.5,47.0,3.3000000000000007
Orlando Magic,2023-24,12.4,14.5,18.6,16.4,51.8,47.5,-2.0999999999999996
Philadelphia 76ers,2023-24,15.8,15.4,17.7,14.4,50.3,50.1,0.40000000000000036
Phoenix Suns,2023-24,13.3,14.4,15.8,18.2,46.9,49.7,-1.0999999999999996
Portland Trail Blazers,2023-24,12.7,17.0,15.8,19.1,46.9,53.5,-4.300000000000001
Sacramento Kings,2023-24,14.3,11.8,16.5,16.5,50.9,48.9,2.5
San Antonio Spurs,2023-24,15.6,14.5,15.4,18.6,51.4,54.8,1.0999999999999996
Toronto Raptors,2023-24,18.7,14.5,16.2,17.2,54.0,54.3,4.199999999999999
Utah Jazz,2023-24,13.8,18.4,14.9,19.3,53.3,51.8,-4.599999999999998
Washington Wizards,2023-24,17.6,15.1,17.2,17.1,54.8,58.4,2.5000000000000018
Atlanta Hawks,2024-25,17.2,16.5,19.1,19.3,55.2,50.5,0.6999999999999993
Boston Celtics,2024-25,11.9,13.6,15.5,13.2,41.2,46.2,-1.6999999999999993
Brooklyn Nets,2024-25,14.3,16.1,17.1,19.0,43.5,49.6,-1.8000000000000007
Charlotte Hornets,2024-25,11.8,16.6,14.7,19.5,45.0,47.9,-4.800000000000001
Chicago Bulls,2024-25,18.5,14.6,15.4,18.1,50.8,54.0,3.9000000000000004
Cleveland Cavaliers,2024-25,14.9,15.3,18.9,15.9,51.3,47.2,-0.40000000000000036
Dallas Mavericks,2024-25,15.1,15.5,17.0,17.3,51.0,52.8,-0.40000000000000036
Denver Nuggets,2024-25,20.1,16.6,16.9,17.8,58.5,51.1,3.5
Detroit Pistons,2024-25,18.5,14.5,19.0,17.8,52.9,46.3,4.0
Golden State Warriors,2024-25,14.5,14.2,19.7,16.4,44.9,45.7,0.3000000000000007
Houston Rockets,2024-25,17.0,13.8,17.6,15.8,51.5,49.8,3.1999999999999993
Indiana Pacers,2024-25,17.5,13.2,18.3,15.9,51.0,51.8,4.300000000000001
LA Clippers,2024-25,15.7,15.1,19.3,17.4,51.4,46.5,0.5999999999999996
Los Angeles Lakers,2024-25,15.1,16.9,16.3,16.9,48.1,49.4,-1.799999999999999
Memphis Grizzlies,2024-25,16.7,16.5,18.5,19.7,56.0,48.2,0.1999999999999993
Miami Heat,2024-25,14.3,15.2,16.4,16.4,47.1,48.9,-0.8999999999999986
Milwaukee Bucks,2024-25,13.5,15.2,15.5,16.8,44.3,47.0,-1.6999999999999993
Minnesota Timberwolves,2024-25,13.6,14.2,17.6,17.4,47.2,48.0,-0.5999999999999996
New Orleans Pelicans,2024-25,16.4,18.0,16.5,18.9,49.9,52.3,-1.6000000000000014
New York Knicks,2024-25,15.7,14.5,19.4,15.7,52.5,50.2,1.1999999999999993
Oklahoma City Thunder,2024-25,16.1,12.3,21.8,12.7,51.1,42.5,3.8000000000000007
Orlando Magic,2024-25,13.8,13.9,19.0,17.3,45.8,45.7,-0.09999999999999964
Philadelphia 76ers,2024-25,15.7,16.1,18.6,16.8,46.8,50.5,-0.40000000000000213
Phoenix Suns,2024-25,12.7,17.1,15.7,17.9,42.2,49.4,-4.400000000000002
Portland Trail Blazers,2024-25,15.8,17.5,17.8,19.2,48.9,48.5,-1.6999999999999993
Sacramento Kings,2024-25,14.3,13.3,17.4,16.7,48.0,47.4,1.0
San Antonio Spurs,2024-25,16.2,15.5,17.1,17.4,47.9,50.5,0.6999999999999993
Toronto Raptors,2024-25,18.1,16.2,18.5,18.3,53.4,49.9,1.9000000000000021
Utah Jazz,2024-25,14.0,19.4,13.4,21.8,47.9,52.4,-5.399999999999999
Washington Wizards,2024-25,16.0,17.4,15.1,19.7,46.2,51.4,-1.3999999999999986
