column_name,classification,reason
game_pk,EXCLUDED,identifier or outcome
date,EXCLUDED,identifier or outcome
season,EXCLUDED,identifier or outcome
game_number,EXCLUDED,identifier or outcome
team,EXCLUDED,identifier or outcome
opponent_team,EXCLUDED,identifier or outcome
home_away,EXCLUDED,identifier or outcome
home_team,EXCLUDED,identifier or outcome
away_team,EXCLUDED,identifier or outcome
opp_starter_id,EXCLUDED,identifier or outcome
opp_starter_name,EXCLUDED,identifier or outcome
n_batters,EXCLUDED,identifier or outcome
sc_batter_count,EXCLUDED,identifier or outcome
sc_total_bip,EXCLUDED,identifier or outcome
total_pa,EXCLUDED,identifier or outcome
opp_sp_sc_enriched,EXCLUDED,identifier or outcome
contact_ev_last_7,SAFE_FEATURE,PIT-safe pregame
contact_ev_last_10,SAFE_FEATURE,PIT-safe pregame
contact_ev_last_15,SAFE_FEATURE,PIT-safe pregame
contact_ev_last_20,SAFE_FEATURE,PIT-safe pregame
contact_hh_rate_last_7,SAFE_FEATURE,PIT-safe pregame
contact_hh_rate_last_10,SAFE_FEATURE,PIT-safe pregame
contact_hh_rate_last_15,SAFE_FEATURE,PIT-safe pregame
contact_hh_rate_last_20,SAFE_FEATURE,PIT-safe pregame
contact_barrel_rate_last_7,SAFE_FEATURE,PIT-safe pregame
contact_barrel_rate_last_10,SAFE_FEATURE,PIT-safe pregame
contact_barrel_rate_last_15,SAFE_FEATURE,PIT-safe pregame
contact_barrel_rate_last_20,SAFE_FEATURE,PIT-safe pregame
contact_la_last_7,SAFE_FEATURE,PIT-safe pregame
contact_la_last_10,SAFE_FEATURE,PIT-safe pregame
contact_la_last_15,SAFE_FEATURE,PIT-safe pregame
contact_la_last_20,SAFE_FEATURE,PIT-safe pregame
contact_xwoba_last_7,SAFE_FEATURE,PIT-safe pregame
contact_xwoba_last_10,SAFE_FEATURE,PIT-safe pregame
contact_xwoba_last_15,SAFE_FEATURE,PIT-safe pregame
contact_xwoba_last_20,SAFE_FEATURE,PIT-safe pregame
contact_xba_last_7,SAFE_FEATURE,PIT-safe pregame
contact_xba_last_10,SAFE_FEATURE,PIT-safe pregame
contact_xba_last_15,SAFE_FEATURE,PIT-safe pregame
contact_xba_last_20,SAFE_FEATURE,PIT-safe pregame
contact_xslg_last_7,SAFE_FEATURE,PIT-safe pregame
contact_xslg_last_10,SAFE_FEATURE,PIT-safe pregame
contact_xslg_last_15,SAFE_FEATURE,PIT-safe pregame
contact_xslg_last_20,SAFE_FEATURE,PIT-safe pregame
plate_bb_rate_last_7,SAFE_FEATURE,PIT-safe pregame
plate_bb_rate_last_10,SAFE_FEATURE,PIT-safe pregame
plate_bb_rate_last_15,SAFE_FEATURE,PIT-safe pregame
plate_bb_rate_last_20,SAFE_FEATURE,PIT-safe pregame
plate_k_rate_last_7,SAFE_FEATURE,PIT-safe pregame
plate_k_rate_last_10,SAFE_FEATURE,PIT-safe pregame
plate_k_rate_last_15,SAFE_FEATURE,PIT-safe pregame
plate_k_rate_last_20,SAFE_FEATURE,PIT-safe pregame
damage_iso_last_7,SAFE_FEATURE,PIT-safe pregame
damage_iso_last_10,SAFE_FEATURE,PIT-safe pregame
damage_iso_last_15,SAFE_FEATURE,PIT-safe pregame
damage_iso_last_20,SAFE_FEATURE,PIT-safe pregame
damage_hr_rate_last_7,SAFE_FEATURE,PIT-safe pregame
damage_hr_rate_last_10,SAFE_FEATURE,PIT-safe pregame
damage_hr_rate_last_15,SAFE_FEATURE,PIT-safe pregame
damage_hr_rate_last_20,SAFE_FEATURE,PIT-safe pregame
relievers_used_last_game,SAFE_FEATURE,PIT-safe pregame
relievers_used_last_3_games,SAFE_FEATURE,PIT-safe pregame
bullpen_pitches_last_game,SAFE_FEATURE,PIT-safe pregame
bullpen_pitches_last_3_games,SAFE_FEATURE,PIT-safe pregame
high_leverage_available,SAFE_FEATURE,PIT-safe pregame
opp_sp_batmiss_k_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_batmiss_k_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_batmiss_k_rate_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_batmiss_whiff_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_batmiss_whiff_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_batmiss_whiff_rate_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_command_bb_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_command_bb_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_command_bb_rate_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_command_zone_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_command_zone_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_command_zone_rate_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_hh_allowed_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_hh_allowed_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_hh_allowed_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_barrel_allowed_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_barrel_allowed_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_barrel_allowed_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_ev_allowed_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_ev_allowed_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_ev_allowed_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_la_allowed_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_contact_la_allowed_last_5,SAFE_FEATURE,PIT-safe pregame
