feature,up_z,down_z,n_flagged,priced_proxy_flag
opp_sp_batmiss_k_rate_last_5_L,2.986,-2.609,595,False
opp_sp_command_bb_rate_last_5_H,2.883,-1.902,595,False
opp_sp_batmiss_k_rate_last_3_L,2.604,-1.58,635,False
opp_sp_batmiss_whiff_rate_last_5_L,2.569,-1.319,586,False
temperature_H,2.318,-3.708,723,True
opp_sp_batmiss_k_rate_last_10_L,2.308,-3.029,519,False
bullpen_pitches_last_game_H,2.167,0.18,740,False
damage_hr_rate_last_20_L,2.075,-0.121,674,False
opp_sp_damage_hr_rate_last_5_L,2.058,-1.7,595,False
opp_sp_batmiss_whiff_rate_last_3_L,1.981,-0.934,622,False
opp_sp_workload_ppbf_last_10_L,1.867,-1.407,519,False
plate_k_rate_last_20_L,1.784,0.069,674,False
opp_sp_workload_ppbf_last_3_L,1.706,-0.504,635,False
opp_sp_batmiss_whiff_rate_last_10_L,1.682,-2.156,508,False
opp_sp_command_bb_rate_last_10_H,1.646,-1.948,519,False
opp_pl_pfx_z_std_last_5_L,1.554,-1.884,542,False
opp_pl_pfx_z_std_last_3_L,1.474,-1.997,579,False
opp_pl_two_strike_ff_pct_last_3_L,1.474,-0.871,579,False
opp_sp_damage_hr_rate_last_10_L,1.425,-0.975,519,False
damage_iso_last_20_L,1.397,-1.354,674,False
opp_sp_command_bb_rate_last_3_H,1.306,-1.677,635,False
opp_pl_secondary_pitch_pct_last_3_L,1.265,-0.563,579,False
opp_pl_two_strike_ff_pct_last_5_L,1.23,-0.826,542,False
opp_pl_secondary_pitch_pct_last_5_L,1.23,-0.72,542,False
contact_ev_last_7_L,1.206,-0.865,703,False
batting_hard_hit_rate_last_1_H,1.195,0.323,723,False
opp_sp_workload_bf_last_3_H,1.162,-0.627,715,False
opp_pl_pfx_z_mean_last_3_H,1.161,-0.768,579,False
plate_k_rate_last_15_L,1.16,0.78,681,False
low_lev_bb_rate_last_5_H,1.142,-0.743,334,False
opp_pl_two_strike_ff_pct_last_5_H,1.122,0.021,542,False
opp_sp_workload_ip_last_5_L,1.106,-1.315,601,False
opp_pl_ff_pct_last_3_L,1.056,-1.075,579,False
opp_pl_primary_pitch_pct_last_5_H,1.014,-0.508,542,False
opp_pl_ff_pct_last_5_L,1.014,-1.143,542,False
opp_sp_contact_la_allowed_last_5_L,1.011,-0.2,586,False
med_lev_k_rate_last_5_L,0.993,-0.208,373,False
damage_hr_rate_last_15_L,0.968,0.12,681,False
contact_la_last_15_L,0.968,0.592,681,False
batting_avg_exit_velo_last_1_H,0.953,-0.556,721,False
opp_sp_damage_hits_per_bf_last_5_L,0.924,-2.407,595,False
low_lev_k_rate_last_5_H,0.919,-0.689,337,False
contact_la_last_20_L,0.912,0.069,674,False
opp_pl_zone_rate_last_5_H,0.906,-0.72,542,False
opp_pl_ff_pct_last_5_H,0.906,-0.085,542,False
opp_pl_velo_std_last_5_H,0.906,-0.191,542,False
opp_pl_chase_rate_last_5_L,0.906,-0.72,542,False
batting_barrel_rate_last_5_H,0.899,-1.899,714,False
opp_sp_contact_la_allowed_last_3_L,0.872,-0.539,622,False
opp_sp_workload_pitches_last_5_L,0.861,-1.255,598,False
opp_pl_primary_mix_drift_last_3_H,0.847,-0.973,579,False
opp_pl_spin_ff_mean_last_5_L,0.823,-0.933,482,False
contact_la_last_10_L,0.81,-0.041,694,False
opp_pl_velo_std_last_5_L,0.798,-1.037,542,False
opp_pl_two_strike_secondary_pct_last_5_L,0.798,0.021,542,False
opp_pl_heart_rate_season_baseline_H,0.792,0.569,621,False
opp_sp_contact_la_allowed_last_10_L,0.789,-0.517,508,False
opp_pl_velo_std_last_3_L,0.743,-0.563,579,False
opp_pl_two_strike_secondary_pct_last_3_L,0.743,0.665,579,False
contact_la_last_7_L,0.732,-0.215,703,False
contact_barrel_rate_last_7_L,0.732,0.529,703,False
opp_pl_velo_drift_last_5_H,0.709,-0.035,482,False
opp_sp_command_zone_rate_last_5_L,0.699,0.004,586,False
opp_sp_contact_barrel_allowed_last_5_L,0.699,-0.607,586,False
