features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_status,val_attenuation,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_status,oos_attenuation,synthetic_roi,real_roi,games_per_season
home_sp_CLUSTERED × relievers_used_last_game_HIGH,home_sp_CLUSTERED,relievers_used_last_game_HIGH,2,35,-2.2568823933518685,-1.2714285714285714,-0.24768530723049922,-1.3491716361487527,-3.1401751491309025,3,3,UNDER,PLAUSIBLE,87,1.83811041993352,1.2701149425287357,OVER,False,DEAD,,,,,,,,,,,
home_sp_CLUSTERED × opp_sp_contact_la_allowed_last_3_LOW,home_sp_CLUSTERED,opp_sp_contact_la_allowed_last_3_LOW,2,33,2.246780195731621,2.227272727272727,-0.24768530723049922,-0.7295154825169381,2.356822274972468,4,3,OVER,PLAUSIBLE,62,2.423487590274247,1.7419354838709677,OVER,True,PASS,-7.86491686540279,28.0,-0.7386517785717629,-0.26785714285714285,UNDER,False,DEAD,,,,
home_sp_DISPERSED × park_factor_runs_HIGH,home_sp_DISPERSED,park_factor_runs_HIGH,2,38,-2.322447968856161,-1.25,-1.5411873568584231,-0.19848441207391893,-2.0450895146843178,3,3,UNDER,PLAUSIBLE,41,0.507824281116502,0.7682926829268293,OVER,False,DEAD,,,,,,,,,,,
home_sp_DISPERSED × park_factor_hr_HIGH,home_sp_DISPERSED,park_factor_hr_HIGH,2,38,-2.322447968856161,-1.25,-1.5411873568584231,-0.19848441207391893,-2.0450895146843178,3,3,UNDER,PLAUSIBLE,41,0.507824281116502,0.7682926829268293,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × away_bp_USAGE_STRESSED,home_sp_FRONT_LOADED,away_bp_USAGE_STRESSED,2,64,-2.1169092520571318,-0.7421875,-0.29090941337666915,-0.770190354882188,-2.3043561102631753,3,3,UNDER,PLAUSIBLE,109,-0.64967060456467,0.1651376146788991,UNDER,True,WEAK,69.31041782101218,132.0,0.88122907472051,0.7045454545454546,OVER,False,DEAD,,,,
home_sp_FRONT_LOADED × opp_sp_contact_la_allowed_last_10_HIGH,home_sp_FRONT_LOADED,opp_sp_contact_la_allowed_last_10_HIGH,2,86,2.0900841078630537,1.4767441860465116,-0.29090941337666915,1.7199797378169484,2.0986068649531386,3,4,OVER,PLAUSIBLE,171,-1.239710087176015,0.02631578947368421,UNDER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_ff_pct_last_3_LOW,home_sp_FRONT_LOADED,opp_pl_ff_pct_last_3_LOW,2,113,-2.1820529853920183,-0.47345132743362833,-0.29090941337666915,-1.272401920595943,-2.6230408076117446,4,3,UNDER,PLAUSIBLE,176,1.5081587461862025,0.9147727272727273,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_heart_rate_last_3_HIGH,home_sp_FRONT_LOADED,opp_pl_heart_rate_last_3_HIGH,2,114,-2.0164384232187667,-0.3991228070175439,-0.29090941337666915,-1.4253303086761442,-2.7267098759121846,4,4,UNDER,PLAUSIBLE,157,0.6075318316987548,0.6369426751592356,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_pfx_x_std_last_3_HIGH,home_sp_FRONT_LOADED,opp_pl_pfx_x_std_last_3_HIGH,2,102,-2.2525939155616896,-0.553921568627451,-0.29090941337666915,-1.0231852881689483,-2.5992608216291018,4,4,UNDER,PLAUSIBLE,206,0.06301759977728326,0.44902912621359226,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_pfx_z_mean_last_5_LOW,home_sp_FRONT_LOADED,opp_pl_pfx_z_mean_last_5_LOW,2,102,-2.0120808133456407,-0.44607843137254904,-0.29090941337666915,-1.1457044901171118,-2.658978644504257,4,4,UNDER,PLAUSIBLE,167,0.29302032877807793,0.5269461077844312,OVER,False,DEAD,,,,,,,,,,,
