features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_attenuation,val_status,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_attenuation,oos_status,synthetic_roi,real_roi,games_per_season
home_sp_BACK_LOADED × contact_la_last_20_HIGH,home_sp_BACK_LOADED,contact_la_last_20_HIGH,2,182,3.2407659203340677,1.543956043956044,1.634747612924342,1.2349637176435766,5.406034845914544,4,4,OVER,PLAUSIBLE,265,0.7346699484309669,0.6226415094339622,OVER,True,77.33036058478315,WEAK,304,2.1514801475061227,0.9144736842105263,OVER,True,33.61198554925739,THREE_STAGE_SURVIVOR,3.7037037037037033,3.7793302683543306,243
home_sp_BACK_LOADED × opp_sp_batmiss_k_rate_last_3_LOW,home_sp_BACK_LOADED,opp_sp_batmiss_k_rate_last_3_LOW,2,131,2.6480115727759426,1.5038167938931297,1.634747612924342,0.33247782817556565,2.9281365230114704,4,4,OVER,PLAUSIBLE,238,0.7466056823634575,0.6365546218487395,OVER,True,71.80504458366919,WEAK,232,1.6362483497922973,0.8426724137931034,OVER,True,38.20841394295727,THREE_STAGE_SURVIVOR,1.8619934282584878,1.9424026682978823,193
home_sp_BACK_LOADED × opp_sp_contact_ev_allowed_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_contact_ev_allowed_last_3_HIGH,2,155,2.7812036534153544,1.467741935483871,1.634747612924342,1.0282333462427529,3.038985028532619,4,4,OVER,PLAUSIBLE,207,0.4146657021993575,0.5531400966183575,OVER,True,85.09042292929024,WEAK,308,1.5235387992705918,0.75,OVER,True,45.22016403222877,THREE_STAGE_SURVIVOR,-2.0373752985808635,-1.9307153085972417,215
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_3_HIGH,2,160,2.706317836651338,1.425,1.634747612924342,-0.03279078214443434,2.458676517916196,4,4,OVER,PLAUSIBLE,198,0.5719536748151381,0.6035353535353535,OVER,True,78.8659828838565,WEAK,215,1.5194170378176477,0.8255813953488372,OVER,True,43.85666689845645,THREE_STAGE_SURVIVOR,-2.462809917355375,-2.4407810359743376,183
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_5_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_5_HIGH,2,149,2.5514805181525184,1.4026845637583893,1.634747612924342,0.25354952284882837,3.0075675285033743,4,3,OVER,PLAUSIBLE,172,1.6279631990324381,0.9593023255813954,OVER,True,36.195350603295324,PASS,191,3.1995149056535213,1.4005235602094241,OVER,True,-25.398367061420206,THREE_STAGE_SURVIVOR,4.025974025974024,3.8710661383784872,163
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_10_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_10_HIGH,2,138,2.3883758921309552,1.3768115942028984,1.634747612924342,1.3409929788648376,3.4916168010340276,4,3,OVER,PLAUSIBLE,173,1.4728474797441853,0.9075144508670521,OVER,True,38.33267683714215,PASS,162,2.0573682308147108,1.0864197530864197,OVER,True,13.85911080440998,THREE_STAGE_SURVIVOR,-2.657342657342658,-2.589435258547157,151
home_sp_BACK_LOADED × batting_total_bip_last_3_HIGH,home_sp_BACK_LOADED,batting_total_bip_last_3_HIGH,2,164,2.6933806599725627,1.4085365853658536,1.634747612924342,1.6890867690033482,2.746906690977439,4,3,OVER,PLAUSIBLE,250,0.2511183421770673,0.498,OVER,True,90.67646300766022,WEAK,247,3.398845431632586,1.3319838056680162,OVER,True,-26.19253869845526,THREE_STAGE_SURVIVOR,3.508522727272725,3.856965834964976,213
home_sp_BACK_LOADED × batting_total_bip_last_5_HIGH,home_sp_BACK_LOADED,batting_total_bip_last_5_HIGH,2,170,2.378900327776812,1.2823529411764707,1.634747612924342,2.043912227908798,2.7692181295084666,4,3,OVER,PLAUSIBLE,243,0.9322969237638391,0.6851851851851852,OVER,True,60.8097526038381,WEAK,234,2.520310454155585,1.1004273504273505,OVER,True,-5.944348517994735,THREE_STAGE_SURVIVOR,3.85454545454545,4.005232709200435,208
home_sp_BACK_LOADED × opp_pl_ff_pct_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_ff_pct_last_3_HIGH,2,149,2.750477134400333,1.476510067114094,1.634747612924342,1.7918298553814225,2.8036378167319724,4,4,OVER,PLAUSIBLE,213,1.0023746269529892,0.7230046948356808,OVER,True,63.55633666550986,WEAK,179,0.8996121787557171,0.6620111731843575,OVER,True,67.2925047256627,THREE_STAGE_SURVIVOR,3.134796238244516,3.14747167072138,174
home_sp_BACK_LOADED × opp_pl_primary_mix_drift_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_primary_mix_drift_last_3_HIGH,2,138,2.5011625812259535,1.4202898550724639,1.634747612924342,1.5029651223410423,3.0349165966251976,3,4,OVER,PLAUSIBLE,223,1.5641511220523232,0.8766816143497758,OVER,True,37.463036837627364,PASS,207,0.9282060107644143,0.6497584541062802,OVER,True,62.88901738209073,THREE_STAGE_SURVIVOR,-1.2539184952978102,-1.2277514787004007,183
