outcome,class,baseline,n_disc,tested,disc_surv,val_surv,tier_a,best_hit_rate
fg_over,A,48.3,1333,116403,2690,1362,386,73.3
home_win,A,52.4,1988,116403,5241,3768,1572,75.0
home_rl_cover,A,45.3,1988,116403,4599,2533,533,66.7
yrfi,B,50.4,1988,116403,1562,924,246,72.7
nrfi,B,49.6,1988,116403,1565,689,185,68.2
home_yrfi,B,32.6,1988,116403,7,6,0,0.0
away_yrfi,B,26.7,1988,116403,1,1,0,0.0
btts,B,87.2,1988,116403,3387,1663,565,100.0
shutout,B,12.8,1988,116403,0,0,0,0.0
home_shutout,B,7.2,1988,116403,0,0,0,0.0
one_run_game,B,27.7,1988,116403,1,0,0,0.0
blowout,B,39.3,1988,116403,56,36,11,64.1
home_5plus,B,44.9,1988,116403,985,589,234,68.0
away_5plus,B,45.2,1988,116403,1133,678,281,75.0
home_2minus,B,28.3,1988,116403,0,0,0,0.0
away_2minus,B,28.1,1988,116403,0,0,0,0.0
both_4plus,B,32.7,1988,116403,3,2,0,0.0
f5_high,B,53.5,1988,116403,1558,816,262,75.5
low_total,B,29.5,1988,116403,0,0,0,0.0
high_total,B,42.7,1988,116403,158,92,22,60.0
extra_innings,B,8.4,1988,116403,0,0,0,0.0
any_dominant,B,27.2,1988,116403,0,0,0,0.0
