outcome,class,feature_a,feature_b,features,n_flagged,z_score,hit_rate,baseline,direction,val_z,val_n,val_hit,oos_z,oos_n,oos_hit,oos_att
of,A,b2b_flag_home,away_ortg_H,b2b_flag_home × away_ortg_H,39,3.0543130617271395,0.7435897435897436,0.4990494296577947,OVER,0.8201107777891025,107.0,0.5327102803738317,,,,
of,A,b2b_flag_away,home_tov_rate_L,b2b_flag_away × home_tov_rate_L,53,2.074252720854253,0.6415094339622641,0.4990494296577947,OVER,,,,,,,
of,A,home_ortg_H,home_pace_trend_H,home_ortg_H × home_pace_trend_H,121,-2.070000284222127,0.4049586776859504,0.4990494296577947,UNDER,,,,,,,
of,A,home_ortg_L,away_ortg_x_home_drtg_H,home_ortg_L × away_ortg_x_home_drtg_H,110,2.1175608548461327,0.6,0.4990494296577947,OVER,0.12322799751547171,197.0,0.49746192893401014,,,,
of,A,home_ortg_L,home_ft_rate_H,home_ortg_L × home_ft_rate_H,108,2.9065138320579336,0.6388888888888888,0.4990494296577947,OVER,0.2817362012456494,21.0,0.5238095238095238,,,,
of,A,home_ortg_L,home_tov_rate_L,home_ortg_L × home_tov_rate_L,84,2.199607119609151,0.6190476190476191,0.4990494296577947,OVER,,,,,,,
of,A,home_drtg_L,away_tov_rate_L,home_drtg_L × away_tov_rate_L,91,2.0098805482293174,0.6043956043956044,0.4990494296577947,OVER,,,,,,,
of,A,away_drtg_H,away_3pa_rate_H,away_drtg_H × away_3pa_rate_H,135,2.518016410000451,0.6074074074074074,0.4990494296577947,OVER,,,,,,,
of,A,away_drtg_H,home_ft_rate_H,away_drtg_H × home_ft_rate_H,111,2.2030971315872874,0.6036036036036037,0.4990494296577947,OVER,,,,,,,
of,A,away_drtg_H,away_tov_rate_H,away_drtg_H × away_tov_rate_H,139,2.142890314869836,0.5899280575539568,0.4990494296577947,OVER,1.084620097460777,114.0,0.543859649122807,,,,
