outcome,class,feature_a,feature_b,features,n_flagged,z_score,hit_rate,baseline,direction,val_z,val_n,val_hit,oos_z,oos_n,oos_hit,oos_att
hw,A,b2b_flag_away,away_drtg_H,b2b_flag_away × away_drtg_H,80,2.845833802467799,0.7375,0.5804878048780487,OVER,2.44488907554406,86,0.6744186046511628,3.723629264323174,60,0.7833333333333333,-30.844930617317985
hw,A,home_ortg_H,away_drtg_H,home_ortg_H × away_drtg_H,168,2.7325584538614884,0.6845238095238095,0.5804878048780487,OVER,5.093695862578231,223,0.7130044843049327,5.784562810995348,107,0.822429906542056,-111.69035937075562
hw,A,home_ortg_H,away_ortg_trend_L,home_ortg_H × away_ortg_trend_L,142,3.1580281602196614,0.7112676056338029,0.5804878048780487,OVER,1.9539060609902266,208,0.6105769230769231,2.4878546845097613,142,0.647887323943662,21.22126345014242
hw,A,home_ortg_H,home_pace_trend_H,home_ortg_H × home_pace_trend_H,150,2.469750548959629,0.68,0.5804878048780487,OVER,3.6893032473801983,199,0.6733668341708543,2.429710254332581,151,0.6423841059602649,1.6212282914124738
hw,A,home_ortg_H,away_tov_rate_H,home_ortg_H × away_tov_rate_H,120,3.7629004214549995,0.75,0.5804878048780487,OVER,3.8964825328597366,88,0.75,5.242067924533568,143,0.7622377622377622,-39.309238550262236
hw,A,home_ortg_H,home_dreb_rate_H,home_ortg_H × home_dreb_rate_H,148,2.679767324547236,0.6891891891891891,0.5804878048780487,OVER,1.0042258520005496,133,0.5864661654135338,2.20933112786546,63,0.6825396825396826,17.555113549317543
hw,A,home_ortg_L,away_3pa_rate_H,home_ortg_L × away_3pa_rate_H,137,-3.900056859225289,0.41605839416058393,0.5804878048780487,UNDER,-2.7469256807710583,130,0.4230769230769231,-2.5799572895086826,312,0.47115384615384615,33.84821343294036
hw,A,home_ortg_L,games_l7_home_H,home_ortg_L × games_l7_home_H,330,-3.9668689386645535,0.4727272727272727,0.5804878048780487,UNDER,-4.275668601189103,254,0.4094488188976378,-4.711920251579502,376,0.4228723404255319,-18.781848466255866
hw,A,home_ortg_L,days_rest_away_H,home_ortg_L × days_rest_away_H,321,-4.2229237070687695,0.46417445482866043,0.5804878048780487,UNDER,-4.13524127880663,237,0.4092827004219409,-4.5643279507449686,371,0.42587601078167114,-8.084546805918398
hw,A,home_ortg_L,away_rest_days_H,home_ortg_L × away_rest_days_H,320,-4.163758777008708,0.465625,0.5804878048780487,UNDER,-4.210316795225567,234,0.405982905982906,-4.412117945007994,368,0.42934782608695654,-5.964782815245371
hw,A,home_ortg_L,home_games_last_5_H,home_ortg_L × home_games_last_5_H,351,-3.866949114038023,0.47863247863247865,0.5804878048780487,UNDER,-4.533578840384005,271,0.4059040590405904,-4.426590402301888,397,0.4332493702770781,-14.472424429693751
hw,A,home_ortg_L,away_hours_since_prev_H,home_ortg_L × away_hours_since_prev_H,320,-4.163758777008708,0.465625,0.5804878048780487,UNDER,-4.210316795225567,234,0.405982905982906,-4.412117945007994,368,0.42934782608695654,-5.964782815245371
hw,A,home_drtg_H,away_ortg_x_home_drtg_H,home_drtg_H × away_ortg_x_home_drtg_H,277,-4.114767378782254,0.4584837545126354,0.5804878048780487,UNDER,-5.915094976259517,507,0.41222879684418146,-5.049223433511426,364,0.41208791208791207,-22.7098148864425
hw,A,home_drtg_H,away_ortg_trend_H,home_drtg_H × away_ortg_trend_H,122,-4.003098500524044,0.4016393442622951,0.5804878048780487,UNDER,-3.7830917201451477,179,0.4022346368715084,-3.277682250579252,180,0.4222222222222222,18.12136898079895
hw,A,home_drtg_H,away_tov_rate_L,home_drtg_H × away_tov_rate_L,154,-3.9835822429602197,0.42207792207792205,0.5804878048780487,UNDER,-4.738015571136928,323,0.4117647058823529,-5.83552294036814,171,0.3216374269005848,-46.48933006669228
