signal_id,season,N,graded,hit_rate,roi,direction
ARCH_01,2022,11,11,0.7273,38.84,OVER
ARCH_01,2023,3,3,0.3333,-36.36,OVER
ARCH_01,2024,16,14,0.5,-4.55,OVER
ARCH_01,2025,27,27,0.7037,34.34,OVER
ARCH_02,2022,18,18,0.6111,16.67,UNDER
ARCH_02,2023,14,14,0.7143,36.36,UNDER
ARCH_02,2024,20,20,0.65,24.09,UNDER
ARCH_02,2025,28,28,0.6429,22.73,UNDER
ARCH_03,2022,6,6,0.6667,27.27,OVER
ARCH_03,2023,7,7,0.5714,9.09,OVER
ARCH_03,2024,18,18,0.6111,16.67,OVER
ARCH_03,2025,17,17,0.6471,23.53,OVER
ARCH_04,2022,2,2,1.0,90.91,UNDER
ARCH_04,2023,8,8,0.5,-4.55,UNDER
ARCH_04,2024,5,5,0.6,14.55,UNDER
ARCH_04,2025,10,10,0.7,33.64,UNDER
ARCH_05,2022,12,12,0.5833,11.36,UNDER
ARCH_05,2023,15,15,0.5333,1.82,UNDER
ARCH_05,2024,12,11,0.8182,56.2,UNDER
ARCH_05,2025,7,7,0.2857,-45.45,UNDER
ARCH_06,2022,6,6,0.5,-4.55,OVER
ARCH_06,2023,17,17,0.5882,12.3,OVER
ARCH_06,2024,3,3,0.6667,27.27,OVER
ARCH_06,2025,11,11,0.5455,4.13,OVER
ARCH_07,2022,9,8,0.5,-4.55,OVER
ARCH_07,2023,11,11,0.6364,21.49,OVER
ARCH_07,2024,18,18,0.8333,59.09,OVER
ARCH_07,2025,18,18,0.6667,27.27,OVER
