| dh | margin | total | delta_m |
|------|--------|-------|---------|
| -1.00 |  -1.28 |  32.2 | +0.000 |
| -0.95 |  -0.96 |  32.3 | +0.321 |
| -0.90 |  -0.58 |  32.6 | +0.383 |
| -0.85 |  -0.25 |  32.7 | +0.325 |
| -0.80 |   0.06 |  33.0 | +0.310 |
| -0.75 |   0.14 |  33.2 | +0.083 |
| -0.70 |   0.48 |  33.4 | +0.336 |
| -0.65 |   0.82 |  33.6 | +0.343 |
| -0.60 |   1.25 |  33.8 | +0.428 |
| -0.55 |   1.55 |  34.1 | +0.304 |
| -0.50 |   1.86 |  34.5 | +0.305 |
| -0.45 |   2.15 |  34.8 | +0.298 |
| -0.40 |   2.62 |  34.9 | +0.462 |
| -0.35 |   3.16 |  35.2 | +0.546 |
| -0.30 |   3.56 |  35.5 | +0.394 |
| -0.25 |   4.01 |  35.7 | +0.451 |
| -0.20 |   4.37 |  36.1 | +0.359 |
| -0.15 |   4.77 |  36.4 | +0.399 |
| -0.10 |   5.15 |  36.5 | +0.381 |
| -0.05 |   5.63 |  36.9 | +0.480 |
| +0.00 |   5.98 |  37.1 | +0.352 |
| +0.05 |   6.06 |  37.3 | +0.077 |
| +0.10 |   6.36 |  37.8 | +0.302 |
| +0.15 |   6.74 |  38.1 | +0.380 |
| +0.20 |   7.21 |  38.5 | +0.476 |
| +0.25 |   7.56 |  38.6 | +0.348 |
| +0.30 |   8.02 |  39.0 | +0.459 |
| +0.35 |   8.47 |  39.2 | +0.450 |
| +0.40 |   8.87 |  39.6 | +0.398 |
| +0.45 |   9.13 |  39.8 | +0.257 |
| +0.50 |   9.67 |  40.1 | +0.543 |
| +0.55 |  10.02 |  40.5 | +0.348 |
| +0.60 |  10.38 |  40.4 | +0.360 |
| +0.65 |  10.64 |  40.8 | +0.259 |
| +0.70 |  10.97 |  41.1 | +0.334 |
| +0.75 |  11.21 |  41.5 | +0.239 |
| +0.80 |  11.60 |  41.7 | +0.390 |
| +0.85 |  11.88 |  42.0 | +0.287 |
| +0.90 |  12.38 |  42.3 | +0.497 |
| +0.95 |  12.89 |  42.6 | +0.508 |
| +1.00 |  13.15 |  42.9 | +0.256 |

Max |delta_m|: 0.546
Reversals > 0.3: 0
