n_bets,wins,losses,pushes,win_rate,roi,units,signal,metric,split
926,453,473,33,48.92008639308855,-6.117019246927408,-56.6435982265478,ADJ_K_RATE,adj_k_rate_last3,DISC
538,281,257,26,52.23048327137546,-0.45093347210954093,-2.4260220799493304,ADJ_K_RATE,adj_k_rate_last3,VAL
551,296,255,27,53.72050816696915,2.0829790046550776,11.477214315649476,ADJ_K_RATE,adj_k_rate_last3,OOS
2376,1178,1198,101,49.57912457912458,-4.927489053099237,-117.07713990163788,ADJ_CONTACT,adj_contact_rate_last3,DISC
1336,683,653,59,51.122754491017965,-2.423797440744827,-32.38193380835089,ADJ_CONTACT,adj_contact_rate_last3,VAL
1388,735,653,56,52.95389048991355,1.0161062794936013,14.103555159371187,ADJ_CONTACT,adj_contact_rate_last3,OOS
2016,1038,978,102,51.488095238095234,-1.3465102968139318,-27.145647583768863,ADJ_HH,adj_hard_hit_last3,DISC
1098,549,549,49,50.0,-4.580114212820371,-50.28965405676768,ADJ_HH,adj_hard_hit_last3,VAL
850,453,397,34,53.294117647058826,1.4473390311119314,12.302381764451416,ADJ_HH,adj_hard_hit_last3,OOS
955,487,468,32,50.994764397905755,-2.2948832256662457,-21.916134805112648,ADJ_BB_RATE,adj_bb_rate_last3,DISC
576,310,266,28,53.81944444444444,2.957800616129439,17.036931548905567,ADJ_BB_RATE,adj_bb_rate_last3,VAL
602,319,283,30,52.99003322259136,1.059431088747596,6.377775154260528,ADJ_BB_RATE,adj_bb_rate_last3,OOS
1935,970,965,81,50.129198966408275,-3.842628769956625,-74.35486669866069,ADJ_RUN_SUPP,adj_run_suppression_last3,DISC
1088,540,548,56,49.63235294117647,-5.244345749205875,-57.05848175135993,ADJ_RUN_SUPP,adj_run_suppression_last3,VAL
1125,613,512,41,54.48888888888889,3.9661204979281988,44.61885560169224,ADJ_RUN_SUPP,adj_run_suppression_last3,OOS
2015,1030,985,86,51.1166253101737,-2.361906004508568,-47.59240599084765,ADJ_K_RATE,adj_k_rate_last3,ALL
5100,2596,2504,216,50.90196078431373,-2.654029775502305,-135.35551855061755,ADJ_CONTACT,adj_contact_rate_last3,ALL
3964,2040,1924,185,51.46316851664985,-1.6431109958649128,-65.13291987608514,ADJ_HH,adj_hard_hit_last3,ALL
2133,1116,1017,90,52.320675105485236,0.0702565353048963,1.498571898053438,ADJ_BB_RATE,adj_bb_rate_last3,ALL
4148,2123,2025,178,51.181292189006754,-2.0924419683782154,-86.79449284832837,ADJ_RUN_SUPP,adj_run_suppression_last3,ALL
