game_pk,date,season,split,signal,combined_value,home_team,away_team,closing_total,under_price,actual_total,result
661976,2022-06-11,2022,DISC,ADJ_K_RATE,0.00836615190654083,STL,CIN,8.0,100.0,9,LOSS
661968,2022-06-27,2022,DISC,ADJ_K_RATE,0.003918593918618721,STL,MIA,7.5,-110.0,9,LOSS
661136,2022-07-08,2022,DISC,ADJ_K_RATE,0.0302556065743348,STL,PHI,7.5,-105.0,2,WIN
661951,2022-08-13,2022,DISC,ADJ_K_RATE,0.041678781554414394,STL,MIL,7.0,105.0,5,WIN
717797,2023-06-11,2023,DISC,ADJ_K_RATE,0.021125294341474615,STL,CIN,8.0,-105.0,7,WIN
716531,2023-09-18,2023,DISC,ADJ_K_RATE,0.003317848903524004,STL,MIL,8.5,-108.0,1,WIN
717793,2023-06-12,2023,DISC,ADJ_K_RATE,1.4040820081227638e-05,KCR,CIN,8.5,-105.0,9,LOSS
716352,2023-10-01,2023,DISC,ADJ_K_RATE,0.075006179701406,KCR,NYY,9.0,-110.0,7,WIN
662758,2022-06-12,2022,DISC,ADJ_K_RATE,0.04831603597745956,HOU,MIA,8.0,-115.0,13,LOSS
662745,2022-07-29,2022,DISC,ADJ_K_RATE,0.06842610004379843,HOU,SEA,7.5,-125.0,12,LOSS
662740,2022-09-16,2022,DISC,ADJ_K_RATE,0.04359053284998448,HOU,OAK,7.5,-115.0,5,WIN
662820,2022-09-28,2022,DISC,ADJ_K_RATE,0.141240233079948,HOU,ARI,6.5,-115.0,7,LOSS
718150,2023-05-16,2023,DISC,ADJ_K_RATE,0.0480454486984538,NYM,TBR,8.5,100.0,13,LOSS
776350,2025-09-12,2025,OOS,ADJ_K_RATE,0.06742958880247414,SFG,LAD,8.0,-116.0,6,WIN
661854,2022-09-03,2022,DISC,ADJ_K_RATE,0.046301912369760084,TBR,NYY,8.0,-120.0,3,WIN
718702,2023-04-05,2023,DISC,ADJ_K_RATE,0.007201391355287315,BOS,PIT,8.5,-105.0,5,WIN
718505,2023-04-19,2023,DISC,ADJ_K_RATE,0.05439197655920664,BOS,MIN,8.5,100.0,14,LOSS
663227,2022-05-05,2022,DISC,ADJ_K_RATE,0.0269236288743211,BOS,LAA,7.5,100.0,8,LOSS
718679,2023-04-07,2023,DISC,ADJ_K_RATE,0.02908298583636011,PIT,CHW,8.5,-105.0,22,LOSS
718065,2023-05-23,2023,DISC,ADJ_K_RATE,0.00751878180624331,PIT,TEX,8.0,-110.0,7,WIN
716957,2023-08-17,2023,DISC,ADJ_K_RATE,0.019487785572895627,SDP,ARI,8.5,-112.0,4,WIN
661542,2022-05-25,2022,DISC,ADJ_K_RATE,0.040360927897993254,ATL,PHI,9.0,-120.0,12,LOSS
661141,2022-06-22,2022,DISC,ADJ_K_RATE,0.0986676013863922,ATL,SFG,8.5,100.0,7,WIN
661522,2022-07-08,2022,DISC,ADJ_K_RATE,0.02262661416145494,ATL,WSN,9.0,-105.0,14,LOSS
661505,2022-07-13,2022,DISC,ADJ_K_RATE,0.022011809092548216,ATL,NYM,8.0,-115.0,10,LOSS
661504,2022-07-22,2022,DISC,ADJ_K_RATE,0.15046267052040335,ATL,LAA,7.0,100.0,9,LOSS
661480,2022-08-21,2022,DISC,ADJ_K_RATE,0.05196732073748902,ATL,HOU,8.5,-120.0,9,LOSS
661476,2022-09-02,2022,DISC,ADJ_K_RATE,0.08911442685431416,ATL,MIA,7.0,-120.0,9,LOSS
718245,2023-05-09,2023,DISC,ADJ_K_RATE,0.0013416530628480906,ATL,BOS,10.0,-115.0,12,LOSS
717997,2023-05-27,2023,DISC,ADJ_K_RATE,0.012024315558923243,ATL,PHI,9.0,-110.0,3,WIN
717850,2023-06-07,2023,DISC,ADJ_K_RATE,0.05373989819119972,ATL,NYM,9.5,-110.0,12,LOSS
717716,2023-06-18,2023,DISC,ADJ_K_RATE,0.0032489575410538755,ATL,COL,9.0,-105.0,20,LOSS
717536,2023-07-01,2023,DISC,ADJ_K_RATE,0.08917419529259092,ATL,MIA,9.0,-105.0,7,WIN
747135,2024-04-20,2024,VAL,ADJ_K_RATE,0.0022040095825597945,ATL,TEX,9.0,-118.0,7,WIN
747113,2024-06-15,2024,VAL,ADJ_K_RATE,0.011602889104478771,ATL,TBR,8.5,-108.0,11,LOSS
747093,2024-07-20,2024,VAL,ADJ_K_RATE,0.013101449057393287,ATL,STL,8.0,-110.0,5,WIN
747061,2024-09-29,2024,VAL,ADJ_K_RATE,0.008027381984478808,ATL,KCR,8.0,-102.0,6,WIN
776501,2025-09-01,2025,OOS,ADJ_K_RATE,0.06713209382307805,DET,NYM,8.5,-102.0,18,LOSS
662554,2022-05-18,2022,DISC,ADJ_K_RATE,0.009208053487024494,NYM,STL,7.0,-115.0,15,LOSS
662481,2022-07-22,2022,DISC,ADJ_K_RATE,0.10810780587546193,NYM,SDP,7.0,-105.0,5,WIN
662434,2022-08-12,2022,DISC,ADJ_K_RATE,0.009223288570343347,NYM,PHI,7.0,-110.0,3,WIN
717779,2023-06-13,2023,DISC,ADJ_K_RATE,0.006736538268613763,NYM,NYY,7.5,105.0,13,LOSS
717385,2023-07-16,2023,DISC,ADJ_K_RATE,3.641616044652157e-05,NYM,LAD,9.0,-120.0,3,WIN
717230,2023-07-28,2023,DISC,ADJ_K_RATE,0.01778617167119606,NYM,WSN,8.5,-105.0,6,WIN
716918,2023-08-20,2023,DISC,ADJ_K_RATE,0.017602530324864953,TEX,MIL,8.5,-105.0,8,WIN
716772,2023-09-01,2023,DISC,ADJ_K_RATE,0.05471801982296944,TEX,MIN,8.0,-105.0,6,WIN
716687,2023-09-06,2023,DISC,ADJ_K_RATE,0.0045047235076753605,TEX,HOU,9.0,-120.0,15,LOSS
744994,2024-07-20,2024,VAL,ADJ_K_RATE,0.017483801806394316,TEX,BAL,8.0,-118.0,12,LOSS
776900,2025-08-02,2025,OOS,ADJ_K_RATE,0.054845118391352185,TOR,KCR,8.0,-112.0,6,WIN
776206,2025-09-24,2025,OOS,ADJ_K_RATE,0.08638319459025592,TOR,BOS,7.5,-124.0,8,LOSS
661810,2022-07-15,2022,DISC,ADJ_K_RATE,0.0941882077816795,TEX,SEA,8.0,-110.0,11,LOSS
661385,2022-08-03,2022,DISC,ADJ_K_RATE,0.09952201662172683,CHW,KCR,8.5,-110.0,5,WIN
661433,2022-09-21,2022,DISC,ADJ_K_RATE,0.0018781748004203826,CHW,CLE,7.5,100.0,10,LOSS
718084,2023-05-21,2023,DISC,ADJ_K_RATE,0.00810842775112291,CHW,KCR,9.0,-115.0,7,WIN
717629,2023-06-24,2023,DISC,ADJ_K_RATE,0.059118091561792555,CHW,BOS,8.5,-110.0,9,LOSS
717468,2023-07-06,2023,DISC,ADJ_K_RATE,0.06393628402636342,CHW,TOR,9.0,-110.0,8,WIN
716768,2023-08-31,2023,DISC,ADJ_K_RATE,0.011414852941360229,LAD,ATL,8.5,-105.0,15,LOSS
