signal_name,season,N,W,L,P,hit_rate,ROI,avg_under_price,verdict
ADJ_CONTACT,2022,797,385,372,40,0.5086,-0.0325,1.9074,DIMINISHED
ADJ_CONTACT,2023,982,465,474,43,0.4952,-0.0543,1.9134,DIMINISHED
ADJ_CONTACT,2024,1066,527,493,46,0.5167,-0.0156,1.9075,DIMINISHED
ADJ_CONTACT,2025,1030,519,466,45,0.5269,0.0038,1.9093,DIMINISHED
ADJ_CONTACT,ALL,3875,1896,1805,174,0.5123,-0.0237,1.9095,DIMINISHED
ADJ_HH,2022,777,375,364,38,0.5074,-0.0351,1.9097,DIMINISHED
ADJ_HH,2023,762,350,383,29,0.4775,-0.0867,1.9135,DIMINISHED
ADJ_HH,2024,869,420,404,45,0.5097,-0.0277,1.9076,DIMINISHED
ADJ_HH,2025,673,359,289,25,0.554,0.056,1.9097,DIMINISHED
ADJ_HH,ALL,3081,1504,1440,137,0.5109,-0.0258,1.9101,DIMINISHED
adj_k_rate_last3,2022,311,152,145,14,0.5118,-0.0273,1.9049,DIMINISHED
adj_k_rate_last3,2023,407,196,191,20,0.5065,-0.0309,1.9172,DIMINISHED
adj_k_rate_last3,2024,409,202,188,19,0.5179,-0.0142,1.9079,DIMINISHED
adj_k_rate_last3,2025,412,216,179,17,0.5468,0.0409,1.9078,DIMINISHED
adj_k_rate_last3,ALL,1539,766,703,70,0.5214,-0.0064,1.9097,DIMINISHED
ADJ_BB_RATE,2022,288,147,131,10,0.5288,0.0054,1.9105,DIMINISHED
ADJ_BB_RATE,2023,421,209,195,17,0.5173,-0.014,1.9123,DIMINISHED
ADJ_BB_RATE,2024,437,195,221,21,0.4688,-0.1043,1.9121,DIMINISHED
ADJ_BB_RATE,2025,441,218,205,18,0.5154,-0.0179,1.9116,DIMINISHED
ADJ_BB_RATE,ALL,1587,769,752,66,0.5056,-0.0362,1.9117,DIMINISHED
ADJ_RUN_SUPP,2022,681,317,326,38,0.493,-0.0617,1.9074,DIMINISHED
ADJ_RUN_SUPP,2023,776,378,366,32,0.5081,-0.0298,1.9123,DIMINISHED
ADJ_RUN_SUPP,2024,856,427,394,35,0.5201,-0.0088,1.9082,DIMINISHED
ADJ_RUN_SUPP,2025,846,431,376,39,0.5341,0.0177,1.9092,DIMINISHED
ADJ_RUN_SUPP,ALL,3159,1553,1462,144,0.5151,-0.0182,1.9093,DIMINISHED
