lineup_arch,sp_profile,disc_n,disc_resid,val_n,val_resid,oos_n,oos_resid
PATIENT_DAMAGE,ELITE,64,-0.21310868841424313,32,-0.7508568034161454,44,0.31664949682770177
PATIENT_DAMAGE,WILD_POWER,59,0.00794223421307846,18,0.4357454095075639,27,0.13946934692975074
PATIENT_DAMAGE,CONTACT,58,0.21855943836233271,22,-0.19005958283429528,30,-0.13674986611889015
PATIENT_DAMAGE,VULNERABLE,85,0.3259287796242123,26,1.3155895501229753,43,0.7498582382475537
PATIENT_CONTACT,ELITE,54,-0.43813714762480876,30,-0.14979067772786578,22,-0.8638711489028562
PATIENT_CONTACT,WILD_POWER,32,-0.08962648353285405,20,-1.0535713589876918,30,-0.5089551360693716
PATIENT_CONTACT,CONTACT,32,0.44647960865924785,22,0.7094609274596745,23,-0.27887112060421043
PATIENT_CONTACT,VULNERABLE,56,-0.13184568296024643,49,-0.22408775224099406,28,-0.4012393276397087
IMPATIENT_POWER,ELITE,43,-0.7751903864148492,28,0.01155588734852502,32,-0.3865800567299032
IMPATIENT_POWER,WILD_POWER,38,0.08097194684244564,17,0.5851720768571269,19,-0.07615258032095898
IMPATIENT_POWER,CONTACT,26,-0.5515397676024055,13,,18,0.9106927946021622
IMPATIENT_POWER,VULNERABLE,39,-0.004576032471190954,27,0.8468222156917511,27,0.8789753675621907
IMPATIENT_WEAK,ELITE,81,-0.14659485422401405,49,-0.8956207751614683,34,-0.716707696620429
IMPATIENT_WEAK,WILD_POWER,53,-1.1580833368419674,39,0.08138246164623067,30,0.4218767963501141
IMPATIENT_WEAK,CONTACT,69,0.08233846277001966,36,0.4894112021889878,28,-0.4349555178261637
IMPATIENT_WEAK,VULNERABLE,80,0.6839229325423979,31,-0.7030828916037314,35,-0.18904380068133597
