phase,lineup_arch,sp_profile,mean_runs,expected_main_effects,interaction_residual,n,low_n_flag
DISCOVERY,PATIENT_CONTACT,ELITE,5.1304,4.3267,0.8037,115,False
DISCOVERY,IMPATIENT_POWER,WILD_POWER,4.9444,4.412,0.5325,126,False
DISCOVERY,PATIENT_DAMAGE,CONTACT,5.064,4.7349,0.3291,203,False
DISCOVERY,PATIENT_DAMAGE,ELITE,5.0717,4.8168,0.2549,307,False
DISCOVERY,MIXED,VULNERABLE,4.7861,4.6074,0.1788,1010,False
DISCOVERY,IMPATIENT_WEAK,AVERAGE,4.772,4.607,0.165,1250,False
DISCOVERY,IMPATIENT_WEAK,WILD_POWER,4.6667,4.5616,0.105,189,False
DISCOVERY,IMPATIENT_POWER,AVERAGE,4.5476,4.4573,0.0903,546,False
DISCOVERY,MIXED,CONTACT,4.3696,4.3057,0.0639,828,False
DISCOVERY,PATIENT_CONTACT,CONTACT,4.3011,4.2448,0.0562,93,False
DISCOVERY,PATIENT_CONTACT,VULNERABLE,4.6,4.5465,0.0535,125,False
DISCOVERY,PATIENT_DAMAGE,AVERAGE,4.9115,4.8677,0.0438,1141,False
DISCOVERY,MIXED,WILD_POWER,4.4309,4.3931,0.0378,752,False
DISCOVERY,MIXED,ELITE,4.3652,4.3876,-0.0224,953,False
DISCOVERY,MIXED,AVERAGE,4.3829,4.4384,-0.0556,4265,False
DISCOVERY,PATIENT_CONTACT,AVERAGE,4.2717,4.3776,-0.1059,552,False
DISCOVERY,IMPATIENT_WEAK,VULNERABLE,4.65,4.776,-0.126,340,False
DISCOVERY,IMPATIENT_POWER,VULNERABLE,4.4338,4.6263,-0.1925,136,False
DISCOVERY,IMPATIENT_POWER,CONTACT,4.1308,4.3246,-0.1937,107,False
DISCOVERY,PATIENT_DAMAGE,WILD_POWER,4.5123,4.8223,-0.31,244,False
DISCOVERY,IMPATIENT_WEAK,ELITE,4.1625,4.5561,-0.3936,240,False
DISCOVERY,IMPATIENT_WEAK,CONTACT,4.0735,4.4743,-0.4008,245,False
DISCOVERY,PATIENT_CONTACT,WILD_POWER,3.9083,4.3322,-0.424,109,False
DISCOVERY,PATIENT_DAMAGE,VULNERABLE,4.5857,5.0366,-0.451,251,False
DISCOVERY,IMPATIENT_POWER,ELITE,3.757,4.4065,-0.6494,107,False
VALIDATION,PATIENT_CONTACT,WILD_POWER,5.3636,4.3322,1.0314,55,False
VALIDATION,IMPATIENT_POWER,CONTACT,5.2381,4.3246,0.9135,63,False
VALIDATION,PATIENT_CONTACT,CONTACT,4.5217,4.2448,0.2769,46,True
VALIDATION,IMPATIENT_POWER,ELITE,4.6491,4.4065,0.2427,114,False
VALIDATION,IMPATIENT_POWER,VULNERABLE,4.8165,4.6263,0.1902,109,False
VALIDATION,PATIENT_CONTACT,ELITE,4.506,4.3267,0.1793,83,False
VALIDATION,IMPATIENT_POWER,AVERAGE,4.5979,4.4573,0.1406,480,False
VALIDATION,MIXED,ELITE,4.5037,4.3876,0.1162,534,False
VALIDATION,PATIENT_DAMAGE,CONTACT,4.8302,4.7349,0.0953,53,False
VALIDATION,MIXED,WILD_POWER,4.4883,4.3931,0.0953,428,False
VALIDATION,PATIENT_CONTACT,AVERAGE,4.4611,4.3776,0.0835,373,False
VALIDATION,PATIENT_DAMAGE,VULNERABLE,5.0563,5.0366,0.0197,71,False
VALIDATION,MIXED,AVERAGE,4.4558,4.4384,0.0173,2488,False
VALIDATION,MIXED,CONTACT,4.3072,4.3057,0.0015,319,False
VALIDATION,PATIENT_DAMAGE,AVERAGE,4.8622,4.8677,-0.0055,421,False
VALIDATION,MIXED,VULNERABLE,4.5841,4.6074,-0.0233,553,False
VALIDATION,IMPATIENT_WEAK,CONTACT,4.3253,4.4743,-0.149,83,False
VALIDATION,PATIENT_DAMAGE,ELITE,4.5943,4.8168,-0.2225,106,False
VALIDATION,IMPATIENT_WEAK,AVERAGE,4.129,4.607,-0.478,682,False
VALIDATION,IMPATIENT_WEAK,WILD_POWER,3.9909,4.5616,-0.5707,110,False
VALIDATION,IMPATIENT_WEAK,VULNERABLE,4.0519,4.776,-0.724,154,False
VALIDATION,PATIENT_CONTACT,VULNERABLE,3.7684,4.5465,-0.7781,95,False
VALIDATION,IMPATIENT_POWER,WILD_POWER,3.617,4.412,-0.7949,94,False
VALIDATION,PATIENT_DAMAGE,WILD_POWER,3.9451,4.8223,-0.8772,91,False
VALIDATION,IMPATIENT_WEAK,ELITE,3.6783,4.5561,-0.8778,143,False
