lineup_arch,sp_profile,disc_n,disc_mean_runs,disc_residual,val_residual,val_dir_agree,oos_residual,oos_dir_agree,both_agree
IMPATIENT_POWER,WILD_POWER,61,4.721,0.7191,0.1367,True,0.2121,True,True
IMPATIENT_WEAK,VULNERABLE,135,5.17,0.6605,-0.6823,False,-0.2266,False,False
PATIENT_CONTACT,WILD_POWER,59,4.39,0.3099,-1.08,False,-0.5159,False,False
IMPATIENT_WEAK,ELITE,162,3.846,0.298,-0.1171,False,0.3095,True,False
IMPATIENT_POWER,ELITE,62,3.984,0.24,0.1509,True,0.5228,True,True
PATIENT_DAMAGE,AVERAGE,686,5.038,0.1481,0.1344,True,0.1548,True,True
PATIENT_CONTACT,ELITE,72,3.958,0.1367,0.0731,True,-1.0608,False,False
MIXED,CONTACT,424,4.764,0.0656,0.0944,True,-0.2249,False,False
IMPATIENT_WEAK,CONTACT,102,4.333,0.0641,0.0762,True,-0.1823,False,False
PATIENT_CONTACT,AVERAGE,322,4.332,0.0363,-0.0297,False,-0.0057,False,False
MIXED,AVERAGE,2302,4.453,0.0018,-0.1134,False,0.0478,True,False
MIXED,WILD_POWER,399,4.226,-0.0097,-0.5239,True,-0.2042,True,True
MIXED,VULNERABLE,579,4.924,-0.0152,0.1715,False,-0.1946,True,False
MIXED,ELITE,564,3.943,-0.0337,-0.0226,True,-0.0571,True,True
IMPATIENT_POWER,AVERAGE,349,4.163,-0.0549,0.2123,False,0.6577,False,False
PATIENT_CONTACT,CONTACT,55,4.455,-0.0887,-0.3951,True,-0.9296,True,True
IMPATIENT_WEAK,AVERAGE,640,3.869,-0.1533,0.037,False,0.2833,False,False
PATIENT_DAMAGE,VULNERABLE,150,5.22,-0.1577,-0.2027,True,-0.74,True,True
PATIENT_DAMAGE,CONTACT,133,4.955,-0.1822,-0.5613,True,0.6407,False,False
PATIENT_DAMAGE,WILD_POWER,105,4.419,-0.2548,-0.0422,True,-0.325,True,True
IMPATIENT_POWER,VULNERABLE,75,4.4,-0.3061,0.4637,False,1.2676,False,False
PATIENT_DAMAGE,ELITE,129,4.109,-0.307,-0.6655,True,0.0845,False,False
IMPATIENT_WEAK,WILD_POWER,97,3.495,-0.3112,0.6716,False,0.4493,False,False
IMPATIENT_POWER,CONTACT,50,4.1,-0.3655,0.5345,False,0.0679,False,False
PATIENT_CONTACT,VULNERABLE,81,4.333,-0.4505,-0.9633,True,-0.6172,True,True
