strategy,season,dataset,N,win_rate,implied,residual,roi_pct
Home Dogs Band B,2022,DISC,215,0.4372093023255814,0.4677047225202864,-0.03049542019470497,-10.581395348837187
Home Dogs Band B,2023,DISC,358,0.4664804469273743,0.46940274328779424,-0.0029222963604199625,-4.797896812356227
Home Dogs Band B,2024,VAL,235,0.4340425531914894,0.46966214083285307,-0.03561958764136369,-11.3249895702962
Home Dogs Band B,2025,OOS,254,0.5393700787401575,0.47022616538496953,0.06914391335518799,9.501445213700901
Home Dogs Band C,2022,DISC,347,0.43515850144092216,0.45821479230295675,-0.02305629086203459,-8.87608069164266
Home Dogs Band C,2023,DISC,536,0.4458955223880597,0.4604142820825299,-0.014518759694470196,-7.172848990342401
Home Dogs Band C,2024,VAL,379,0.43535620052770446,0.4595772319422928,-0.024221031414588312,-8.953489575249627
Home Dogs Band C,2025,OOS,402,0.5174129353233831,0.46015858359236933,0.05725435173101373,7.30937085641798
Home Dogs Band C + Rest Adv,2022,DISC,11,0.36363636363636365,0.46021619225686833,-0.09657982862050468,-24.545454545454547
Home Dogs Band C + Rest Adv,2023,DISC,28,0.35714285714285715,0.4642139501347429,-0.10707109299188577,-25.7843137254902
Home Dogs Band C + Rest Adv,2024,VAL,15,0.3333333333333333,0.45856228676796135,-0.12522895343462803,-31.2
Home Dogs Band C + Rest Adv,2025,OOS,17,0.47058823529411764,0.45804353572965617,0.01254469956446147,-2.465974625144175
Home Dogs Band B + Day,2022,DISC,73,0.3698630136986301,0.466555062699459,-0.0966920490008289,-24.17808219178081
Home Dogs Band B + Day,2023,DISC,84,0.5119047619047619,0.4692655862614956,0.04263917564326625,4.702847805788983
Home Dogs Band B + Day,2024,VAL,71,0.4084507042253521,0.46950841176380687,-0.06105770753845474,-16.616404308202156
Home Dogs Band B + Day,2025,OOS,66,0.42424242424242425,0.47111470689469687,-0.04687228265227261,-13.99484539751633
Home Dogs Band C + Day,2022,DISC,112,0.42857142857142855,0.4586213211981824,-0.030049892626753838,-9.866071428571429
Home Dogs Band C + Day,2023,DISC,133,0.47368421052631576,0.4592803490450543,0.014403861481261437,-1.0748931151407959
Home Dogs Band C + Day,2024,VAL,115,0.40869565217391307,0.4599210778788645,-0.05122542570495142,-14.55447570332481
Home Dogs Band C + Day,2025,OOS,109,0.43119266055045874,0.45956093782189633,-0.028368277271437592,-10.10697060767044
Away Fav Band C + Night,2022,DISC,235,0.5617021276595745,0.5419789576385977,0.019723170020976788,-0.6771109945830424
Away Fav Band C + Night,2023,DISC,403,0.5632754342431762,0.539211491877807,0.02406394236536913,0.14047077511942216
Away Fav Band C + Night,2024,VAL,264,0.553030303030303,0.5405725494315926,0.012457753598710375,-1.760147237920796
Away Fav Band C + Night,2025,OOS,293,0.45051194539249145,0.5396190840220281,-0.08910713862953662,-20.41928892209343
Home Fav Band B,2022,DISC,276,0.5543478260869565,0.5321335722422885,0.02221425384466802,-0.17372723894463069
Home Fav Band B,2023,DISC,432,0.5138888888888888,0.5316883513896155,-0.017799462500726615,-7.351048269185255
Home Fav Band B,2024,VAL,350,0.4857142857142857,0.5304397219370053,-0.04472543622271957,-12.377329455351132
Home Fav Band B,2025,OOS,389,0.5347043701799485,0.5288095454578108,0.005894824722137759,-3.500813258272744
Home Fav Band C,2022,DISC,448,0.5915178571428571,0.5417950276208604,0.04972282952199669,4.615073218321719
Home Fav Band C,2023,DISC,726,0.5303030303030303,0.5421437495621061,-0.011840719259075816,-6.132190102645574
Home Fav Band C,2024,VAL,590,0.5169491525423728,0.5413965087121627,-0.02444735616978988,-8.623174626727725
Home Fav Band C,2025,OOS,608,0.5263157894736842,0.5388386194973233,-0.012522830023639075,-6.6301140142050645
