axis,band,split,dataset,N,win_rate,implied,residual,roi_pct
orientation,B,Home Dogs,Disc,573,0.45549738219895286,0.46876561507660025,-0.01326823287764739,-6.96797043424698
orientation,B,Home Dogs,Val,235,0.4340425531914894,0.46966214083285307,-0.03561958764136369,-11.3249895702962
orientation,B,Home Dogs,OOS,254,0.5393700787401575,0.47022616538496953,0.06914391335518799,9.501445213700901
orientation,B,Home Favs,Disc,708,0.5296610169491526,0.5318619120609965,-0.002200895111843959,-4.55310956248128
orientation,B,Home Favs,Val,350,0.4857142857142857,0.5304397219370053,-0.04472543622271957,-12.377329455351132
orientation,B,Home Favs,OOS,389,0.5347043701799485,0.5288095454578108,0.005894824722137759,-3.500813258272744
orientation,B,Away Favs (bet away),Disc,573,0.5445026178010471,0.5312343849233998,0.013268232877647335,-1.834518413345159
orientation,B,Away Favs (bet away),Val,235,0.5659574468085107,0.530337859167147,0.03561958764136364,2.3446550513288886
orientation,B,Away Favs (bet away),OOS,254,0.46062992125984253,0.5297738346150305,-0.06914391335518794,-16.97771399250462
orientation,C,Home Dogs,Disc,883,0.4416761041902605,0.4595499299267972,-0.01787382573653673,-7.8421823995736455
orientation,C,Home Dogs,Val,379,0.43535620052770446,0.4595772319422928,-0.024221031414588312,-8.953489575249627
orientation,C,Home Dogs,OOS,402,0.5174129353233831,0.46015858359236933,0.05725435173101373,7.30937085641798
orientation,C,Home Favs,Disc,1174,0.5536626916524702,0.5420106767940669,0.011652014858403281,-2.031019772327557
orientation,C,Home Favs,Val,590,0.5169491525423728,0.5413965087121627,-0.02444735616978988,-8.623174626727725
orientation,C,Home Favs,OOS,608,0.5263157894736842,0.5388386194973233,-0.012522830023639075,-6.6301140142050645
orientation,C,Away Favs (bet away),Disc,883,0.5583238958097395,0.5404500700732028,0.01787382573653673,-0.9129334436703345
orientation,C,Away Favs (bet away),Val,379,0.5646437994722955,0.5404227680577072,0.024221031414588312,0.3346744478281488
orientation,C,Away Favs (bet away),OOS,402,0.48258706467661694,0.5398414164076306,-0.057254351731013675,-14.686739815087362
rest,B,rest_adv (diff>0),Disc,61,0.4262295081967213,0.5034933850563921,-0.07726387685967079,-19.874514749153125
rest,B,rest_adv (diff>0),Val,28,0.42857142857142855,0.5119292496292086,-0.08335782105778006,-19.672161172161175
rest,B,rest_adv (diff>0),OOS,18,0.4444444444444444,0.5078569617778412,-0.06341251733339681,-15.123284197062858
rest,B,rest_disadv (diff<0),Disc,42,0.5952380952380952,0.5076973949425021,0.08754070029559313,10.723443223443223
rest,B,rest_disadv (diff<0),OOS,18,0.4444444444444444,0.5040568840279369,-0.059612439583492494,-15.330435508513297
rest,B,rest_even (diff==0),Disc,1178,0.4966044142614601,0.503501310782727,-0.006896896521266849,-5.4790219395131965
