interaction,band,dataset,N,win_rate,implied,residual,roi_pct
home_dog_rest_adv,B,Disc,28,0.32142857142857145,0.4712350585075446,-0.14980648707897315,-34.891456582633054
home_dog_rest_adv,C,Disc,39,0.358974358974359,0.4630863773999577,-0.10411201842559875,-25.43489190548014
home_dog_rest_adv,C,Val,15,0.3333333333333333,0.45856228676796135,-0.12522895343462803,-31.2
home_dog_rest_adv,C,OOS,17,0.47058823529411764,0.45804353572965617,0.01254469956446147,-2.465974625144175
home_dog_day,B,Disc,157,0.445859872611465,0.468005279127555,-0.022145406516090038,-8.72586486824027
home_dog_day,B,Val,71,0.4084507042253521,0.46950841176380687,-0.06105770753845474,-16.616404308202156
home_dog_day,B,OOS,66,0.42424242424242425,0.47111470689469687,-0.04687228265227261,-13.99484539751633
home_dog_day,C,Disc,245,0.4530612244897959,0.45897907917219866,-0.005917854682402746,-5.093717486994797
home_dog_day,C,Val,115,0.40869565217391307,0.4599210778788645,-0.05122542570495142,-14.55447570332481
home_dog_day,C,OOS,109,0.43119266055045874,0.45956093782189633,-0.028368277271437592,-10.10697060767044
home_dog_rest_adv_day,C,Disc,6,0.5,0.4593240778977559,0.04067592210224408,6.666666666666665
away_fav_night,B,Disc,416,0.5408653846153846,0.530947431211861,0.009917953403523527,-2.455282935881288
away_fav_night,B,Val,164,0.5548780487804879,0.5302713057287185,0.024606743051769353,0.3871350199598613
away_fav_night,B,OOS,188,0.42021276595744683,0.5300857694003603,-0.10987300344291351,-24.322839050714194
away_fav_night,C,Disc,638,0.5626959247648903,0.5402308562254337,0.022465068539456623,-0.16067611497474552
away_fav_night,C,Val,264,0.553030303030303,0.5405725494315926,0.012457753598710375,-1.760147237920796
away_fav_night,C,OOS,293,0.45051194539249145,0.5396190840220281,-0.08910713862953662,-20.41928892209343
