split,N,label,wr,implied,resid,roi
DISC,346,Fav SP declining + Dog SP improving,0.4277456647398844,0.46804837442576586,-0.040302709685881455,-0.126768044755124
VAL,156,Fav SP declining + Dog SP improving,0.5064102564102564,0.46600642398654735,0.04040383242370904,0.042545143672594654
OOS,152,Fav SP declining + Dog SP improving,0.4736842105263158,0.4689749575548824,0.004709252971433431,-0.031029046621706562
DISC,724,SP ERA mismatch favors dog,0.4350828729281768,0.46759688018660694,-0.03251400725843012,-0.11005898860464995
VAL,327,SP ERA mismatch favors dog,0.4923547400611621,0.4671689531973844,0.025185786863777704,0.010097954852407083
OOS,322,SP ERA mismatch favors dog,0.45341614906832295,0.46823670954989505,-0.014820560481572098,-0.07190272460115849
DISC,573,Fav SP materially declining (div<-0.5),0.4153577661431065,0.4672488238751258,-0.0518910577320193,-0.15021323465836348
VAL,245,Fav SP materially declining (div<-0.5),0.5061224489795919,0.46716285190340057,0.038959597076191343,0.04005450722857684
OOS,248,Fav SP materially declining (div<-0.5),0.43145161290322576,0.468350566872049,-0.036898953968823256,-0.11707415516438793
DISC,503,Dog SP materially improving (div>0.5),0.441351888667992,0.4685236831217542,-0.027171794453762166,-0.09996840393285251
VAL,263,Dog SP materially improving (div>0.5),0.5019011406844107,0.4678990610326841,0.034002079651726635,0.028951212393395338
OOS,205,Dog SP materially improving (div>0.5),0.5170731707317073,0.46666410864597296,0.05040906208573437,0.06050513253490706
DISC,65,Fav SP rep trap (long<3.5 short>4.5),0.46153846153846156,0.47137898615654783,-0.009840524618086266,-0.06576956376956376
VAL,35,Fav SP rep trap (long<3.5 short>4.5),0.5428571428571429,0.46784264486313776,0.07501449799400517,0.11144465867154942
OOS,35,Fav SP rep trap (long<3.5 short>4.5),0.5428571428571429,0.46506206736964006,0.07779507548750286,0.10972933684327311
DISC,82,Fav BP overworked + Dog BP fresh,0.41463414634146345,0.4673360502680718,-0.05270190392660834,-0.1517866510979854
VAL,44,Fav BP overworked + Dog BP fresh,0.4772727272727273,0.47310630951727906,0.004166417755448237,-0.038737090795914315
OOS,36,Fav BP overworked + Dog BP fresh,0.4444444444444444,0.4675088674321405,-0.023064422987696065,-0.09007640768862865
DISC,775,BP workload mismatch favors dog,0.46451612903225803,0.4664466751637292,-0.0019305461314711447,-0.04677051823010076
VAL,406,BP workload mismatch favors dog,0.48768472906403937,0.46665609884210657,0.021028630221932798,-0.0006578221675295007
OOS,333,BP workload mismatch favors dog,0.48948948948948945,0.46759478449368486,0.021894704995804593,0.0017654125721801779
DISC,670,Fav BP recent blowup (short>>long),0.4537313432835821,0.46623816459460354,-0.012506821311021432,-0.06932835356364768
VAL,346,Fav BP recent blowup (short>>long),0.44219653179190754,0.469298454438003,-0.027101922646095455,-0.0980397504946978
OOS,327,Fav BP recent blowup (short>>long),0.4892966360856269,0.4665839344757734,0.022712701609853503,0.0053604746198705885
DISC,1402,Dog better recent form (RD5),0.46861626248216837,0.4672851037232908,0.0013311587588775708,-0.039658573208963405
VAL,687,Dog better recent form (RD5),0.4556040756914119,0.4686263177418831,-0.0130222420504712,-0.06980099866391501
OOS,716,Dog better recent form (RD5),0.5097765363128491,0.4687027013238876,0.041073834988961555,0.040962321977754554
DISC,362,Fav SP improving + Dog SP declining (fav),0.511049723756906,0.5351618055554225,-0.024112081798516427,-0.0853965369300796
VAL,168,Fav SP improving + Dog SP declining (fav),0.5416666666666666,0.535306042919147,0.006360623747519667,-0.03184068495643492
OOS,160,Fav SP improving + Dog SP declining (fav),0.4875,0.5318889187177396,-0.04438891871773959,-0.1236617250746471
DISC,899,Fav hot streak RD5>1.5 (fav),0.5272525027808677,0.5344684102510551,-0.00721590747018741,-0.054438705731640474
VAL,416,Fav hot streak RD5>1.5 (fav),0.5096153846153846,0.5315211024598085,-0.021905717844423966,-0.08158890431314132
OOS,440,Fav hot streak RD5>1.5 (fav),0.5318181818181819,0.5342576317040163,-0.0024394498858344438,-0.04784970539329503
DISC,248,Fav SP elite+confirming (fav),0.5282258064516129,0.5336250133790172,-0.005399206927404365,-0.050363159936836654
VAL,133,Fav SP elite+confirming (fav),0.5263157894736842,0.5367689654750498,-0.010453176001365638,-0.056487485075773426
OOS,137,Fav SP elite+confirming (fav),0.5109489051094891,0.5330710519952054,-0.022122146885716343,-0.08814877222956907
DISC,326,INT1: SP+RD5 mismatch (dog),0.4141104294478528,0.4684373013551686,-0.05432687190731578,-0.15315143755959346
VAL,151,INT1: SP+RD5 mismatch (dog),0.49006622516556286,0.46901925691250823,0.021046968253054632,0.0003931836966507688
OOS,141,INT1: SP+RD5 mismatch (dog),0.5106382978723405,0.46892553720428887,0.04171276066805163,0.04024128258153995
DISC,256,INT2: SP+BP mismatch (dog),0.421875,0.46796170042864316,-0.04608670042864316,-0.13891199835363435
VAL,138,INT2: SP+BP mismatch (dog),0.48550724637681164,0.46768983216161897,0.017817414215192673,-0.005299399220967838
OOS,127,INT2: SP+BP mismatch (dog),0.4724409448818898,0.46866187938951454,0.0037790654923752776,-0.03406832928990402
DISC,39,INT3: Fav rep trap + dog form (dog),0.3589743589743589,0.4706345411623073,-0.11166018218794838,-0.2756998556998557
VAL,29,INT3: Fav rep trap + dog form (dog),0.4137931034482759,0.4727588518705488,-0.05896574842227287,-0.15058050806529505
OOS,21,INT3: Fav rep trap + dog form (dog),0.5238095238095238,0.4675264990295912,0.05628302477993263,0.06519394049375024
DISC,124,INT4: Triple mismatch SP+BP+RD5 (dog),0.41129032258064513,0.4674834725990267,-0.056193150018381544,-0.15739697051841262
VAL,70,INT4: Triple mismatch SP+BP+RD5 (dog),0.5142857142857142,0.47134428650005844,0.042941427785655795,0.0435105557374465
OOS,60,INT4: Triple mismatch SP+BP+RD5 (dog),0.4833333333333333,0.4691826410648172,0.014150692268516063,-0.01677605042771769
DISC,272,INT5: Fav SP improving + hot streak (fav),0.5661764705882353,0.5325379349585141,0.03363853562972119,0.01742471392889992
VAL,141,INT5: Fav SP improving + hot streak (fav),0.5390070921985816,0.5324667711403254,0.006540321058256193,-0.02632783745577419
OOS,125,INT5: Fav SP improving + hot streak (fav),0.44,0.5348253121862102,-0.09482531218621021,-0.21756146424486153
