strategy,decision,disc_N,disc_resid,disc_roi,val_N,val_resid,val_roi,oos_N,oos_resid,oos_roi
Fav SP declining + Dog SP improving,WATCH,346,-0.040302709685881455,-0.126768044755124,156,0.04040383242370904,0.042545143672594654,152,0.004709252971433431,-0.031029046621706562
SP ERA mismatch favors dog,KILL,724,-0.03251400725843012,-0.11005898860464995,327,0.025185786863777704,0.010097954852407083,322,-0.014820560481572098,-0.07190272460115849
Fav SP materially declining (div<-0.5),KILL,573,-0.0518910577320193,-0.15021323465836348,245,0.038959597076191343,0.04005450722857684,248,-0.036898953968823256,-0.11707415516438793
Dog SP materially improving (div>0.5),WATCH,503,-0.027171794453762166,-0.09996840393285251,263,0.034002079651726635,0.028951212393395338,205,0.05040906208573437,0.06050513253490706
Fav SP rep trap (long<3.5 short>4.5),KILL,65,-0.009840524618086266,-0.06576956376956376,35,0.07501449799400517,0.11144465867154942,35,0.07779507548750286,0.10972933684327311
Fav BP overworked + Dog BP fresh,KILL,82,-0.05270190392660834,-0.1517866510979854,44,0.004166417755448237,-0.038737090795914315,36,-0.023064422987696065,-0.09007640768862865
BP workload mismatch favors dog,WATCH,775,-0.0019305461314711447,-0.04677051823010076,406,0.021028630221932798,-0.0006578221675295007,333,0.021894704995804593,0.0017654125721801779
Fav BP recent blowup (short>>long),KILL,670,-0.012506821311021432,-0.06932835356364768,346,-0.027101922646095455,-0.0980397504946978,327,0.022712701609853503,0.0053604746198705885
Dog better recent form (RD5),WATCH,1402,0.0013311587588775708,-0.039658573208963405,687,-0.0130222420504712,-0.06980099866391501,716,0.041073834988961555,0.040962321977754554
Fav SP improving + Dog SP declining (fav),KILL,362,-0.024112081798516427,-0.0853965369300796,168,0.006360623747519667,-0.03184068495643492,160,-0.04438891871773959,-0.1236617250746471
Fav hot streak RD5>1.5 (fav),KILL,899,-0.00721590747018741,-0.054438705731640474,416,-0.021905717844423966,-0.08158890431314132,440,-0.0024394498858344438,-0.04784970539329503
Fav SP elite+confirming (fav),KILL,248,-0.005399206927404365,-0.050363159936836654,133,-0.010453176001365638,-0.056487485075773426,137,-0.022122146885716343,-0.08814877222956907
INT1: SP+RD5 mismatch (dog),WATCH,326,-0.05432687190731578,-0.15315143755959346,151,0.021046968253054632,0.0003931836966507688,141,0.04171276066805163,0.04024128258153995
INT2: SP+BP mismatch (dog),WATCH,256,-0.04608670042864316,-0.13891199835363435,138,0.017817414215192673,-0.005299399220967838,127,0.0037790654923752776,-0.03406832928990402
INT3: Fav rep trap + dog form (dog),KILL,39,-0.11166018218794838,-0.2756998556998557,29,-0.05896574842227287,-0.15058050806529505,21,0.05628302477993263,0.06519394049375024
INT4: Triple mismatch SP+BP+RD5 (dog),WATCH,124,-0.056193150018381544,-0.15739697051841262,70,0.042941427785655795,0.0435105557374465,60,0.014150692268516063,-0.01677605042771769
INT5: Fav SP improving + hot streak (fav),WATCH,272,0.03363853562972119,0.01742471392889992,141,0.006540321058256193,-0.02632783745577419,125,-0.09482531218621021,-0.21756146424486153
