season,N,label,wr,implied,resid,roi
2022,121,Fav SP declining + Dog SP improving,0.47933884297520657,0.46761452809483683,0.011724314880369735,-0.02102787020142391
2023,225,Fav SP declining + Dog SP improving,0.4,0.46828168734151,-0.06828168734150997,-0.18363276084844715
2024,156,Fav SP declining + Dog SP improving,0.5064102564102564,0.46600642398654735,0.04040383242370904,0.042545143672594654
2025,152,Fav SP declining + Dog SP improving,0.4736842105263158,0.4689749575548824,0.004709252971433431,-0.031029046621706562
2022,254,SP ERA mismatch favors dog,0.4724409448818898,0.466654959382826,0.005785985499063839,-0.031128779357125828
2023,470,SP ERA mismatch favors dog,0.4148936170212766,0.46810591823801206,-0.05321230121673548,-0.15271488892139706
2024,327,SP ERA mismatch favors dog,0.4923547400611621,0.4671689531973844,0.025185786863777704,0.010097954852407083
2025,322,SP ERA mismatch favors dog,0.45341614906832295,0.46823670954989505,-0.014820560481572098,-0.07190272460115849
2022,197,Fav SP materially declining (div<-0.5),0.4365482233502538,0.46543149731213307,-0.028883273961879286,-0.10244907376887072
2023,376,Fav SP materially declining (div<-0.5),0.4042553191489362,0.468200986994566,-0.06394566784562983,-0.17523860618823073
2024,245,Fav SP materially declining (div<-0.5),0.5061224489795919,0.46716285190340057,0.038959597076191343,0.04005450722857684
2025,248,Fav SP materially declining (div<-0.5),0.43145161290322576,0.468350566872049,-0.036898953968823256,-0.11707415516438793
2022,179,Dog SP materially improving (div>0.5),0.44692737430167595,0.4692166903231464,-0.02228931602147044,-0.08990785750562286
2023,324,Dog SP materially improving (div>0.5),0.43827160493827155,0.4681408180320962,-0.02986921309382462,-0.10552654532320473
2024,263,Dog SP materially improving (div>0.5),0.5019011406844107,0.4678990610326841,0.034002079651726635,0.028951212393395338
2025,205,Dog SP materially improving (div>0.5),0.5170731707317073,0.46666410864597296,0.05040906208573437,0.06050513253490706
2022,27,Fav SP rep trap (long<3.5 short>4.5),0.5185185185185186,0.46855317093532634,0.049965347583192266,0.06044572711239375
2023,38,Fav SP rep trap (long<3.5 short>4.5),0.42105263157894735,0.47338680223478413,-0.05233417065583679,-0.15544884939621784
2024,35,Fav SP rep trap (long<3.5 short>4.5),0.5428571428571429,0.46784264486313776,0.07501449799400517,0.11144465867154942
2025,35,Fav SP rep trap (long<3.5 short>4.5),0.5428571428571429,0.46506206736964006,0.07779507548750286,0.10972933684327311
2022,32,Fav BP overworked + Dog BP fresh,0.40625,0.46481159757833346,-0.05856159757833346,-0.16959550865800865
2023,50,Fav BP overworked + Dog BP fresh,0.42000000000000004,0.46895169998950426,-0.048951699989504216,-0.1403889822595705
2024,44,Fav BP overworked + Dog BP fresh,0.4772727272727273,0.47310630951727906,0.004166417755448237,-0.038737090795914315
2025,36,Fav BP overworked + Dog BP fresh,0.4444444444444444,0.4675088674321405,-0.023064422987696065,-0.09007640768862865
2022,252,BP workload mismatch favors dog,0.4563492063492064,0.4645828292750528,-0.008233622925846396,-0.06325843468700611
2023,523,BP workload mismatch favors dog,0.46845124282982786,0.4673447423988084,0.0011065004310194526,-0.03882605370402018
2024,406,BP workload mismatch favors dog,0.48768472906403937,0.46665609884210657,0.021028630221932798,-0.0006578221675295007
2025,333,BP workload mismatch favors dog,0.48948948948948945,0.46759478449368486,0.021894704995804593,0.0017654125721801779
2022,243,Fav BP recent blowup (short>>long),0.44855967078189296,0.4637143271907037,-0.015154656408810752,-0.07612367056811502
2023,427,Fav BP recent blowup (short>>long),0.45667447306791564,0.46767444677059344,-0.010999973702677801,-0.06546122936672599
2024,346,Fav BP recent blowup (short>>long),0.44219653179190754,0.469298454438003,-0.027101922646095455,-0.0980397504946978
2025,327,Fav BP recent blowup (short>>long),0.4892966360856269,0.4665839344757734,0.022712701609853503,0.0053604746198705885
2022,533,Dog better recent form (RD5),0.4465290806754222,0.4659016639742952,-0.019372583298873036,-0.0812683251707642
2023,869,Dog better recent form (RD5),0.4821634062140391,0.4681336346625482,0.014029771551490877,-0.014137286907881914
2024,687,Dog better recent form (RD5),0.4556040756914119,0.4686263177418831,-0.0130222420504712,-0.06980099866391501
2025,716,Dog better recent form (RD5),0.5097765363128491,0.4687027013238876,0.041073834988961555,0.040962321977754554
2022,135,Fav SP improving + Dog SP declining (fav),0.5851851851851851,0.5376918625114377,0.047493322673747396,0.040881475078891734
2023,227,Fav SP improving + Dog SP declining (fav),0.4669603524229075,0.5336571461322416,-0.06669679370933407,-0.16049579517330045
2024,168,Fav SP improving + Dog SP declining (fav),0.5416666666666666,0.535306042919147,0.006360623747519667,-0.03184068495643492
2025,160,Fav SP improving + Dog SP declining (fav),0.4875,0.5318889187177396,-0.04438891871773959,-0.1236617250746471
2022,324,Fav hot streak RD5>1.5 (fav),0.5802469135802469,0.5357426188515125,0.044504294728734406,0.03936132172255784
2023,575,Fav hot streak RD5>1.5 (fav),0.4973913043478261,0.5337504214048843,-0.03635911705705819,-0.1072929820710496
