label,N,WR,ImpWR,Resid,ROI_fav,ROI_dog,phase,dim
SP-LED,166,0.6265,0.5371,0.0894,11.8,-22.75,Discovery,reason
OFFENSE-LED,100,0.56,0.5378,0.0222,-0.12,-8.74,Discovery,reason
BP-LED,55,0.4909,0.5344,-0.0435,-11.57,5.4,Discovery,reason
HOME-LED,63,0.6032,0.5364,0.0668,7.75,-18.08,Discovery,reason
MIXED,540,0.5111,0.5361,-0.025,-8.56,1.09,Discovery,reason
BASELINE,924,0.5422,0.5364,0.0058,-3.06,-5.31,Discovery,baseline
SP-LED,68,0.6471,0.5374,0.1097,15.6,-26.69,..2022,reason
OFFENSE-LED,45,0.6444,0.54,0.1044,14.51,-25.89,..2022,reason
BP-LED,29,0.4828,0.5354,-0.0527,-13.36,7.07,..2022,reason
HOME-LED,27,0.5926,0.5365,0.0561,5.91,-15.74,..2022,reason
MIXED,267,0.5318,0.5374,-0.0056,-5.1,-2.96,..2022,reason
BASELINE,436,0.5619,0.5375,0.0244,0.28,-9.15,..2022,baseline
SP-LED,98,0.6122,0.5369,0.0754,9.17,-20.01,..2023,reason
OFFENSE-LED,55,0.4909,0.5359,-0.045,-12.09,5.29,..2023,reason
BP-LED,26,0.5,0.5333,-0.0333,-9.58,3.54,..2023,reason
HOME-LED,36,0.6111,0.5363,0.0748,9.13,-19.83,..2023,reason
MIXED,273,0.4908,0.5348,-0.044,-11.94,5.05,..2023,reason
BASELINE,488,0.5246,0.5354,-0.0108,-6.04,-1.87,..2023,baseline
SP-LED,96,0.4792,0.539,-0.0598,-14.65,8.47,Validation,reason
OFFENSE-LED,50,0.58,0.5345,0.0455,3.78,-13.88,Validation,reason
BP-LED,35,0.4857,0.5382,-0.0525,-13.61,6.57,Validation,reason
HOME-LED,49,0.5102,0.5346,-0.0244,-8.85,0.41,Validation,reason
MIXED,333,0.5195,0.5359,-0.0163,-7.17,-0.9,Validation,reason
BASELINE,563,0.5151,0.5363,-0.0212,-8.02,0.12,Validation,baseline
SP-LED,109,0.5138,0.5366,-0.0228,-8.85,-0.25,OOS,reason
OFFENSE-LED,50,0.5,0.5327,-0.0327,-9.97,2.72,OOS,reason
BP-LED,29,0.3793,0.5363,-0.157,-32.47,27.73,OOS,reason
HOME-LED,45,0.4444,0.5355,-0.0911,-21.37,13.36,OOS,reason
MIXED,358,0.4972,0.5339,-0.0367,-11.05,3.07,OOS,reason
BASELINE,591,0.4907,0.5346,-0.0439,-12.39,4.42,OOS,baseline
STARTER-HOLD,162,0.5432,0.5366,0.0066,-2.94,-5.55,Discovery,winpath
LATE-CONVERT,248,0.5121,0.5365,-0.0244,-8.44,0.97,Discovery,winpath
GRIND-OUT,105,0.5333,0.5372,-0.0039,-5.02,-3.68,Discovery,winpath
VOLATILE,77,0.5065,0.5357,-0.0292,-9.25,2.08,Discovery,winpath
UNCLASSIFIED,332,0.5753,0.5361,0.0392,2.97,-12.11,Discovery,winpath
BASELINE,924,0.5422,0.5364,0.0058,-3.06,-5.31,Discovery,baseline
STARTER-HOLD,87,0.5517,0.5371,0.0147,-1.32,-6.95,..2022,winpath
LATE-CONVERT,95,0.5684,0.5386,0.0298,1.21,-10.32,..2022,winpath
GRIND-OUT,65,0.5385,0.5363,0.0021,-4.1,-5.15,..2022,winpath
VOLATILE,34,0.5588,0.5361,0.0227,0.24,-8.38,..2022,winpath
UNCLASSIFIED,155,0.5742,0.5379,0.0363,2.46,-11.52,..2022,winpath
BASELINE,436,0.5619,0.5375,0.0244,0.28,-9.15,..2022,baseline
STARTER-HOLD,75,0.5333,0.536,-0.0027,-4.81,-3.92,..2023,winpath
LATE-CONVERT,153,0.4771,0.5351,-0.058,-14.44,7.98,..2023,winpath
GRIND-OUT,40,0.525,0.5387,-0.0137,-6.52,-1.27,..2023,winpath
VOLATILE,43,0.4651,0.5354,-0.0703,-16.75,10.35,..2023,winpath
UNCLASSIFIED,177,0.5763,0.5346,0.0417,3.42,-12.62,..2023,winpath
BASELINE,488,0.5246,0.5354,-0.0108,-6.04,-1.87,..2023,baseline
STARTER-HOLD,92,0.4891,0.5388,-0.0497,-13.08,6.02,Validation,winpath
LATE-CONVERT,127,0.5669,0.5363,0.0306,1.18,-10.73,Validation,winpath
GRIND-OUT,102,0.4902,0.5357,-0.0455,-12.4,5.1,Validation,winpath
VOLATILE,34,0.3824,0.5321,-0.1498,-30.8,27.06,Validation,winpath
UNCLASSIFIED,208,0.5288,0.5362,-0.0073,-5.54,-2.7,Validation,winpath
BASELINE,563,0.5151,0.5363,-0.0212,-8.02,0.12,Validation,baseline
STARTER-HOLD,89,0.5169,0.5355,-0.0187,-7.54,-0.25,OOS,winpath
LATE-CONVERT,165,0.4727,0.5336,-0.0608,-15.32,8.01,OOS,winpath
GRIND-OUT,76,0.4868,0.5362,-0.0493,-13.33,5.57,OOS,winpath
VOLATILE,59,0.5085,0.5343,-0.0259,-9.57,0.28,OOS,winpath
UNCLASSIFIED,202,0.4901,0.5344,-0.0443,-12.6,4.33,OOS,winpath
BASELINE,591,0.4907,0.5346,-0.0439,-12.39,4.42,OOS,baseline
SP-LED+STARTER-HOLD,52,0.5577,0.5366,0.0211,-0.49,-8.75,Discovery,cross
SP-LED+STARTER-HOLD,27,0.6296,0.5364,0.0932,12.52,-23.52,..2022,cross
SP-LED+STARTER-HOLD,25,0.48,0.5368,-0.0568,-14.54,7.2,..2023,cross
SP-LED+STARTER-HOLD,34,0.5,0.5398,-0.0398,-11.07,4.35,Validation,cross
