overlay,disc_n,disc_dog_wr,disc_resid,disc_roi,val_n,val_dog_wr,val_resid,val_roi,oos_n,oos_dog_wr,oos_resid,oos_roi,verdict
dog_home+bp_adv,73,0.6301,0.1646,29.75,47,0.4894,0.0223,0.56,61,0.623,0.1562,27.16,CONFIRMED
dog_home+bp_adv+off_adv,29,0.5862,0.1209,21.38,21,0.5238,0.0572,7.67,0,,,,NO_SIGNAL
bp_adv_dog_1,241,0.527,0.0624,8.68,147,0.517,0.0519,6.3,179,0.5084,0.0416,3.73,CONFIRMED
total_high,188,0.5213,0.0578,8.25,89,0.4719,0.0069,-2.83,132,0.4621,-0.0037,-5.52,VAL_PASS_OOS_FAIL
sp_gap_wide,176,0.517,0.0533,6.98,115,0.4696,0.0055,-3.22,119,0.5378,0.0734,10.96,CONFIRMED
night+bp_adv,180,0.5167,0.0523,6.61,109,0.4862,0.0214,0.01,135,0.5259,0.0599,7.63,CONFIRMED
off_adv_dog_0,286,0.514,0.0503,6.19,163,0.4663,0.0027,-3.75,187,0.508,0.0423,4.17,CONFIRMED
daynight_night,381,0.4987,0.0349,3.13,245,0.498,0.0337,2.64,268,0.5187,0.0533,6.5,CONFIRMED
dog_rested_0,519,0.4933,0.0294,1.99,322,0.4814,0.0173,-0.65,348,0.5029,0.0368,3.1,CONFIRMED
fav_imp_heavy,126,0.4762,0.0285,2.29,75,0.4133,-0.0353,-11.55,82,0.4756,0.027,1.34,DISC_ONLY
fav_imp_moderate,255,0.4902,0.0273,1.61,148,0.4797,0.0179,-0.37,138,0.4928,0.0295,1.72,CONFIRMED
bp_adv+off_adv,116,0.4914,0.0273,1.65,80,0.5125,0.0479,5.8,77,0.4805,0.0144,-1.68,CONFIRMED
dog_home,226,0.4912,0.0273,1.55,129,0.4651,-0.0004,-4.12,140,0.5786,0.1122,18.55,DISC_ONLY
MIXED_all,540,0.4889,0.025,1.09,333,0.4805,0.0163,-0.9,358,0.5028,0.0367,3.07,CONFIRMED
dog_away,314,0.4873,0.0233,0.76,204,0.4902,0.0269,1.13,218,0.4541,-0.0117,-6.87,VAL_PASS_OOS_FAIL
slight_fav+dog_home,66,0.5,0.0216,-0.06,48,0.4375,-0.0403,-12.33,56,0.5714,0.0925,13.91,DISC_ONLY
fav_imp_slight,159,0.4969,0.0185,-0.68,110,0.5273,0.0495,5.64,138,0.529,0.0497,5.46,WEAK_CONFIRMED
sp_gap_tight,178,0.4775,0.0143,-1.28,121,0.5124,0.048,5.84,112,0.4643,-0.0018,-5.3,NO_SIGNAL
total_mid,209,0.4785,0.0137,-1.69,138,0.5,0.0351,3.01,153,0.5621,0.0955,15.32,WEAK_CONFIRMED
low_total+dog_home,65,0.4769,0.0125,-1.71,42,0.4524,-0.0108,-6.55,23,0.6957,0.2319,43.48,NO_SIGNAL
sp_gap_moderate,186,0.4731,0.0084,-2.21,97,0.4536,-0.0103,-6.58,127,0.5039,0.0364,3.06,NO_SIGNAL
daynight_day,159,0.4654,0.0013,-3.8,88,0.4318,-0.0319,-10.77,90,0.4556,-0.0125,-7.12,NO_SIGNAL
total_low,143,0.4615,-0.0016,-4.25,106,0.4623,-0.0001,-4.38,73,0.4521,-0.0134,-7.07,NO_SIGNAL
off_adv_dog_1,254,0.4606,-0.0035,-4.64,170,0.4941,0.0294,1.83,171,0.4971,0.0306,1.88,NO_SIGNAL
bp_adv_dog_0,299,0.4582,-0.0052,-5.02,186,0.4516,-0.0118,-6.6,179,0.4972,0.0318,2.41,NO_SIGNAL
dog_home+off_adv,88,0.4545,-0.0091,-5.75,61,0.4754,0.0087,-2.33,60,0.55,0.0852,13.32,NO_SIGNAL
sp_tight+dog_home,87,0.4368,-0.0266,-9.94,57,0.5263,0.0606,8.9,48,0.5625,0.0976,15.29,NO_SIGNAL
day+dog_home,74,0.4324,-0.0309,-10.59,31,0.4516,-0.0128,-6.45,32,0.4062,-0.061,-17.08,NO_SIGNAL
dog_rested_1,21,0.381,-0.0836,-21.05,0,,,,0,,,,NO_SIGNAL
