context_output,bucket,bucket_n,archetype,response_family,archetype_count,archetype_pct
bre,LOW,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,327,15.72
bre,LOW,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,134,6.44
bre,LOW,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,446,21.44
bre,LOW,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,150,7.21
bre,LOW,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,416,20.0
bre,LOW,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,475,22.84
bre,LOW,2080,STATIC,STATIC,132,6.35
bre,MID,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,306,14.71
bre,MID,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,61,2.93
bre,MID,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,480,23.08
bre,MID,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,98,4.71
bre,MID,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,481,23.12
bre,MID,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,510,24.52
bre,MID,2080,STATIC,STATIC,144,6.92
bre,HIGH,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,366,17.6
bre,HIGH,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,51,2.45
bre,HIGH,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,476,22.88
bre,HIGH,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,72,3.46
bre,HIGH,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,464,22.31
bre,HIGH,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,502,24.13
bre,HIGH,2080,STATIC,STATIC,149,7.16
esp,LOW,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,302,14.52
esp,LOW,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,92,4.42
esp,LOW,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,492,23.65
esp,LOW,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,107,5.14
esp,LOW,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,413,19.86
esp,LOW,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,544,26.15
esp,LOW,2080,STATIC,STATIC,130,6.25
esp,MID,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,302,14.52
esp,MID,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,84,4.04
esp,MID,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,499,23.99
esp,MID,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,99,4.76
esp,MID,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,455,21.88
esp,MID,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,485,23.32
esp,MID,2080,STATIC,STATIC,156,7.5
esp,HIGH,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,395,18.99
esp,HIGH,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,70,3.37
esp,HIGH,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,411,19.76
esp,HIGH,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,114,5.48
esp,HIGH,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,493,23.7
esp,HIGH,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,458,22.02
esp,HIGH,2080,STATIC,STATIC,139,6.68
ss,FRAGILE,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,403,19.38
ss,FRAGILE,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,83,3.99
