group,season,n,inn_1_3_share_mean_pct,inn_1_3_share_median_pct,inn_1_3_share_std_pct
UNIVERSE,2022,356,34.8799,33.3333,25.139
UNIVERSE,2023,518,35.1859,34.058,23.7281
UNIVERSE,2024,422,33.7434,33.3333,24.3987
UNIVERSE,2025,447,35.4266,33.3333,23.94
ADJ1,2022,193,32.0664,33.3333,23.9226
ADJ1,2023,314,33.4048,31.4145,24.9274
ADJ1,2024,230,35.65,33.3333,23.5076
ADJ1,2025,239,34.5865,30.7692,25.4919
ADJ2,2022,257,32.3273,30.7692,22.9796
ADJ2,2023,243,33.1685,33.3333,22.6276
ADJ2,2024,258,37.125,33.3333,25.2957
ADJ2,2025,299,34.2037,33.3333,23.7621
BOARD,2022,509,33.4245,33.3333,24.9108
BOARD,2023,494,34.4625,33.3333,24.575
BOARD,2024,489,30.6759,28.5714,23.9978
BOARD,2025,508,31.3325,28.5714,24.5843
