universe,split,path,n,mean,median,std,gap
TARGET_HIGH_FRAG,DISCOVERY,BREAK,143,10.81,10.0,5.86,1.76
TARGET_HIGH_FRAG,DISCOVERY,SURVIVAL,731,9.05,9.0,4.41,
TARGET_HIGH_FRAG,VALIDATION,BREAK,63,11.46,11.0,5.26,2.82
TARGET_HIGH_FRAG,VALIDATION,SURVIVAL,359,8.64,8.0,3.83,
TARGET_HIGH_FRAG,OOS_2025,BREAK,57,12.67,11.0,5.53,3.63
TARGET_HIGH_FRAG,OOS_2025,SURVIVAL,390,9.04,8.0,4.61,
TARGET_HIGH_FRAG,ALL,BREAK,263,11.37,11.0,5.68,2.42
TARGET_HIGH_FRAG,ALL,SURVIVAL,1480,8.95,8.0,4.33,
TARGET_HIGH_FRAG,2022,BREAK,41,10.9,10.0,5.44,2.5
TARGET_HIGH_FRAG,2022,SURVIVAL,315,8.41,8.0,4.07,
TARGET_HIGH_FRAG,2023,BREAK,102,10.77,10.5,6.05,1.24
TARGET_HIGH_FRAG,2023,SURVIVAL,416,9.54,9.0,4.59,
TARGET_HIGH_FRAG,2024,BREAK,63,11.46,11.0,5.26,2.82
TARGET_HIGH_FRAG,2024,SURVIVAL,359,8.64,8.0,3.83,
TARGET_HIGH_FRAG,2025,BREAK,57,12.67,11.0,5.53,3.63
TARGET_HIGH_FRAG,2025,SURVIVAL,390,9.04,8.0,4.61,
ADJ1_HIGH_MOD,ALL,BREAK,153,10.96,11.0,5.25,1.89
ADJ1_HIGH_MOD,ALL,SURVIVAL,824,9.07,9.0,4.45,
ADJ1_HIGH_MOD,2022,BREAK,24,11.88,12.0,5.48,3.04
ADJ1_HIGH_MOD,2022,SURVIVAL,169,8.83,9.0,4.5,
ADJ1_HIGH_MOD,2023,BREAK,52,10.37,10.5,4.56,0.8
ADJ1_HIGH_MOD,2023,SURVIVAL,262,9.57,9.0,4.47,
ADJ1_HIGH_MOD,2024,BREAK,39,9.85,9.0,5.51,0.75
ADJ1_HIGH_MOD,2024,SURVIVAL,192,9.09,9.0,4.3,
ADJ1_HIGH_MOD,2025,BREAK,38,12.34,11.5,5.51,3.76
ADJ1_HIGH_MOD,2025,SURVIVAL,201,8.59,8.0,4.47,
ADJ2_MID_FRAG,ALL,BREAK,158,10.82,10.0,4.42,2.09
ADJ2_MID_FRAG,ALL,SURVIVAL,899,8.73,8.0,4.22,
ADJ2_MID_FRAG,2022,BREAK,29,12.07,11.0,4.97,3.61
ADJ2_MID_FRAG,2022,SURVIVAL,228,8.46,8.0,3.85,
ADJ2_MID_FRAG,2023,BREAK,46,10.04,10.0,4.71,1.24
ADJ2_MID_FRAG,2023,SURVIVAL,197,8.81,8.0,4.35,
ADJ2_MID_FRAG,2024,BREAK,39,10.62,10.0,4.24,1.63
ADJ2_MID_FRAG,2024,SURVIVAL,219,8.99,9.0,4.11,
ADJ2_MID_FRAG,2025,BREAK,44,11.0,11.0,3.77,2.29
ADJ2_MID_FRAG,2025,SURVIVAL,255,8.71,8.0,4.54,
BOARD,ALL,BREAK,1240,11.05,11.0,5.19,2.5
BOARD,ALL,SURVIVAL,8475,8.55,8.0,4.27,
BOARD,2022,BREAK,306,11.12,11.0,5.08,2.92
BOARD,2022,SURVIVAL,2124,8.2,8.0,4.16,
BOARD,2023,BREAK,365,10.75,10.0,5.12,1.78
BOARD,2023,SURVIVAL,2065,8.96,9.0,4.43,
BOARD,2024,BREAK,300,10.78,10.0,5.31,2.27
BOARD,2024,SURVIVAL,2127,8.51,8.0,4.07,
BOARD,2025,BREAK,269,11.69,11.0,5.23,3.14
BOARD,2025,SURVIVAL,2159,8.55,8.0,4.39,
