path_state,driver,driver_col,n_hi,n_lo,over_rate_hi,over_rate_lo,over_diff,fg_err_hi,fg_err_lo,t_stat,p_val
COMPRESSED_LOW,Temperature,temperature,182,162,0.6043956043956044,0.5061728395061729,0.09822276488943149,1.5357142857142858,0.3425925925925926,2.741800087841386,0.006431686475420994
LATE_HEAVY,Temperature,temperature,81,55,0.48148148148148145,0.41818181818181815,0.0632996632996633,1.2839506172839505,-0.16363636363636364,1.8003027587296552,0.07406233430934232
ELEVATED_LATE,Temperature,temperature,400,396,0.4325,0.4393939393939394,-0.006893939393939397,0.27375,-0.14772727272727273,1.304045283696168,0.19259605632781165
BALANCED,Temperature,temperature,655,322,0.47480916030534354,0.4192546583850932,0.055554501920250354,0.28091603053435116,-0.10559006211180125,1.300941863268634,0.19358571930769483
EARLY_HEAVY,Temperature,temperature,261,259,0.5977011494252874,0.5482625482625483,0.049438601162739126,1.6187739463601531,1.2162162162162162,0.9887941232365803,0.32322552036082763
BALANCED,Park factor,park_factor_runs,504,473,0.4722222222222222,0.4397463002114165,0.032475922010805736,0.28273809523809523,0.015856236786469344,0.9546498783064578,0.33999140636843755
LATE_HEAVY,Park factor,park_factor_runs,83,53,0.40963855421686746,0.5283018867924528,-0.11866333257558537,0.40963855421686746,1.150943396226415,-0.908015283637756,0.36550025799415325
EARLY_HEAVY,Park factor,park_factor_runs,285,235,0.624561403508772,0.5106382978723404,0.1139231056364316,1.5596491228070175,1.2468085106382978,0.7645792442738533,0.4448702908450785
ELEVATED_LATE,Park factor,park_factor_runs,463,333,0.42764578833693306,0.44744744744744747,-0.019801659110514402,0.016198704103671708,0.13063063063063063,-0.34895503647557913,0.7272155815661859
COMPRESSED_LOW,Park factor,park_factor_runs,179,165,0.547486033519553,0.5696969696969697,-0.02221093617741665,1.0083798882681565,0.9363636363636364,0.16385228461129747,0.8699442183879685
