split,path_state,driver,driver_col,bet_side,n_bets,win_rate,avg_price,total_pnl,roi
discovery,BALANCED,BP quality diff,bp_quality_diff,over,356,0.5393258426966292,-94.93820224719101,2079.486054032106,0.058412529607643426
discovery,COMPRESSED_LOW,Temperature,temperature,over,220,0.6090909090909091,-94.03181818181818,3637.6725373657773,0.16534875169844443
discovery,COMPRESSED_LOW,Park factor,park_factor_runs,over,257,0.5953307392996109,-89.21789883268482,3544.6743870773234,0.1379250734271332
discovery,EARLY_HEAVY,Temperature,temperature,over,319,0.6144200626959248,-91.45454545454545,6456.987916597994,0.20241341431341672
discovery,BALANCED,Temperature,temperature,over,803,0.4806973848069738,-97.72229140722291,-4495.360442198716,-0.05598207275465399
discovery,BALANCED,Avg SP IP vol,sp_fragility_avg,under,600,0.5333333333333333,-73.44333333333333,3629.631210623868,0.0604938535103978
validation,BALANCED,BP quality diff,bp_quality_diff,over,421,0.4821852731591449,-109.40142517814726,-1596.530099085455,-0.03792233014454763
validation,COMPRESSED_LOW,Temperature,temperature,over,351,0.5441595441595442,-90.7977207977208,2094.7631020270646,0.05967986045661153
validation,COMPRESSED_LOW,Park factor,park_factor_runs,over,464,0.5043103448275862,-84.09913793103448,-336.4582329931882,-0.007251255021404918
validation,EARLY_HEAVY,Temperature,temperature,over,105,0.5904761904761905,-81.43809523809524,1512.0716296765052,0.14400682187395286
validation,BALANCED,Temperature,temperature,over,859,0.49243306169965073,-109.38882421420256,-1878.0309814478828,-0.021862991635016097
validation,BALANCED,Avg SP IP vol,sp_fragility_avg,under,694,0.4769452449567723,-97.85878962536023,-3336.588600507598,-0.04807764554045531
oos,BALANCED,BP quality diff,bp_quality_diff,over,338,0.4526627218934911,-110.13609467455622,-4129.444624200083,-0.12217291787574211
oos,COMPRESSED_LOW,Temperature,temperature,over,261,0.47509578544061304,-91.00766283524904,-1780.6609559675992,-0.06822455769990801
oos,COMPRESSED_LOW,Park factor,park_factor_runs,over,375,0.472,-85.40266666666666,-2074.7685880839163,-0.05532716234890443
oos,EARLY_HEAVY,Temperature,temperature,over,173,0.5317919075144508,-74.77456647398844,1572.7307527357177,0.09090929206564842
oos,BALANCED,Temperature,temperature,over,749,0.4953271028037383,-111.41789052069426,-3189.0925895575356,-0.04257800520103519
oos,BALANCED,Avg SP IP vol,sp_fragility_avg,under,697,0.5050215208034433,-96.05595408895266,-899.9035386395337,-0.012911098115344816
