gpk,date,season,home_team,away_team,home_score,away_score,actual_total,actual_f5_total,park_factor_runs,temperature,wind_speed,wind_direction,home_rest_days,away_rest_days,umpire_over_rate,innings_played,completed_early,total_line,total_over_price,total_under_price,f5_line,late_implied,f5_ratio,actual_late,path_state,fg_over,fg_under,fg_push,path_error,fg_error,home_sp_avg_ip,home_sp_fip,home_sp_ip_std,home_sp_k_rate,away_sp_avg_ip,away_sp_fip,away_sp_ip_std,away_sp_k_rate,home_bp_era,away_bp_era,sp_length_diff,bp_quality_diff,sp_fragility_max,sp_fragility_avg,sp_avg_ip_min,bp_era_avg,sp_fip_avg,sp_fip_max,split,warm,month,game_month,is_dome,warm_climate_park,year
718280,2023-05-06,2023,KCR,OAK,4,5,9,9.0,100,90.3,10.9,223.0,1,1,1.0,9,False,9.0,-105.0,-115.0,5.5,3.5,0.6111111111111112,0.0,EARLY_HEAVY,0,0,1,-3.5,0.0,,,,,5.8100000000000005,3.670453241537579,1.1824434082835014,0.2376373626373626,,5.8676544650412525,,,1.1824434082835014,1.1824434082835014,5.8100000000000005,5.8676544650412525,3.670453241537579,3.670453241537579,discovery,True,5,5,False,False,2023
718280,2023-05-06,2023,KCR,OAK,4,5,9,9.0,100,90.3,10.9,223.0,1,1,1.0,9,False,9.0,-105.0,-115.0,5.5,3.5,0.6111111111111112,0.0,EARLY_HEAVY,0,0,1,-3.5,0.0,,,,,4.853846153846154,5.497939778129952,1.2080393099394466,0.2,,5.8676544650412525,,,1.2080393099394466,1.2080393099394466,4.853846153846154,5.8676544650412525,5.497939778129952,5.497939778129952,discovery,True,5,5,False,False,2023
718211,2023-05-12,2023,BOS,STL,6,8,14,6.0,104,75.4,6.0,292.0,2,2,0.971,9,False,9.5,-115.0,-105.0,6.0,3.5,0.631578947368421,8.0,EARLY_HEAVY,1,0,0,4.5,4.5,,,,,5.86060606060606,3.582626680455016,1.3509115889695082,0.1791767554479418,5.5880298774013575,4.549215220742788,,1.0388146566585696,1.3509115889695082,1.3509115889695082,5.86060606060606,5.068622549072073,3.582626680455016,3.582626680455016,discovery,True,5,5,False,False,2023
718150,2023-05-16,2023,NYM,TBR,5,8,13,7.0,94,76.6,11.9,247.0,1,2,1.024,9,False,8.5,-120.0,100.0,5.0,3.5,0.5882352941176471,6.0,EARLY_HEAVY,1,0,0,2.5,4.5,6.1866666666666665,2.575,1.221568616598131,0.2774647887323943,1.92,3.66875,0.5349974039397034,0.2289156626506023,4.396214831098187,5.622703122688113,4.266666666666667,-1.2264882915899251,1.221568616598131,0.8782830102689172,1.92,5.00945897689315,3.121875,3.66875,discovery,True,5,5,False,False,2023
718124,2023-05-18,2023,STL,LAD,16,8,24,11.0,97,78.3,3.1,180.0,1,1,1.008,9,False,8.5,-120.0,100.0,5.0,3.5,0.5882352941176471,13.0,EARLY_HEAVY,1,0,0,9.5,15.5,5.835294117647059,3.714112903225807,1.3384482994375912,0.1768867924528302,5.625,3.835555555555556,1.1338045777438106,0.2424916573971079,4.456977210796452,3.892972918519186,0.2102941176470594,0.5640042922772657,1.3384482994375912,1.236126438590701,5.625,4.1749750646578185,3.774834229390681,3.835555555555556,discovery,True,5,5,False,False,2023
718108,2023-05-20,2023,WSN,DET,5,2,7,5.0,101,79.7,6.3,178.0,1,1,1.0,9,False,8.5,-110.0,-110.0,5.0,3.5,0.5882352941176471,2.0,EARLY_HEAVY,0,1,0,-1.5,-1.5,,,,,4.9525,4.719434628975265,1.9536930840504771,0.1700534759358288,,4.4346940938749855,,,1.9536930840504771,1.9536930840504771,4.9525,4.4346940938749855,4.719434628975265,4.719434628975265,discovery,True,5,5,False,False,2023
718108,2023-05-20,2023,WSN,DET,5,2,7,5.0,101,79.7,6.3,178.0,1,1,1.0,9,False,8.5,-110.0,-110.0,5.0,3.5,0.5882352941176471,2.0,EARLY_HEAVY,0,1,0,-1.5,-1.5,,,,,4.428571428571429,5.087096774193548,1.2892625032156184,0.1824561403508772,,4.4346940938749855,,,1.2892625032156184,1.2892625032156184,4.428571428571429,4.4346940938749855,5.087096774193548,5.087096774193548,discovery,True,5,5,False,False,2023
718049,2023-05-23,2023,KCR,DET,4,1,5,5.0,100,81.2,5.8,94.0,1,1,0.988,9,False,9.0,-115.0,-105.0,5.5,3.5,0.6111111111111112,0.0,EARLY_HEAVY,0,1,0,-3.5,-4.0,,,,,5.526923076923077,3.972442588726514,1.6036352932777933,0.2052980132450331,,4.4029126274813954,,,1.6036352932777933,1.6036352932777933,5.526923076923077,4.4029126274813954,3.972442588726514,3.972442588726514,discovery,True,5,5,False,False,2023
718049,2023-05-23,2023,KCR,DET,4,1,5,5.0,100,81.2,5.8,94.0,1,1,0.988,9,False,9.0,-115.0,-105.0,5.5,3.5,0.6111111111111112,0.0,EARLY_HEAVY,0,1,0,-3.5,-4.0,,,,,4.733333333333333,5.523943661971831,0.6429100507328638,0.1904761904761904,,4.4029126274813954,,,0.6429100507328638,0.6429100507328638,4.733333333333333,4.4029126274813954,5.523943661971831,5.523943661971831,discovery,True,5,5,False,False,2023
718045,2023-05-24,2023,PIT,TEX,2,3,5,5.0,101,75.5,3.7,256.0,1,1,1.0,9,False,9.0,-105.0,-115.0,5.5,3.5,0.6111111111111112,0.0,EARLY_HEAVY,0,1,0,-3.5,-4.0,4.811764705882353,3.8356968215158926,1.607358995736942,0.1994750656167979,5.929268292682926,3.5373097490744554,1.046241822534118,0.1994219653179191,5.602804415265916,5.274039654956773,-1.1175035868005736,0.3287647603091423,1.607358995736942,1.32680040913553,4.811764705882353,5.438422035111344,3.6865032852951742,3.8356968215158926,discovery,True,5,5,False,False,2023
718043,2023-05-24,2023,PHI,ARI,6,5,11,5.0,104,77.2,1.4,171.0,1,1,1.0,10,False,8.0,-120.0,100.0,5.5,2.5,0.6875,6.0,EARLY_HEAVY,1,0,0,3.5,3.0,5.061290322580645,3.8819630337794777,1.4423770702916854,0.19683908045977,5.856097560975609,2.658558933777593,1.2739797448326653,0.2764397905759162,4.961794250571196,7.163372555395701,-0.7948072383949638,-2.201578304824505,1.4423770702916854,1.3581784075621752,5.061290322580645,6.062583402983448,3.2702609837785355,3.8819630337794777,discovery,True,5,5,False,False,2023
718041,2023-05-24,2023,CIN,STL,10,3,13,8.0,107,80.9,7.9,43.0,1,1,1.0,9,False,10.0,-120.0,100.0,6.0,4.0,0.6,5.0,EARLY_HEAVY,1,0,0,1.0,3.0,5.2,3.2,,0.4,4.5,4.229239766081872,1.4624940645653537,0.2385786802030457,5.691734129869446,4.487406343498751,0.7000000000000002,1.204327786370695,1.4624940645653537,1.4624940645653537,4.5,5.089570236684098,3.714619883040936,4.229239766081872,discovery,True,5,5,False,True,2023
718052,2023-05-24,2023,WSN,SDP,5,3,8,8.0,101,76.8,8.6,155.0,1,1,1.0,9,False,9.5,-105.0,-115.0,5.5,4.0,0.5789473684210527,0.0,EARLY_HEAVY,0,1,0,-4.0,-1.5,,,,,4.533333333333333,4.756372549019608,1.2732542835538527,0.1752873563218391,,5.615168371327672,,,1.2732542835538527,1.2732542835538527,4.533333333333333,5.615168371327672,4.756372549019608,4.756372549019608,discovery,True,5,5,False,False,2023
718052,2023-05-24,2023,WSN,SDP,5,3,8,8.0,101,76.8,8.6,155.0,1,1,1.0,9,False,9.5,-105.0,-115.0,5.5,4.0,0.5789473684210527,0.0,EARLY_HEAVY,0,1,0,-4.0,-1.5,,,,,4.88,4.552459016393443,1.025670512396647,0.1509433962264151,,5.615168371327672,,,1.025670512396647,1.025670512396647,4.88,5.615168371327672,4.552459016393443,4.552459016393443,discovery,True,5,5,False,False,2023
717975,2023-05-29,2023,STL,KCR,0,7,7,3.0,97,82.1,4.2,16.0,1,1,1.0,9,False,9.5,-110.0,-110.0,5.5,4.0,0.5789473684210527,4.0,EARLY_HEAVY,0,1,0,0.0,-2.5,5.800000000000001,3.779501915708813,1.307997378765395,0.1698113207547169,,,,,4.500447228497114,5.74545010722251,,-1.245002878725396,1.307997378765395,1.307997378765395,5.800000000000001,5.122948667859812,3.779501915708813,3.779501915708813,discovery,True,5,5,False,False,2023
717975,2023-05-29,2023,STL,KCR,0,7,7,3.0,97,82.1,4.2,16.0,1,1,1.0,9,False,9.0,-120.0,100.0,5.5,3.5,0.6111111111111112,4.0,EARLY_HEAVY,0,1,0,0.5,-2.0,5.800000000000001,3.779501915708813,1.307997378765395,0.1698113207547169,,,,,4.500447228497114,5.74545010722251,,-1.245002878725396,1.307997378765395,1.307997378765395,5.800000000000001,5.122948667859812,3.779501915708813,3.779501915708813,discovery,True,5,5,False,False,2023
717948,2023-05-31,2023,BOS,CIN,4,5,9,4.0,104,75.5,10.4,189.0,1,1,1.031,9,False,9.0,-105.0,-115.0,5.5,3.5,0.6111111111111112,5.0,EARLY_HEAVY,0,0,1,1.5,0.0,4.666666666666667,5.485714285714286,1.5275252316519468,0.3166666666666666,4.975,5.109547738693467,1.076701311546389,0.2258064516129032,5.954904033430649,5.75623540602727,-0.3083333333333327,0.1986686274033795,1.5275252316519468,1.302113271599168,4.666666666666667,5.85556971972896,5.297631012203876,5.485714285714286,discovery,True,5,5,False,False,2023
717934,2023-06-01,2023,NYM,PHI,4,2,6,5.0,94,79.8,3.1,184.0,1,1,1.008,9,False,8.5,-120.0,100.0,5.0,3.5,0.5882352941176471,1.0,EARLY_HEAVY,0,1,0,-2.5,-2.5,5.909677419354838,2.910698689956332,1.0383817020439952,0.2908093278463649,5.15,4.005825242718446,1.6331501728804634,0.1995438996579247,4.463227613472396,4.982913519014263,0.7596774193548379,-0.5196859055418663,1.6331501728804634,1.3357659374622293,5.15,4.723070566243329,3.458261966337389,4.005825242718446,discovery,True,6,6,False,False,2023
717931,2023-06-02,2023,CIN,MIL,4,5,9,6.0,107,90.5,7.8,41.0,1,1,1.0,11,False,9.0,-120.0,100.0,5.5,3.5,0.6111111111111112,3.0,EARLY_HEAVY,0,0,1,-0.5,0.0,4.466666666666666,5.364179104477612,0.635085296108589,0.1904761904761904,5.931818181818182,3.34176245210728,1.228872186150493,0.2843691148775894,5.863201550860902,5.083106459731364,-1.4651515151515158,0.7800950911295379,1.228872186150493,0.931978741129541,4.466666666666666,5.4731540052961325,4.352970778292447,5.364179104477612,discovery,True,6,6,False,True,2023
717923,2023-06-02,2023,KCR,COL,2,7,9,3.0,100,75.1,0.9,166.0,3,1,1.0,9,False,8.5,-120.0,100.0,5.0,3.5,0.5882352941176471,6.0,EARLY_HEAVY,1,0,0,2.5,0.5,,,,,3.66,3.965027322404372,1.8602269873444055,0.1987179487179487,,5.378241736190901,,,1.8602269873444055,1.8602269873444055,3.66,5.378241736190901,3.965027322404372,3.965027322404372,discovery,True,6,6,False,False,2023
717923,2023-06-02,2023,KCR,COL,2,7,9,3.0,100,75.1,0.9,166.0,3,1,1.0,9,False,8.5,-120.0,100.0,5.0,3.5,0.5882352941176471,6.0,EARLY_HEAVY,1,0,0,2.5,0.5,,,,,5.43953488372093,4.880205215904233,1.5489073775504925,0.1808612440191387,,5.378241736190901,,,1.5489073775504925,1.5489073775504925,5.43953488372093,5.378241736190901,4.880205215904233,4.880205215904233,discovery,True,6,6,False,False,2023
