game_pk,date,season,home_team,away_team,temperature,total_line,f5_total,f5_ratio,total_over_price,actual_total,over_result,month,early_heavy,cold_park,warm_day
717934,2023-06-01,2023,NYM,PHI,79.8,8.5,5.0,0.5882352941176471,-120.0,6,0,6,True,True,True
717923,2023-06-02,2023,KCR,COL,75.1,8.5,5.0,0.5882352941176471,-120.0,9,1,6,True,True,True
717907,2023-06-03,2023,PIT,STL,87.3,8.5,5.0,0.5882352941176471,-120.0,7,0,6,True,True,True
717909,2023-06-03,2023,KCR,COL,88.7,9.5,5.5,0.5789473684210527,-110.0,10,1,6,True,True,True
717909,2023-06-03,2023,KCR,COL,88.7,9.0,5.5,0.6111111111111112,-105.0,10,1,6,True,True,True
717897,2023-06-04,2023,CIN,MIL,81.4,10.0,7.0,0.7,-105.0,6,0,6,True,True,True
717897,2023-06-04,2023,CIN,MIL,81.4,9.5,7.0,0.7368421052631579,-120.0,6,0,6,True,True,True
717883,2023-06-05,2023,CIN,MIL,81.0,9.5,5.5,0.5789473684210527,-110.0,2,0,6,True,True,True
717881,2023-06-06,2023,WSN,ARI,82.7,9.5,5.5,0.5789473684210527,-120.0,15,1,6,True,True,True
717881,2023-06-06,2023,WSN,ARI,82.7,9.0,5.5,0.6111111111111112,-120.0,15,1,6,True,True,True
717866,2023-06-07,2023,WSN,ARI,79.3,9.0,5.5,0.6111111111111112,-105.0,8,0,6,True,True,True
717812,2023-06-10,2023,PIT,NYM,82.6,8.0,5.0,0.625,-110.0,6,0,6,True,True,True
717808,2023-06-11,2023,BAL,KCR,81.9,9.0,6.5,0.7222222222222222,-115.0,14,1,6,True,True,True
717787,2023-06-13,2023,BAL,TOR,76.5,8.5,5.0,0.5882352941176471,-120.0,17,1,6,True,True,True
717787,2023-06-13,2023,BAL,TOR,76.5,8.5,5.0,0.5882352941176471,-110.0,17,1,6,True,True,True
717779,2023-06-13,2023,NYM,NYY,76.1,6.5,4.0,0.6153846153846154,-125.0,13,1,6,True,True,True
717781,2023-06-13,2023,STL,SFG,78.9,7.5,4.5,0.6,-110.0,14,1,6,True,True,True
717767,2023-06-14,2023,STL,SFG,83.1,8.5,8.5,1.0,-120.0,13,1,6,True,True,True
717726,2023-06-17,2023,KCR,LAA,85.9,9.5,5.5,0.5789473684210527,-115.0,19,1,6,True,True,True
717726,2023-06-17,2023,KCR,LAA,85.9,9.5,5.5,0.5789473684210527,-110.0,19,1,6,True,True,True
717699,2023-06-19,2023,WSN,STL,85.6,9.5,5.5,0.5789473684210527,-115.0,14,1,6,True,True,True
717699,2023-06-19,2023,WSN,STL,85.6,8.5,5.5,0.6470588235294118,-115.0,14,1,6,True,True,True
717698,2023-06-19,2023,PIT,CHC,80.9,7.5,5.0,0.6666666666666666,-110.0,8,1,6,True,True,True
717679,2023-06-20,2023,CLE,OAK,75.6,8.5,5.0,0.5882352941176471,-120.0,5,0,6,True,True,True
717669,2023-06-21,2023,CIN,COL,77.4,9.5,7.5,0.7894736842105263,-105.0,8,0,6,True,True,True
717668,2023-06-21,2023,DET,KCR,79.5,8.5,6.5,0.7647058823529411,-115.0,13,1,6,True,True,True
717656,2023-06-23,2023,PHI,NYM,76.5,9.5,5.5,0.5789473684210527,-105.0,6,0,6,True,True,True
717636,2023-06-24,2023,NYY,TEX,75.9,7.5,4.5,0.6,-115.0,1,0,6,True,True,True
717631,2023-06-24,2023,CIN,ATL,85.3,10.5,6.5,0.6190476190476191,-115.0,13,1,6,True,True,True
717624,2023-06-25,2023,PHI,NYM,84.8,9.0,5.5,0.6111111111111112,-120.0,13,1,6,True,True,True
717594,2023-06-27,2023,COL,LAD,87.1,11.5,6.5,0.5652173913043478,-115.0,5,0,6,True,True,True
717589,2023-06-28,2023,BAL,CIN,78.9,9.5,5.5,0.5789473684210527,-105.0,18,1,6,True,True,True
717582,2023-06-28,2023,STL,HOU,92.1,8.5,5.0,0.5882352941176471,-120.0,17,1,6,True,True,True
717578,2023-06-28,2023,COL,LAD,78.1,12.5,7.5,0.6,-110.0,17,1,6,True,True,True
717566,2023-06-29,2023,STL,HOU,91.2,9.5,5.5,0.5789473684210527,-115.0,14,1,6,True,True,True
717563,2023-06-30,2023,PHI,WSN,84.9,9.5,5.5,0.5789473684210527,-110.0,3,0,6,True,True,True
717561,2023-06-30,2023,BAL,MIN,79.4,8.5,5.0,0.5882352941176471,-120.0,9,1,6,True,True,True
717561,2023-06-30,2023,BAL,MIN,79.4,8.0,5.0,0.625,-110.0,9,1,6,True,True,True
717562,2023-06-30,2023,PIT,MIL,79.8,7.5,4.5,0.6,-120.0,15,1,6,True,True,True
717537,2023-07-01,2023,KCR,LAD,83.4,8.5,5.0,0.5882352941176471,-125.0,10,1,7,True,True,True
717534,2023-07-01,2023,SEA,TBR,76.1,7.0,4.0,0.5714285714285714,-120.0,11,1,7,True,True,True
717534,2023-07-01,2023,SEA,TBR,76.1,7.0,4.0,0.5714285714285714,-125.0,11,1,7,True,True,True
717528,2023-07-02,2023,PHI,WSN,84.7,9.5,5.5,0.5789473684210527,-105.0,9,0,7,True,True,True
717523,2023-07-02,2023,COL,DET,83.3,11.5,6.5,0.5652173913043478,-115.0,23,1,7,True,True,True
717517,2023-07-03,2023,WSN,CIN,81.9,10.0,6.0,0.6,-120.0,5,0,7,True,True,True
717508,2023-07-04,2023,NYY,BAL,81.9,9.0,6.5,0.7222222222222222,-105.0,12,1,7,True,True,True
717500,2023-07-04,2023,MIN,KCR,80.2,8.0,5.0,0.625,-115.0,12,1,7,True,True,True
717493,2023-07-05,2023,WSN,CIN,85.6,9.5,5.5,0.5789473684210527,-110.0,11,1,7,True,True,True
717493,2023-07-05,2023,WSN,CIN,85.6,9.0,5.5,0.6111111111111112,-120.0,11,1,7,True,True,True
717486,2023-07-05,2023,CLE,ATL,78.7,10.0,6.0,0.6,-105.0,9,0,7,True,True,True
717481,2023-07-06,2023,WSN,CIN,81.5,9.5,5.5,0.5789473684210527,-120.0,9,0,7,True,True,True
717457,2023-07-07,2023,DET,TOR,78.8,8.0,5.0,0.625,-110.0,14,1,7,True,True,True
717465,2023-07-07,2023,WSN,TEX,84.9,9.5,5.5,0.5789473684210527,-115.0,9,0,7,True,True,True
717461,2023-07-07,2023,BOS,OAK,79.6,10.5,6.0,0.5714285714285714,-110.0,10,0,7,True,True,True
717447,2023-07-08,2023,NYY,CHC,84.8,8.5,5.5,0.6470588235294118,-115.0,9,1,7,True,True,True
717447,2023-07-08,2023,NYY,CHC,84.8,8.5,5.5,0.6470588235294118,-110.0,9,1,7,True,True,True
717435,2023-07-09,2023,BOS,OAK,77.1,9.5,6.5,0.6842105263157895,-110.0,7,0,7,True,True,True
717428,2023-07-09,2023,MIN,BAL,82.2,8.5,5.0,0.5882352941176471,-125.0,17,1,7,True,True,True
717418,2023-07-14,2023,PHI,SDP,84.4,9.5,5.5,0.5789473684210527,-115.0,11,1,7,True,True,True
717418,2023-07-14,2023,PHI,SDP,84.4,8.5,5.5,0.6470588235294118,-120.0,11,1,7,True,True,True
717416,2023-07-14,2023,PIT,SFG,81.3,8.0,5.0,0.625,-110.0,10,1,7,True,True,True
717407,2023-07-14,2023,STL,WSN,90.9,9.0,5.5,0.6111111111111112,-120.0,12,1,7,True,True,True
717412,2023-07-14,2023,CIN,MIL,89.7,9.5,6.0,0.631578947368421,-120.0,1,0,7,True,True,True
717412,2023-07-14,2023,CIN,MIL,89.7,9.5,6.0,0.631578947368421,-110.0,1,0,7,True,True,True
717419,2023-07-14,2023,CHC,BOS,75.0,9.0,5.5,0.6111111111111112,-120.0,11,1,7,True,True,True
717408,2023-07-15,2023,PHI,SDP,86.1,9.0,5.5,0.6111111111111112,-110.0,10,1,7,True,True,True
717408,2023-07-15,2023,PHI,SDP,86.1,8.5,5.5,0.6470588235294118,-110.0,10,1,7,True,True,True
717400,2023-07-15,2023,NYM,LAD,78.1,8.5,5.0,0.5882352941176471,-120.0,6,0,7,True,True,True
717394,2023-07-15,2023,COL,NYY,78.2,11.5,6.5,0.5652173913043478,-115.0,9,0,7,True,True,True
717394,2023-07-15,2023,COL,NYY,78.2,11.0,6.5,0.5909090909090909,-115.0,9,0,7,True,True,True
717390,2023-07-15,2023,SEA,DET,80.2,7.0,4.0,0.5714285714285714,-125.0,6,0,7,True,True,True
717387,2023-07-16,2023,PHI,SDP,75.6,8.5,5.0,0.5882352941176471,-120.0,13,1,7,True,True,True
717384,2023-07-16,2023,BAL,MIA,79.1,8.5,7.5,0.8823529411764706,-120.0,9,1,7,True,True,True
717372,2023-07-17,2023,BAL,LAD,83.4,9.5,5.5,0.5789473684210527,-105.0,10,1,7,True,True,True
717372,2023-07-17,2023,BAL,LAD,83.4,9.0,5.5,0.6111111111111112,-115.0,10,1,7,True,True,True
717363,2023-07-18,2023,PHI,MIL,88.4,9.0,5.5,0.6111111111111112,-110.0,7,0,7,True,True,True
717361,2023-07-18,2023,BAL,LAD,87.4,9.5,5.5,0.5789473684210527,-110.0,13,1,7,True,True,True
717361,2023-07-18,2023,BAL,LAD,87.4,9.0,5.5,0.6111111111111112,-115.0,13,1,7,True,True,True
717359,2023-07-18,2023,NYM,CHW,77.2,8.5,5.0,0.5882352941176471,-115.0,21,1,7,True,True,True
717359,2023-07-18,2023,NYM,CHW,77.2,8.5,5.0,0.5882352941176471,-115.0,21,1,7,True,True,True
717345,2023-07-19,2023,COL,HOU,90.2,12.0,7.0,0.5833333333333334,-115.0,5,0,7,True,True,True
717342,2023-07-19,2023,CIN,SFG,84.0,9.5,5.5,0.5789473684210527,-105.0,5,0,7,True,True,True
717326,2023-07-21,2023,WSN,SFG,87.8,8.5,5.0,0.5882352941176471,-105.0,8,0,7,True,True,True
717311,2023-07-21,2023,SEA,TOR,76.9,7.0,4.0,0.5714285714285714,-115.0,5,0,7,True,True,True
717308,2023-07-22,2023,CHC,STL,80.1,9.5,5.5,0.5789473684210527,-110.0,14,1,7,True,True,True
717294,2023-07-23,2023,NYY,KCR,84.2,9.0,7.5,0.8333333333333334,-115.0,13,1,7,True,True,True
717289,2023-07-23,2023,CIN,ARI,80.6,11.0,7.5,0.6818181818181818,-110.0,10,0,7,True,True,True
717283,2023-07-23,2023,CLE,PHI,79.2,8.5,5.5,0.6470588235294118,-120.0,13,1,7,True,True,True
717281,2023-07-23,2023,SEA,TOR,75.0,8.5,5.0,0.5882352941176471,-120.0,7,0,7,True,True,True
717280,2023-07-24,2023,PHI,BAL,85.2,9.0,5.5,0.6111111111111112,-105.0,5,0,7,True,True,True
717282,2023-07-24,2023,WSN,COL,84.1,9.5,5.5,0.5789473684210527,-110.0,16,1,7,True,True,True
717275,2023-07-24,2023,MIN,SEA,77.4,7.5,4.5,0.6,-110.0,7,0,7,True,True,True
717260,2023-07-25,2023,CLE,KCR,77.0,8.5,5.0,0.5882352941176471,-120.0,6,0,7,True,True,True
717263,2023-07-25,2023,CHW,CHC,83.6,8.0,5.0,0.625,-110.0,10,1,7,True,True,True
717249,2023-07-26,2023,CLE,KCR,81.0,10.0,7.5,0.75,-110.0,11,1,7,True,True,True
717250,2023-07-26,2023,MIN,SEA,86.9,8.5,5.5,0.6470588235294118,-125.0,15,1,7,True,True,True
717241,2023-07-27,2023,NYM,WSN,85.9,8.0,5.0,0.625,-110.0,3,0,7,True,True,True
717232,2023-07-28,2023,KCR,MIN,97.5,8.5,5.5,0.6470588235294118,-120.0,13,1,7,True,True,True
717215,2023-07-29,2023,NYM,WSN,88.1,9.5,5.5,0.5789473684210527,-105.0,17,1,7,True,True,True
717215,2023-07-29,2023,NYM,WSN,88.1,8.5,5.5,0.6470588235294118,-115.0,17,1,7,True,True,True
717207,2023-07-29,2023,KCR,MIN,87.2,8.5,5.0,0.5882352941176471,-105.0,17,1,7,True,True,True
717213,2023-07-29,2023,STL,CHC,81.9,9.0,5.5,0.6111111111111112,-105.0,6,0,7,True,True,True
717219,2023-07-29,2023,BAL,NYY,90.1,9.5,5.5,0.5789473684210527,-105.0,11,1,7,True,True,True
717219,2023-07-29,2023,BAL,NYY,90.1,8.0,5.5,0.6875,-120.0,11,1,7,True,True,True
717203,2023-07-30,2023,NYM,WSN,75.4,8.5,6.5,0.7647058823529411,-115.0,7,0,7,True,True,True
717200,2023-07-30,2023,BAL,NYY,80.6,8.5,5.0,0.5882352941176471,-120.0,12,1,7,True,True,True
717178,2023-08-01,2023,PIT,DET,76.2,8.0,5.0,0.625,-115.0,5,0,8,True,True,True
717166,2023-08-02,2023,PIT,DET,75.4,8.5,5.5,0.6470588235294118,-112.0,9,1,8,True,True,True
717155,2023-08-02,2023,STL,MIN,84.6,8.5,5.0,0.5882352941176471,-115.0,10,1,8,True,True,True
717153,2023-08-02,2023,CHC,CIN,77.4,10.5,6.0,0.5714285714285714,-110.0,22,1,8,True,True,True
717135,2023-08-04,2023,DET,TBR,83.2,8.5,5.0,0.5882352941176471,-108.0,8,0,8,True,True,True
717138,2023-08-04,2023,NYY,HOU,76.6,8.5,5.0,0.5882352941176471,-120.0,10,1,8,True,True,True
717114,2023-08-05,2023,BAL,NYM,82.3,9.5,5.5,0.5789473684210527,-110.0,10,1,8,True,True,True
717114,2023-08-05,2023,BAL,NYM,82.3,8.5,5.5,0.6470588235294118,-112.0,10,1,8,True,True,True
717118,2023-08-05,2023,MIN,ARI,84.7,8.5,5.0,0.5882352941176471,-112.0,13,1,8,True,True,True
717118,2023-08-05,2023,MIN,ARI,84.7,8.0,5.0,0.625,-118.0,13,1,8,True,True,True
717113,2023-08-06,2023,PHI,KCR,89.2,9.5,7.5,0.7894736842105263,-112.0,12,1,8,True,True,True
717104,2023-08-06,2023,CIN,WSN,83.2,10.5,9.5,0.9047619047619048,-115.0,9,0,8,True,True,True
717099,2023-08-06,2023,STL,COL,82.8,9.5,5.5,0.5789473684210527,-105.0,1,0,8,True,True,True
717092,2023-08-07,2023,NYM,CHC,76.7,8.5,5.0,0.5882352941176471,-125.0,13,1,8,True,True,True
717082,2023-08-08,2023,PHI,WSN,84.6,8.5,5.0,0.5882352941176471,-122.0,12,1,8,True,True,True
717079,2023-08-08,2023,PIT,ATL,76.7,9.0,5.5,0.6111111111111112,-105.0,14,1,8,True,True,True
717080,2023-08-08,2023,NYM,CHC,75.5,9.5,5.5,0.5789473684210527,-108.0,5,0,8,True,True,True
717067,2023-08-09,2023,BAL,HOU,82.3,9.5,5.5,0.5789473684210527,-115.0,10,1,8,True,True,True
717059,2023-08-09,2023,BOS,KCR,77.4,10.5,6.0,0.5714285714285714,-110.0,7,0,8,True,True,True
717059,2023-08-09,2023,BOS,KCR,77.4,10.5,6.0,0.5714285714285714,-112.0,7,0,8,True,True,True
