game_pk,date,season,home_team,away_team,away_1st_runs,home_1st_runs,total_1st_runs,nrfi,yrfi,actual_total,actual_f5_total,home_score,away_score,venue_name,park_factor_runs,park_factor_hr,temperature,wind_speed,dome,closing_total,closing_f5_total
663178,2022-04-07,2022,CHC,MIL,0,0,0,1,0,9,4.0,5,4,Wrigley Field,103,103,44.3,21.6,0,9.5,
662766,2022-04-07,2022,KCR,CLE,0,0,0,1,0,4,2.0,3,1,Kauffman Stadium,100,100,46.2,22.2,0,7.5,
662021,2022-04-07,2022,STL,PIT,0,1,1,0,1,9,4.0,9,0,Busch Stadium,97,97,48.6,16.8,0,8.0,
662571,2022-04-07,2022,WSN,NYM,0,0,0,1,0,6,2.0,1,5,Nationals Park,101,101,52.7,7.3,0,9.0,
661577,2022-04-07,2022,ATL,CIN,0,0,0,1,0,9,4.0,3,6,Truist Park,102,102,56.4,8.9,0,8.5,
661042,2022-04-07,2022,LAA,HOU,0,0,0,1,0,4,1.0,1,3,Angel Stadium,97,97,97.3,5.7,0,9.0,
663418,2022-04-07,2022,ARI,SDP,0,0,0,1,0,6,2.0,4,2,Chase Field,98,98,72.0,0.0,0,9.0,
661333,2022-04-08,2022,NYY,BOS,3,2,5,0,1,11,6.0,6,5,Yankee Stadium,103,103,61.1,11.9,0,8.0,
662888,2022-04-08,2022,DET,CHW,1,0,1,0,1,9,3.0,5,4,Comerica Park,99,99,44.7,10.3,0,8.0,
661131,2022-04-08,2022,PHI,OAK,0,1,1,0,1,14,6.0,9,5,Citizens Bank Park,104,104,61.1,11.7,0,8.0,
661918,2022-04-08,2022,TBR,BAL,0,0,0,1,0,3,1.0,2,1,Tropicana Field,97,97,72.0,0.0,1,7.5,
662933,2022-04-08,2022,COL,LAD,0,0,0,1,0,8,7.0,3,5,Coors Field,117,117,63.0,4.5,0,11.5,
661750,2022-04-08,2022,MIN,SEA,2,0,2,0,1,3,3.0,1,2,Target Field,99,99,44.8,13.7,0,8.0,
662124,2022-04-08,2022,SFG,MIA,0,0,0,1,0,11,3.0,6,5,Oracle Park,96,96,65.3,12.1,0,7.5,
662559,2022-04-08,2022,WSN,NYM,0,0,0,1,0,10,7.0,3,7,Nationals Park,101,101,57.4,5.4,0,8.5,
661782,2022-04-08,2022,TOR,TEX,4,0,4,0,1,18,14.0,10,8,Rogers Centre,105,105,72.0,0.0,0,9.0,
661576,2022-04-08,2022,ATL,CIN,0,0,0,1,0,13,8.0,7,6,Truist Park,102,102,48.2,13.6,0,9.0,
661041,2022-04-08,2022,LAA,HOU,1,2,3,0,1,19,5.0,6,13,Angel Stadium,97,97,91.8,9.0,0,9.5,
663417,2022-04-08,2022,ARI,SDP,0,0,0,1,0,3,0.0,0,3,Chase Field,98,98,72.0,0.0,0,9.0,
661917,2022-04-09,2022,TBR,BAL,0,0,0,1,0,8,7.0,5,3,Tropicana Field,97,97,72.0,0.0,1,8.5,
662864,2022-04-09,2022,DET,CHW,2,0,2,0,1,7,2.0,2,5,Comerica Park,99,99,39.5,12.7,0,8.5,
661756,2022-04-09,2022,MIN,SEA,0,1,1,0,1,7,3.0,3,4,Target Field,99,99,49.3,1.6,0,8.5,
662020,2022-04-09,2022,STL,PIT,1,1,2,0,1,8,7.0,6,2,Busch Stadium,97,97,52.1,9.5,0,8.0,
663205,2022-04-09,2022,CHC,MIL,0,3,3,0,1,9,7.0,9,0,Wrigley Field,103,103,39.0,8.0,0,7.5,
661803,2022-04-09,2022,TOR,TEX,0,2,2,0,1,7,6.0,4,3,Rogers Centre,105,105,72.0,0.0,0,9.0,
661130,2022-04-09,2022,PHI,OAK,0,2,2,0,1,6,2.0,4,2,Citizens Bank Park,104,104,55.6,10.5,0,9.5,
662123,2022-04-09,2022,SFG,MIA,0,0,0,1,0,3,2.0,1,2,Oracle Park,96,96,62.1,15.8,0,7.5,
661332,2022-04-09,2022,NYY,BOS,0,0,0,1,0,6,4.0,4,2,Yankee Stadium,103,103,56.8,11.2,0,9.0,
662765,2022-04-09,2022,KCR,CLE,0,0,0,1,0,1,0.0,1,0,Kauffman Stadium,100,100,59.4,7.4,0,8.5,
