game_pk,date,season,home_team,away_team,away_1st_runs,home_1st_runs,total_1st_runs,nrfi,yrfi,actual_total,actual_f5_total,home_score,away_score,venue_name,park_factor_runs,park_factor_hr,temperature,wind_speed,dome,closing_total,closing_f5_total,home_total_line,away_total_line,tt_min,tt_max,tt_dispersion,tt_sum,both_below_4,one_below_3_5
717000,2023-08-14,2023,MIA,HOU,0,0,0,1,0,6,2.0,5,1,loanDepot park,98,98,72.0,0.0,0,7.5,4.0,3.5,4.5,3.5,4.5,1.0,8.0,False,True
717001,2023-08-14,2023,ATL,NYY,1,1,2,0,1,14,10.0,11,3,Truist Park,102,102,86.7,4.8,0,9.0,5.0,5.5,3.5,3.5,5.5,2.0,9.0,False,True
716995,2023-08-14,2023,STL,OAK,0,0,0,1,0,12,5.0,7,5,Busch Stadium,97,97,79.1,11.1,0,9.0,5.0,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716997,2023-08-14,2023,TEX,LAA,0,0,0,1,0,12,5.0,12,0,Globe Life Field,107,107,72.0,0.0,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716994,2023-08-14,2023,KCR,SEA,0,3,3,0,1,13,4.0,7,6,Kauffman Stadium,100,100,73.2,11.7,0,8.5,4.5,3.5,4.5,3.5,4.5,1.0,8.0,False,True
716996,2023-08-14,2023,SDP,BAL,0,0,0,1,0,5,4.0,1,4,Petco Park,95,95,72.0,11.0,0,8.0,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716999,2023-08-14,2023,SFG,TBR,0,0,0,1,0,12,6.0,2,10,Oracle Park,96,96,62.2,14.3,0,7.5,3.5,3.5,3.5,3.5,3.5,0.0,7.0,True,True
716992,2023-08-15,2023,CIN,CLE,2,0,2,0,1,3,2.0,0,3,Great American Ball Park,107,107,73.0,11.1,0,9.5,5.0,4.5,4.5,4.5,4.5,0.0,9.0,False,False
716991,2023-08-15,2023,MIA,HOU,0,0,0,1,0,11,9.0,5,6,loanDepot park,98,98,72.0,0.0,0,9.0,5.0,3.5,4.5,3.5,4.5,1.0,8.0,False,True
716993,2023-08-15,2023,WSN,BOS,1,0,1,0,1,9,9.0,4,5,Nationals Park,101,101,82.5,4.8,0,9.5,5.0,3.5,5.5,3.5,5.5,2.0,9.0,False,True
716990,2023-08-15,2023,TOR,PHI,0,0,0,1,0,3,0.0,2,1,Rogers Centre,105,105,72.0,0.0,0,7.5,4.0,3.5,3.5,3.5,3.5,0.0,7.0,True,True
716988,2023-08-15,2023,NYM,PIT,0,1,1,0,1,11,2.0,4,7,Citi Field,94,94,77.0,7.2,0,9.0,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716987,2023-08-15,2023,ATL,NYY,0,3,3,0,1,5,5.0,5,0,Truist Park,102,102,81.5,4.5,0,10.5,6.0,5.5,4.5,4.5,5.5,1.0,10.0,False,False
716983,2023-08-15,2023,MIN,DET,0,0,0,1,0,8,2.0,5,3,Target Field,99,99,78.3,8.4,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716984,2023-08-15,2023,STL,OAK,0,4,4,0,1,8,5.0,6,2,Busch Stadium,97,97,73.7,7.6,0,9.5,5.5,5.5,3.5,3.5,5.5,2.0,9.0,False,True
716985,2023-08-15,2023,TEX,LAA,0,0,0,1,0,10,5.0,7,3,Globe Life Field,107,107,72.0,0.0,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716986,2023-08-15,2023,CHC,CHW,1,2,3,0,1,8,6.0,3,5,Wrigley Field,103,103,68.4,4.0,0,9.0,5.0,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716981,2023-08-15,2023,KCR,SEA,0,0,0,1,0,18,12.0,8,10,Kauffman Stadium,100,100,75.3,3.8,0,9.5,5.0,3.5,4.5,3.5,4.5,1.0,8.0,False,True
716978,2023-08-15,2023,COL,ARI,0,0,0,1,0,13,3.0,5,8,Coors Field,117,117,89.6,4.3,0,12.5,6.5,5.5,6.5,5.5,6.5,1.0,12.0,False,False
716980,2023-08-15,2023,SDP,BAL,0,5,5,0,1,13,10.0,10,3,Petco Park,95,95,74.0,10.3,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716989,2023-08-15,2023,SFG,TBR,0,0,0,1,0,7,0.0,7,0,Oracle Park,96,96,62.3,12.9,0,8.5,4.5,3.5,4.5,3.5,4.5,1.0,8.0,False,True
716979,2023-08-15,2023,LAD,MIL,1,0,1,0,1,8,2.0,6,2,Dodger Stadium,95,95,76.9,5.4,0,9.0,5.0,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716974,2023-08-16,2023,NYM,PIT,0,0,0,1,0,11,8.0,8,3,Citi Field,94,94,75.7,5.6,0,8.5,4.5,4.5,4.5,4.5,4.5,0.0,9.0,False,False
716976,2023-08-16,2023,MIN,DET,0,1,1,0,1,15,7.0,7,8,Target Field,99,99,80.7,13.6,0,8.0,5.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716977,2023-08-16,2023,COL,ARI,2,1,3,0,1,16,5.0,7,9,Coors Field,117,117,93.7,8.7,0,12.0,6.5,5.5,6.5,5.5,6.5,1.0,12.0,False,False
716975,2023-08-16,2023,SFG,TBR,1,0,1,0,1,7,5.0,1,6,Oracle Park,96,96,65.8,11.7,0,8.0,4.5,3.5,3.5,3.5,3.5,0.0,7.0,True,True
716973,2023-08-16,2023,CIN,CLE,0,1,1,0,1,9,8.0,7,2,Great American Ball Park,107,107,78.6,5.0,0,9.5,5.5,5.5,3.5,3.5,5.5,2.0,9.0,False,True
716972,2023-08-16,2023,MIA,HOU,5,2,7,0,1,17,11.0,5,12,loanDepot park,98,98,72.0,0.0,0,8.0,4.5,3.5,3.5,3.5,3.5,0.0,7.0,True,True
716969,2023-08-16,2023,STL,OAK,4,0,4,0,1,8,6.0,0,8,Busch Stadium,97,97,79.6,6.2,0,9.0,5.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716982,2023-08-16,2023,WSN,BOS,0,0,0,1,0,8,2.0,6,2,Nationals Park,101,101,82.3,3.9,0,9.0,4.5,3.5,4.5,3.5,4.5,1.0,8.0,False,True
716967,2023-08-16,2023,TOR,PHI,0,0,0,1,0,13,9.0,4,9,Rogers Centre,105,105,72.0,0.0,0,8.0,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716970,2023-08-16,2023,ATL,NYY,0,0,0,1,0,2,2.0,2,0,Truist Park,102,102,80.4,4.1,0,10.0,5.5,5.5,3.5,3.5,5.5,2.0,9.0,False,True
716971,2023-08-16,2023,TEX,LAA,1,0,1,0,1,2,1.0,0,2,Globe Life Field,107,107,72.0,0.0,0,9.0,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716968,2023-08-16,2023,CHC,CHW,0,0,0,1,0,7,3.0,4,3,Wrigley Field,103,103,74.8,11.1,0,10.5,5.5,5.5,4.5,4.5,5.5,1.0,10.0,False,False
716963,2023-08-16,2023,KCR,SEA,3,1,4,0,1,11,7.0,5,6,Kauffman Stadium,100,100,78.9,9.3,0,9.0,4.5,3.5,5.5,3.5,5.5,2.0,9.0,False,True
716965,2023-08-16,2023,SDP,BAL,1,0,1,0,1,7,4.0,5,2,Petco Park,95,95,75.8,11.6,0,8.0,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716962,2023-08-16,2023,LAD,MIL,0,1,1,0,1,8,5.0,7,1,Dodger Stadium,95,95,78.9,5.5,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716964,2023-08-17,2023,KCR,SEA,0,0,0,1,0,10,2.0,4,6,Kauffman Stadium,100,100,82.7,9.9,0,9.0,4.5,3.5,5.5,3.5,5.5,2.0,9.0,False,True
716966,2023-08-17,2023,WSN,BOS,0,0,0,1,0,17,7.0,10,7,Nationals Park,101,101,85.0,8.2,0,9.5,5.5,3.5,5.5,3.5,5.5,2.0,9.0,False,True
716958,2023-08-17,2023,STL,NYM,0,0,0,1,0,6,3.0,2,4,Busch Stadium,97,97,81.4,10.3,0,10.0,5.5,4.5,5.5,4.5,5.5,1.0,10.0,False,False
716957,2023-08-17,2023,SDP,ARI,0,0,0,1,0,4,4.0,1,3,Petco Park,95,95,72.9,9.0,0,8.5,4.5,3.5,4.5,3.5,4.5,1.0,8.0,False,True
716961,2023-08-17,2023,LAD,MIL,0,0,0,1,0,1,0.0,1,0,Dodger Stadium,95,95,73.9,7.2,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716955,2023-08-18,2023,CHC,KCR,0,0,0,1,0,7,5.0,3,4,Wrigley Field,103,103,71.4,5.5,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716956,2023-08-18,2023,CLE,DET,3,1,4,0,1,6,4.0,2,4,Progressive Field,98,98,65.9,17.0,0,7.0,3.5,3.5,3.5,3.5,3.5,0.0,7.0,True,True
716954,2023-08-18,2023,CIN,TOR,0,0,0,1,0,1,0.0,1,0,Great American Ball Park,107,107,76.6,9.2,0,10.5,5.5,4.5,5.5,4.5,5.5,1.0,10.0,False,False
716960,2023-08-18,2023,WSN,PHI,0,0,0,1,0,15,13.0,8,7,Nationals Park,101,101,80.1,10.1,0,9.0,4.5,3.5,5.5,3.5,5.5,2.0,9.0,False,True
716953,2023-08-18,2023,NYY,BOS,4,0,4,0,1,11,8.0,3,8,Yankee Stadium,103,103,74.4,14.1,0,9.5,5.5,4.5,4.5,4.5,4.5,0.0,9.0,False,False
716949,2023-08-18,2023,ATL,SFG,0,2,2,0,1,4,3.0,4,0,Truist Park,102,102,84.7,3.4,0,9.0,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716950,2023-08-18,2023,TEX,MIL,0,0,0,1,0,17,6.0,8,9,Globe Life Field,107,107,72.0,0.0,0,8.0,4.5,3.5,3.5,3.5,3.5,0.0,7.0,True,True
716948,2023-08-18,2023,HOU,SEA,0,0,0,1,0,2,1.0,0,2,Minute Maid Park,100,100,72.0,0.0,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716951,2023-08-18,2023,MIN,PIT,0,0,0,1,0,6,2.0,5,1,Target Field,99,99,74.8,9.9,0,8.5,4.5,4.5,3.5,3.5,4.5,1.0,8.0,False,True
716952,2023-08-18,2023,STL,NYM,1,0,1,0,1,8,2.0,1,7,Busch Stadium,97,97,76.4,4.5,0,9.5,5.5,4.5,4.5,4.5,4.5,0.0,9.0,False,False
716947,2023-08-18,2023,COL,CHW,1,5,6,0,1,15,10.0,14,1,Coors Field,117,117,85.0,3.1,0,12.0,6.5,5.5,5.5,5.5,5.5,0.0,11.0,False,False
716945,2023-08-18,2023,LAA,TBR,1,1,2,0,1,15,10.0,6,9,Angel Stadium,97,97,81.2,7.9,0,9.5,5.5,4.5,4.5,4.5,4.5,0.0,9.0,False,False
716944,2023-08-18,2023,OAK,BAL,3,1,4,0,1,13,13.0,4,9,Oakland Coliseum,95,95,67.4,8.5,0,8.5,4.5,3.5,4.5,3.5,4.5,1.0,8.0,False,True
