pocket,n,nrfi_rate,delta,parent_nrfi,roi_at_m135,roi_at_m125,score
F5=4.0-4.5xFG<=9.0+mean_K%>med,1019,0.5456,0.0266,0.519,-5.0,-1.8,17.4
F5=4.0-4.5xFG<=8.5+mean_K%>med,875,0.5554,0.0148,0.5406,-3.3,-0.0,16.4
F5=4.0-4.5xFG<=9.0+mean_FIP<med,943,0.5345,0.0155,0.519,-7.0,-3.8,16.4
F5=4.0-4.5xFG<=9.0+max_FIP<med,970,0.5268,0.0078,0.519,-8.3,-5.2,16.4
Base_D+max_BB%<T67,870,0.554,0.0031,0.551,-3.6,-0.3,16.3
Base_D+min_K%>T33,870,0.5529,0.0019,0.551,-3.8,-0.5,16.3
Base_D+max_FIP<T67,871,0.5454,-0.0056,0.551,-5.1,-1.8,16.1
F5=4.0-4.5xFG<=8.5+max_FIP<med,815,0.5448,0.0042,0.5406,-5.2,-1.9,15.6
F5=4.0-4.5xFG<=8.5+mean_FIP<med,794,0.5491,0.0085,0.5406,-4.4,-1.2,15.5
F5<=4.0xFG<=9.0+mean_K%>med,601,0.5923,-0.0344,0.6268,3.1,6.6,14.5
F5<=4.0xFG<=8.5+mean_K%>med,589,0.5942,-0.0294,0.6236,3.4,7.0,14.4
Base_D+min_K/BB>med,655,0.5618,0.0109,0.551,-2.2,1.1,14.4
F5<=4.0xFG<=9.0+mean_FIP<med,575,0.593,-0.0337,0.6268,3.2,6.7,14.2
F5<=4.0xFG<=9.0+max_FIP<med,552,0.5996,-0.0272,0.6268,4.4,7.9,14.1
F5<=4.0xFG<=8.5+mean_FIP<med,562,0.5925,-0.0311,0.6236,3.1,6.7,14.0
F5=4.0-4.5xFG<=9.0+quality_combo,672,0.5417,0.0227,0.519,-5.7,-2.5,14.0
Base_B+max_BB%<T67,525,0.6095,-0.0194,0.629,6.1,9.7,14.0
Base_D+max_FIP<med,653,0.5452,-0.0058,0.551,-5.1,-1.9,13.9
Base_D+min_K%>med,653,0.5452,-0.0058,0.551,-5.1,-1.9,13.9
Base_D+mean_ERA<med,653,0.5436,-0.0073,0.551,-5.4,-2.2,13.9
F5<=4.0xFG<=8.5+max_FIP<med,536,0.597,-0.0266,0.6236,3.9,7.5,13.8
Base_B+min_K%>T33,525,0.5981,-0.0309,0.629,4.1,7.7,13.7
Base_B+max_FIP<T67,525,0.5981,-0.0309,0.629,4.1,7.7,13.7
F5<=4.0xFG<=8.0+mean_K%>med,551,0.5826,-0.027,0.6096,1.4,4.9,13.7
F5<=3.5xFG<=9.0+mean_K%>med,490,0.6163,-0.0378,0.6541,7.3,10.9,13.6
