label,gate,overlay,N,NRFI_pct_fmt,delta_fmt,stability,seasons,roi_at_m135,roi_at_m125,provenance,score
D+both_sp_nrfi>0.6,D,both_sp_nrfi>0.6,1486,56.1,0.3,0.028916408668730575,4,-2.4,0.9,PIT-SAFE,3.975888993270158
E+both_sp_nrfi>0.6,E,both_sp_nrfi>0.6,2397,52.2,0.5,0.0372186151082734,3,-9.1,-6.0,PIT-SAFE,3.913395238938062
B+both_top3_k>med [RO],B,both_top3_k>med [RO],489,65.6,2.4,0.045546558704453455,3,14.3,18.2,RESEARCH-ONLY,3.8797817214581363
A+both_top3_obp<med [RO],A,both_top3_obp<med [RO],409,65.5,0.0,0.018723628691983074,3,14.1,17.9,RESEARCH-ONLY,3.8667463206739785
A+max_top3_obp<med [RO],A,max_top3_obp<med [RO],520,65.8,0.2,0.06892358577751845,3,14.5,18.4,RESEARCH-ONLY,3.829605839855161
E+max_top3_obp<med [RO],E,max_top3_obp<med [RO],1638,54.0,2.3,0.04300853845984132,3,-6.1,-2.9,RESEARCH-ONLY,3.822525622976653
B+max_top3_obp<med [RO],B,max_top3_obp<med [RO],618,63.6,0.3,0.07173913043478264,3,10.7,14.5,RESEARCH-ONLY,3.793567801232702
D+mean_sp_era<med,D,mean_sp_era<med,989,56.3,0.6,0.027929026822428704,4,-2.0,1.4,PIT-SAFE,3.7757032744705183
E+both_sp_nrfi>0.7,E,both_sp_nrfi>0.7,1680,52.6,0.9,0.03609213029467717,3,-8.4,-5.3,PIT-SAFE,3.7667393098468396
D+both_top3_k>med [RO],D,both_top3_k>med [RO],752,58.8,3.0,0.04100678733031682,4,2.3,5.8,RESEARCH-ONLY,3.732995158662551
D+both_sp_nrfi>med,D,both_sp_nrfi>med,1012,56.1,0.4,0.0419950738916256,4,-2.3,1.0,PIT-SAFE,3.720675701849115
E+mean_sp_era<med,E,mean_sp_era<med,1722,52.1,0.4,0.042138364779874204,3,-9.3,-6.2,PIT-SAFE,3.7178402524320484
E+both_top3_obp<med [RO],E,both_top3_obp<med [RO],1335,54.2,2.5,0.06163028055064601,3,-5.6,-2.4,RESEARCH-ONLY,3.662383967872408
D+min_sp_nrfi>med,D,min_sp_nrfi>med,817,56.2,0.4,0.02948340606921751,4,-2.2,1.1,PIT-SAFE,3.6562322064173007
E+both_sp_nrfi>med,E,both_sp_nrfi>med,1439,51.9,0.2,0.04209033467134338,3,-9.6,-6.6,PIT-SAFE,3.6159343588481736
D+both_sp_nrfi>T67,D,both_sp_nrfi>T67,796,56.4,0.7,0.04035064679230416,4,-1.8,1.5,PIT-SAFE,3.6157321535598164
A+both_top3_k>med [RO],A,both_top3_k>med [RO],423,67.1,1.6,0.11779816513761465,3,16.9,20.9,RESEARCH-ONLY,3.581893154647528
B+both_top3_k>T67 [RO],B,both_top3_k>T67 [RO],362,64.9,1.6,0.06617903169627304,3,13.0,16.9,RESEARCH-ONLY,3.5715721330254824
D+both_top3_k>T67 [RO],D,both_top3_k>T67 [RO],552,59.1,3.3,0.042484472049689415,4,2.8,6.3,RESEARCH-ONLY,3.570243505056588
C+both_sp_nrfi>0.6,C,both_sp_nrfi>0.6,109,80.7,5.7,0.05833333333333335,3,40.5,45.3,PIT-SAFE,3.56657212086289
B+both_top3_obp<T33 [RO],B,both_top3_obp<T33 [RO],363,64.5,1.2,0.06322811908792192,3,12.2,16.0,RESEARCH-ONLY,3.55944995646947
D+max_top3_obp<med [RO],D,max_top3_obp<med [RO],1052,56.1,0.3,0.08916991966964549,4,-2.4,1.0,RESEARCH-ONLY,3.554561620090056
E+min_sp_nrfi>med,E,min_sp_nrfi>med,1132,52.7,1.1,0.054129362324136676,3,-8.2,-5.1,PIT-SAFE,3.50770070695546
A+both_top3_obp<T33 [RO],A,both_top3_obp<T33 [RO],310,66.1,0.6,0.09265734265734271,3,15.1,19.0,RESEARCH-ONLY,3.4420404330605603
E+both_sp_nrfi>T67,E,both_sp_nrfi>T67,1029,52.5,0.8,0.06099391106464114,3,-8.6,-5.5,PIT-SAFE,3.4180415495636414
E+max_sp_era<0.3,E,max_sp_era<0.3,1050,52.2,0.5,0.06276499091459725,3,-9.1,-6.1,PIT-SAFE,3.4027762157382067
E+both_top3_obp<T33 [RO],E,both_top3_obp<T33 [RO],949,55.0,3.3,0.10031888755293011,3,-4.3,-1.0,RESEARCH-ONLY,3.3925499547092595
A+both_top3_k>T67 [RO],A,both_top3_k>T67 [RO],311,66.9,1.4,0.11675675675675679,3,16.4,20.4,RESEARCH-ONLY,3.3906229193502746
E+max_sp_era<med+max_obp<med [RO],E,max_sp_era<med+max_obp<med [RO],944,53.7,2.0,0.08507242233657325,3,-6.5,-3.3,RESEARCH-ONLY,3.366055355211167
C+max_sp_era<med,C,max_sp_era<med,90,80.0,5.0,0.07017543859649122,3,39.3,44.0,PIT-SAFE,3.347226842491285
D+max_sp_era<med+max_obp<med [RO],D,max_sp_era<med+max_obp<med [RO],615,56.9,1.2,0.10333896872358417,4,-0.9,2.4,RESEARCH-ONLY,3.2769210663278794
D+both_top3_obp<T33 [RO],D,both_top3_obp<T33 [RO],647,56.7,1.0,0.1094263792473511,4,-1.3,2.1,RESEARCH-ONLY,3.269590449540846
D+sp_nrfi>med+top3_k>med [RO],D,sp_nrfi>med+top3_k>med [RO],382,60.5,4.7,0.09488042821376153,4,5.3,8.8,RESEARCH-ONLY,3.2541469222149084
C+both_sp_nrfi>0.7,C,both_sp_nrfi>0.7,76,80.3,5.3,0.08518518518518514,3,39.7,44.5,PIT-SAFE,3.1798810544880194
E+sp_nrfi>med+top3_obp<med [RO],E,sp_nrfi>med+top3_obp<med [RO],576,53.6,2.0,0.07118367346938781,3,-6.6,-3.4,RESEARCH-ONLY,3.1670657632780523
C+both_sp_nrfi>med,C,both_sp_nrfi>med,67,79.1,4.1,0.06138107416879801,3,37.7,42.4,PIT-SAFE,3.121940532876805
C+mean_sp_era<med,C,mean_sp_era<med,80,80.0,5.0,0.11764705882352944,3,39.3,44.0,PIT-SAFE,3.0931952715345044
B+sp_nrfi>med+top3_k>med [RO],B,sp_nrfi>med+top3_k>med [RO],261,64.8,1.5,0.14786674459380478,3,12.7,16.6,RESEARCH-ONLY,3.070304514635134
C+max_sp_era<med+max_obp<med [RO],C,max_sp_era<med+max_obp<med [RO],44,79.5,4.5,0.03472222222222221,3,38.5,43.2,RESEARCH-ONLY,2.9056317185941194
C+max_sp_era<0.3,C,max_sp_era<0.3,54,79.6,4.6,0.09243697478991597,3,38.6,43.3,PIT-SAFE,2.882795193315358
